Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
2979,2020,1,2020-01-15,Mankessim,5.27,-1.02,1.55
3057,2020,1,2020-01-15,Cape Coast,5.11,-1.24,4.29
4099,2021,1,2021-01-15,Cape Coast,5.11,-1.24,4.67
4114,2021,1,2021-01-15,Mankessim,5.27,-1.02,4.65
4324,2022,1,2022-01-15,Mankessim,5.27,-1.02,3.87
4418,2022,1,2022-01-15,Cape Coast,5.11,-1.24,3.36
5217,2023,1,2023-01-15,Mankessim,5.27,-1.02,2.77
5225,2023,1,2023-01-15,Cape Coast,5.11,-1.24,3.36
6529,2020,2,2020-02-15,Mankessim,5.27,-1.02,44.2
6544,2020,2,2020-02-15,Cape Coast,5.11,-1.24,5.97
6545,2020,2,2020-02-15,Cape Coast,5.11,-1.24,60.0
7539,2021,2,2021-02-15,Mankessim,5.27,-1.02,1.2
7584,2021,2,2021-02-15,Cape Coast,5.11,-1.24,2.15
8120,2023,2,2023-02-15,Cape Coast,5.11,-1.24,7.29
8534,2023,2,2023-02-15,Mankessim,5.27,-1.02,2.71
10289,2020,3,2020-03-15,Cape Coast,5.11,-1.24,2.69
10780,2021,3,2021-03-15,Cape Coast,5.11,-1.24,2.41
10901,2021,3,2021-03-15,Mankessim,5.27,-1.02,1.85
10935,2022,3,2022-03-15,Cape Coast,5.11,-1.24,2.5
11002,2022,3,2022-03-15,Mankessim,5.27,-1.02,1.28
11665,2023,3,2023-03-15,Cape Coast,5.11,-1.24,4.11
11737,2023,3,2023-03-15,Mankessim,5.27,-1.02,3.95
13268,2020,4,2020-04-15,Cape Coast,5.11,-1.24,4.66
13269,2020,4,2020-04-15,Cape Coast,5.11,-1.24,6.14
13293,2020,4,2020-04-15,Mankessim,5.27,-1.02,2.51
13944,2021,4,2021-04-15,Mankessim,5.27,-1.02,1.64
14309,2021,4,2021-04-15,Cape Coast,5.11,-1.24,2.74
14519,2022,4,2022-04-15,Mankessim,5.27,-1.02,2.55
15040,2023,4,2023-04-15,Mankessim,5.27,-1.02,2.72
15083,2023,4,2023-04-15,Cape Coast,5.11,-1.24,3.66
16684,2020,5,2020-05-15,Mankessim,5.27,-1.02,19.17
17106,2020,5,2020-05-15,Cape Coast,5.11,-1.24,5.37
17125,2020,5,2020-05-15,Cape Coast,5.11,-1.24,27.69
17452,2021,5,2021-05-15,Mankessim,5.27,-1.02,1.6
17479,2021,5,2021-05-15,Cape Coast,5.11,-1.24,3.36
17836,2022,5,2022-05-15,Cape Coast,5.11,-1.24,2.5
18072,2022,5,2022-05-15,Mankessim,5.27,-1.02,2.53
18665,2023,5,2023-05-15,Mankessim,5.27,-1.02,2.48
18686,2023,5,2023-05-15,Cape Coast,5.11,-1.24,5.83
20170,2020,6,2020-06-15,Cape Coast,5.11,-1.24,8.17
20554,2021,6,2021-06-15,Mankessim,5.27,-1.02,3.29
20559,2021,6,2021-06-15,Cape Coast,5.11,-1.24,5.0
21231,2022,6,2022-06-15,Mankessim,5.27,-1.02,2.78
21309,2022,6,2022-06-15,Cape Coast,5.11,-1.24,2.5
21773,2023,6,2023-06-15,Mankessim,5.27,-1.02,2.91
21790,2023,6,2023-06-15,Cape Coast,5.11,-1.24,6.85
23471,2020,7,2020-07-15,Mankessim,5.27,-1.02,44.2
23523,2020,7,2020-07-15,Cape Coast,5.11,-1.24,5.97
23921,2021,7,2021-07-15,Cape Coast,5.11,-1.24,3.79
24125,2021,7,2021-07-15,Mankessim,5.27,-1.02,1.58
24170,2022,7,2022-07-15,Mankessim,5.27,-1.02,2.73
24601,2022,7,2022-07-15,Cape Coast,5.11,-1.24,2.74
24928,2023,7,2023-07-15,Cape Coast,5.11,-1.24,6.85
