Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
2981,2020,1,2020-01-15,Mankessim,5.27,-1.02,2.74
3059,2020,1,2020-01-15,Cape Coast,5.11,-1.24,1.4
4101,2021,1,2021-01-15,Cape Coast,5.11,-1.24,5.95
4116,2021,1,2021-01-15,Mankessim,5.27,-1.02,6.89
4322,2022,1,2022-01-15,Mankessim,5.27,-1.02,11.74
4416,2022,1,2022-01-15,Cape Coast,5.11,-1.24,9.44
5223,2023,1,2023-01-15,Cape Coast,5.11,-1.24,12.5
5238,2023,1,2023-01-15,Mankessim,5.27,-1.02,10.07
6444,2020,2,2020-02-15,Cape Coast,5.11,-1.24,12.67
6528,2020,2,2020-02-15,Mankessim,5.27,-1.02,13.0
6540,2020,2,2020-02-15,Cape Coast,5.11,-1.24,0.17
7537,2021,2,2021-02-15,Mankessim,5.27,-1.02,13.27
7585,2021,2,2021-02-15,Cape Coast,5.11,-1.24,8.89
8119,2023,2,2023-02-15,Cape Coast,5.11,-1.24,8.88
8536,2023,2,2023-02-15,Mankessim,5.27,-1.02,6.78
10781,2021,3,2021-03-15,Cape Coast,5.11,-1.24,8.89
10903,2021,3,2021-03-15,Mankessim,5.27,-1.02,2.87
10938,2022,3,2022-03-15,Cape Coast,5.11,-1.24,9.44
11037,2022,3,2022-03-15,Mankessim,5.27,-1.02,8.16
11472,2023,3,2023-03-15,Mankessim,5.27,-1.02,7.6
11663,2023,3,2023-03-15,Cape Coast,5.11,-1.24,13.89
13264,2020,4,2020-04-15,Cape Coast,5.11,-1.24,3.8
13265,2020,4,2020-04-15,Cape Coast,5.11,-1.24,4.17
13295,2020,4,2020-04-15,Mankessim,5.27,-1.02,4.59
13946,2021,4,2021-04-15,Mankessim,5.27,-1.02,3.82
14310,2021,4,2021-04-15,Cape Coast,5.11,-1.24,10.83
14521,2022,4,2022-04-15,Mankessim,5.27,-1.02,9.32
15084,2023,4,2023-04-15,Cape Coast,5.11,-1.24,5.33
16707,2020,5,2020-05-15,Mankessim,5.27,-1.02,7.05
17268,2020,5,2020-05-15,Cape Coast,5.11,-1.24,10.69
17269,2020,5,2020-05-15,Cape Coast,5.11,-1.24,1.26
17450,2021,5,2021-05-15,Mankessim,5.27,-1.02,5.3
17477,2021,5,2021-05-15,Cape Coast,5.11,-1.24,12.5
18101,2022,5,2022-05-15,Mankessim,5.27,-1.02,9.38
18667,2023,5,2023-05-15,Mankessim,5.27,-1.02,0.87
18675,2023,5,2023-05-15,Cape Coast,5.11,-1.24,5.33
20172,2020,6,2020-06-15,Cape Coast,5.11,-1.24,6.43
20552,2021,6,2021-06-15,Mankessim,5.27,-1.02,1.38
20560,2021,6,2021-06-15,Cape Coast,5.11,-1.24,2.52
21229,2022,6,2022-06-15,Mankessim,5.27,-1.02,5.19
21788,2023,6,2023-06-15,Cape Coast,5.11,-1.24,5.33
23473,2020,7,2020-07-15,Mankessim,5.27,-1.02,13.0
23594,2020,7,2020-07-15,Cape Coast,5.11,-1.24,0.17
24133,2021,7,2021-07-15,Mankessim,5.27,-1.02,7.61
24926,2023,7,2023-07-15,Cape Coast,5.11,-1.24,5.33
25211,2023,7,2023-07-15,Mankessim,5.27,-1.02,0.87
26662,2019,8,2019-08-15,Mankessim,5.27,-1.02,2.52
26744,2019,8,2019-08-15,Cape Coast,5.11,-1.24,2.07
26835,2020,8,2020-08-15,Cape Coast,5.11,-1.24,0.17
27283,2020,8,2020-08-15,Mankessim,5.27,-1.02,13.0
27814,2021,8,2021-08-15,Cape Coast,5.11,-1.24,8.89
27887,2021,8,2021-08-15,Mankessim,5.27,-1.02,4.93
28136,2022,8,2022-08-15,Cape Coast,5.11,-1.24,5.37
28170,2022,8,2022-08-15,Mankessim,5.27,-1.02,6.88
29454,2019,9,2019-09-15,Cape Coast,5.11,-1.24,2.07
29468,2019,9,2019-09-15,Mankessim,5.27,-1.02,2.53
30053,2020,9,2020-09-15,Mankessim,5.27,-1.02,13.0
30434,2020,9,2020-09-15,Cape Coast,5.11,-1.24,13.0
30435,2020,9,2020-09-15,Cape Coast,5.11,-1.24,0.14
30894,2021,9,2021-09-15,Mankessim,5.27,-1.02,4.21
30957,2021,9,2021-09-15,Cape Coast,5.11,-1.24,16.67
31428,2022,9,2022-09-15,Cape Coast,5.11,-1.24,13.89
31473,2022,9,2022-09-15,Mankessim,5.27,-1.02,7.71
33150,2019,10,2019-10-15,Cape Coast,5.11,-1.24,1.47
33167,2019,10,2019-10-15,Mankessim,5.27,-1.02,10.76
33204,2020,10,2020-10-15,Cape Coast,5.11,-1.24,2.41
33279,2020,10,2020-10-15,Mankessim,5.27,-1.02,1.83
33639,2021,10,2021-10-15,Cape Coast,5.11,-1.24,7.54
33698,2021,10,2021-10-15,Mankessim,5.27,-1.02,2.1
34140,2022,10,2022-10-15,Cape Coast,5.11,-1.24,8.89
34143,2022,10,2022-10-15,Mankessim,5.27,-1.02,4.61
36197,2019,11,2019-11-15,Cape Coast,5.11,-1.24,3.0
36234,2019,11,2019-11-15,Mankessim,5.27,-1.02,2.59
36673,2020,11,2020-11-15,Mankessim,5.27,-1.02,1.93
36769,2020,11,2020-11-15,Cape Coast,5.11,-1.24,2.23
37223,2021,11,2021-11-15,Mankessim,5.27,-1.02,2.35
37640,2022,11,2022-11-15,Mankessim,5.27,-1.02,6.05
39214,2019,12,2019-12-15,Mankessim,5.27,-1.02,2.63
39321,2019,12,2019-12-15,Cape Coast,5.11,-1.24,2.48
39576,2020,12,2020-12-15,Cape Coast,5.11,-1.24,3.5
