Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
2967,2020,1,2020-01-15,Koforidua,6.08,-0.25,1.46
2968,2020,1,2020-01-15,Koforidua,6.08,-0.25,1.3
4061,2021,1,2021-01-15,Koforidua,6.08,-0.25,1.81
4062,2021,1,2021-01-15,Koforidua,6.08,-0.25,1.46
4298,2022,1,2022-01-15,Koforidua,6.08,-0.25,3.26
4299,2022,1,2022-01-15,Koforidua,6.08,-0.25,3.48
6560,2020,2,2020-02-15,Koforidua,6.08,-0.25,1.35
6582,2020,2,2020-02-15,Koforidua,6.08,-0.25,1.67
7533,2021,2,2021-02-15,Koforidua,6.08,-0.25,1.74
7552,2021,2,2021-02-15,Koforidua,6.08,-0.25,1.52
8541,2023,2,2023-02-15,Koforidua,6.08,-0.25,4.74
8542,2023,2,2023-02-15,Koforidua,6.08,-0.25,5.57
10377,2020,3,2020-03-15,Koforidua,6.08,-0.25,1.46
10378,2020,3,2020-03-15,Koforidua,6.08,-0.25,1.3
10890,2021,3,2021-03-15,Koforidua,6.08,-0.25,1.74
10891,2021,3,2021-03-15,Koforidua,6.08,-0.25,1.52
11749,2023,3,2023-03-15,Koforidua,6.08,-0.25,5.22
11750,2023,3,2023-03-15,Koforidua,6.08,-0.25,5.43
13516,2020,4,2020-04-15,Koforidua,6.08,-0.25,1.5
13681,2020,4,2020-04-15,Koforidua,6.08,-0.25,1.67
13931,2021,4,2021-04-15,Koforidua,6.08,-0.25,1.96
13933,2021,4,2021-04-15,Koforidua,6.08,-0.25,1.74
15002,2023,4,2023-04-15,Koforidua,6.08,-0.25,6.11
15003,2023,4,2023-04-15,Koforidua,6.08,-0.25,5.21
16665,2020,5,2020-05-15,Koforidua,6.08,-0.25,1.5
16677,2020,5,2020-05-15,Koforidua,6.08,-0.25,1.67
17394,2021,5,2021-05-15,Koforidua,6.08,-0.25,17.4
17466,2021,5,2021-05-15,Koforidua,6.08,-0.25,1.96
18084,2022,5,2022-05-15,Koforidua,6.08,-0.25,4.13
18167,2022,5,2022-05-15,Koforidua,6.08,-0.25,3.48
18807,2023,5,2023-05-15,Koforidua,6.08,-0.25,6.38
18808,2023,5,2023-05-15,Koforidua,6.08,-0.25,6.09
20241,2020,6,2020-06-15,Koforidua,6.08,-0.25,1.43
20781,2021,6,2021-06-15,Koforidua,6.08,-0.25,3.42
20782,2021,6,2021-06-15,Koforidua,6.08,-0.25,2.4
21690,2023,6,2023-06-15,Koforidua,6.08,-0.25,6.38
21691,2023,6,2023-06-15,Koforidua,6.08,-0.25,6.09
23493,2020,7,2020-07-15,Koforidua,6.08,-0.25,1.35
23521,2020,7,2020-07-15,Koforidua,6.08,-0.25,1.67
24132,2021,7,2021-07-15,Koforidua,6.08,-0.25,3.1
24135,2021,7,2021-07-15,Koforidua,6.08,-0.25,3.48
25201,2023,7,2023-07-15,Koforidua,6.08,-0.25,7.29
25202,2023,7,2023-07-15,Koforidua,6.08,-0.25,5.83
26649,2019,8,2019-08-15,Koforidua,6.08,-0.25,1.74
26672,2019,8,2019-08-15,Koforidua,6.08,-0.25,1.96
27317,2020,8,2020-08-15,Koforidua,6.08,-0.25,1.78
27318,2020,8,2020-08-15,Koforidua,6.08,-0.25,1.42
27914,2021,8,2021-08-15,Koforidua,6.08,-0.25,3.0
27915,2021,8,2021-08-15,Koforidua,6.08,-0.25,3.26
29675,2019,9,2019-09-15,Koforidua,6.08,-0.25,1.18
29770,2019,9,2019-09-15,Koforidua,6.08,-0.25,1.54
30098,2020,9,2020-09-15,Koforidua,6.08,-0.25,1.33
30099,2020,9,2020-09-15,Koforidua,6.08,-0.25,1.56
30902,2021,9,2021-09-15,Koforidua,6.08,-0.25,3.26
30920,2021,9,2021-09-15,Koforidua,6.08,-0.25,3.0
33155,2019,10,2019-10-15,Koforidua,6.08,-0.25,1.25
33156,2019,10,2019-10-15,Koforidua,6.08,-0.25,1.1
33238,2020,10,2020-10-15,Koforidua,6.08,-0.25,1.33
33239,2020,10,2020-10-15,Koforidua,6.08,-0.25,1.35
36248,2019,11,2019-11-15,Koforidua,6.08,-0.25,1.1
36249,2019,11,2019-11-15,Koforidua,6.08,-0.25,1.25
36725,2020,11,2020-11-15,Koforidua,6.08,-0.25,1.45
36726,2020,11,2020-11-15,Koforidua,6.08,-0.25,1.33
36800,2021,11,2021-11-15,Koforidua,6.08,-0.25,3.0
36827,2021,11,2021-11-15,Koforidua,6.08,-0.25,3.48
39187,2019,12,2019-12-15,Koforidua,6.08,-0.25,1.25
39194,2019,12,2019-12-15,Koforidua,6.08,-0.25,1.1
39826,2020,12,2020-12-15,Koforidua,6.08,-0.25,1.33
39827,2020,12,2020-12-15,Koforidua,6.08,-0.25,1.96
39976,2021,12,2021-12-15,Koforidua,6.08,-0.25,3.48
39977,2021,12,2021-12-15,Koforidua,6.08,-0.25,3.26
