Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
1937,2008,1,2008-01-15,Accra,5.55,-0.22,0.18
1946,2008,1,2008-01-15,Tema,5.62,-0.02,0.15
2036,2009,1,2009-01-15,Tema,5.62,-0.02,0.29
2066,2009,1,2009-01-15,Accra,5.55,-0.22,0.31
2113,2010,1,2010-01-15,Tema,5.62,-0.02,0.51
2121,2010,1,2010-01-15,Accra,5.55,-0.22,0.27
2248,2011,1,2011-01-15,Tema,5.62,-0.02,0.37
2259,2011,1,2011-01-15,Accra,5.55,-0.22,0.24
2281,2012,1,2012-01-15,Tema,5.62,-0.02,0.55
2313,2012,1,2012-01-15,Accra,5.55,-0.22,0.34
2442,2013,1,2013-01-15,Tema,5.62,-0.02,0.92
2452,2013,1,2013-01-15,Accra,5.55,-0.22,0.81
2463,2014,1,2014-01-15,Accra,5.55,-0.22,0.76
2502,2014,1,2014-01-15,Tema,5.62,-0.02,0.88
2567,2015,1,2015-01-15,Tema,5.62,-0.02,0.77
2576,2015,1,2015-01-15,Accra,5.55,-0.22,0.66
2667,2016,1,2016-01-15,Tema,5.62,-0.02,1.04
2706,2016,1,2016-01-15,Accra,5.55,-0.22,1.01
2792,2017,1,2017-01-15,Tema,5.62,-0.02,1.65
2831,2017,1,2017-01-15,Accra,5.55,-0.22,1.79
2858,2018,1,2018-01-15,Accra,5.55,-0.22,0.69
2863,2018,1,2018-01-15,Tema,5.62,-0.02,0.89
2915,2019,1,2019-01-15,Accra,5.55,-0.22,0.78
2926,2019,1,2019-01-15,Tema,5.62,-0.02,1.04
2993,2020,1,2020-01-15,Accra,5.55,-0.22,1.96
3172,2020,1,2020-01-15,Tema,5.62,-0.02,3.43
3173,2020,1,2020-01-15,Tema,5.62,-0.02,6.73
3273,2020,1,2020-01-15,Accra,5.55,-0.22,2.5
3926,2021,1,2021-01-15,Accra,5.55,-0.22,3.31
3934,2021,1,2021-01-15,Accra,5.55,-0.22,3.14
3971,2021,1,2021-01-15,Tema,5.62,-0.02,6.11
3972,2021,1,2021-01-15,Tema,5.62,-0.02,2.53
4332,2022,1,2022-01-15,Accra,5.55,-0.22,3.54
4333,2022,1,2022-01-15,Accra,5.55,-0.22,2.69
4607,2022,1,2022-01-15,Tema,5.62,-0.02,2.24
5151,2023,1,2023-01-15,Tema,5.62,-0.02,4.48
5166,2023,1,2023-01-15,Accra,5.55,-0.22,7.33
5216,2023,1,2023-01-15,Accra,5.55,-0.22,3.3
5395,2008,2,2008-02-15,Tema,5.62,-0.02,0.16
5424,2008,2,2008-02-15,Accra,5.55,-0.22,0.19
5474,2009,2,2009-02-15,Tema,5.62,-0.02,0.34
5487,2009,2,2009-02-15,Accra,5.55,-0.22,0.27
5554,2010,2,2010-02-15,Tema,5.62,-0.02,0.45
5597,2010,2,2010-02-15,Accra,5.55,-0.22,0.29
5663,2011,2,2011-02-15,Tema,5.62,-0.02,0.38
5697,2011,2,2011-02-15,Accra,5.55,-0.22,0.22
5758,2012,2,2012-02-15,Tema,5.62,-0.02,0.6
5814,2012,2,2012-02-15,Accra,5.55,-0.22,0.44
5856,2013,2,2013-02-15,Accra,5.55,-0.22,0.92
5907,2013,2,2013-02-15,Tema,5.62,-0.02,1.04
6010,2014,2,2014-02-15,Accra,5.55,-0.22,0.82
6018,2014,2,2014-02-15,Tema,5.62,-0.02,0.88
6056,2015,2,2015-02-15,Accra,5.55,-0.22,0.66
6116,2015,2,2015-02-15,Tema,5.62,-0.02,0.77
6231,2016,2,2016-02-15,Accra,5.55,-0.22,1.95
6240,2017,2,2017-02-15,Tema,5.62,-0.02,1.65
6248,2017,2,2017-02-15,Accra,5.55,-0.22,1.43
6323,2018,2,2018-02-15,Accra,5.55,-0.22,1.63
6354,2018,2,2018-02-15,Tema,5.62,-0.02,1.06
6418,2019,2,2019-02-15,Accra,5.55,-0.22,0.91
6432,2019,2,2019-02-15,Tema,5.62,-0.02,1.04
6618,2020,2,2020-02-15,Accra,5.55,-0.22,1.41
7005,2020,2,2020-02-15,Accra,5.55,-0.22,1.9
7018,2020,2,2020-02-15,Tema,5.62,-0.02,2.12
7424,2021,2,2021-02-15,Tema,5.62,-0.02,2.32
7565,2021,2,2021-02-15,Accra,5.55,-0.22,2.24
7566,2021,2,2021-02-15,Accra,5.55,-0.22,2.28
7874,2022,2,2022-02-15,Accra,5.55,-0.22,2.6
7875,2022,2,2022-02-15,Accra,5.55,-0.22,2.6
8503,2023,2,2023-02-15,Accra,5.55,-0.22,5.21
8520,2023,2,2023-02-15,Accra,5.55,-0.22,6.05
