Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
3857,2021,1,2021-01-15,Tema,5.62,-0.02,1.92
3913,2021,1,2021-01-15,Accra,5.55,-0.22,1.53
4625,2022,1,2022-01-15,Tema,5.62,-0.02,6.44
4649,2022,1,2022-01-15,Accra,5.55,-0.22,2.11
5098,2023,1,2023-01-15,Accra,5.55,-0.22,3.12
5132,2023,1,2023-01-15,Tema,5.62,-0.02,7.8
6966,2020,2,2020-02-15,Tema,5.62,-0.02,4.17
7024,2020,2,2020-02-15,Accra,5.55,-0.22,2.57
7927,2022,2,2022-02-15,Tema,5.62,-0.02,5.73
8017,2022,2,2022-02-15,Accra,5.55,-0.22,1.78
8568,2023,2,2023-02-15,Tema,5.62,-0.02,5.67
8611,2023,2,2023-02-15,Accra,5.55,-0.22,5.22
10571,2021,3,2021-03-15,Accra,5.55,-0.22,2.09
10609,2021,3,2021-03-15,Tema,5.62,-0.02,3.41
10970,2022,3,2022-03-15,Tema,5.62,-0.02,5.01
11022,2022,3,2022-03-15,Accra,5.55,-0.22,2.06
11524,2023,3,2023-03-15,Accra,5.55,-0.22,7.23
12055,2023,3,2023-03-15,Tema,5.62,-0.02,5.67
13824,2020,4,2020-04-15,Accra,5.55,-0.22,3.49
13875,2021,4,2021-04-15,Accra,5.55,-0.22,3.74
13900,2021,4,2021-04-15,Tema,5.62,-0.02,5.35
14665,2022,4,2022-04-15,Accra,5.55,-0.22,3.46
14689,2022,4,2022-04-15,Tema,5.62,-0.02,5.01
16713,2020,5,2020-05-15,Accra,5.55,-0.22,2.73
17005,2020,5,2020-05-15,Tema,5.62,-0.02,3.12
17622,2021,5,2021-05-15,Accra,5.55,-0.22,2.84
17790,2022,5,2022-05-15,Tema,5.62,-0.02,4.96
18125,2022,5,2022-05-15,Accra,5.55,-0.22,7.25
20136,2020,6,2020-06-15,Tema,5.62,-0.02,5.81
20323,2020,6,2020-06-15,Accra,5.55,-0.22,3.03
20700,2021,6,2021-06-15,Accra,5.55,-0.22,5.0
20768,2021,6,2021-06-15,Tema,5.62,-0.02,6.57
21244,2022,6,2022-06-15,Accra,5.55,-0.22,7.25
21257,2022,6,2022-06-15,Tema,5.62,-0.02,5.67
23408,2020,7,2020-07-15,Accra,5.55,-0.22,2.57
23435,2020,7,2020-07-15,Tema,5.62,-0.02,4.17
23637,2021,7,2021-07-15,Tema,5.62,-0.02,8.1
24103,2021,7,2021-07-15,Accra,5.55,-0.22,4.43
24232,2022,7,2022-07-15,Accra,5.55,-0.22,5.36
24294,2022,7,2022-07-15,Tema,5.62,-0.02,7.09
25106,2023,7,2023-07-15,Tema,5.62,-0.02,14.17
25240,2023,7,2023-07-15,Accra,5.55,-0.22,8.34
26446,2019,8,2019-08-15,Tema,5.62,-0.02,7.89
27264,2020,8,2020-08-15,Accra,5.55,-0.22,2.57
27377,2020,8,2020-08-15,Tema,5.62,-0.02,4.17
27508,2021,8,2021-08-15,Accra,5.55,-0.22,4.31
27538,2021,8,2021-08-15,Tema,5.62,-0.02,9.45
28075,2022,8,2022-08-15,Tema,5.62,-0.02,4.29
28096,2022,8,2022-08-15,Accra,5.55,-0.22,3.9
29976,2019,9,2019-09-15,Tema,5.62,-0.02,8.41
30009,2020,9,2020-09-15,Accra,5.55,-0.22,2.57
30205,2020,9,2020-09-15,Tema,5.62,-0.02,4.23
31008,2021,9,2021-09-15,Tema,5.62,-0.02,6.75
31041,2021,9,2021-09-15,Accra,5.55,-0.22,5.32
31133,2022,9,2022-09-15,Accra,5.55,-0.22,3.9
31158,2022,9,2022-09-15,Tema,5.62,-0.02,4.96
32887,2019,10,2019-10-15,Tema,5.62,-0.02,8.48
33751,2021,10,2021-10-15,Accra,5.55,-0.22,2.61
33841,2021,10,2021-10-15,Tema,5.62,-0.02,5.4
34271,2022,10,2022-10-15,Accra,5.55,-0.22,3.12
36954,2021,11,2021-11-15,Tema,5.62,-0.02,4.82
37010,2021,11,2021-11-15,Accra,5.55,-0.22,2.61
37778,2022,11,2022-11-15,Accra,5.55,-0.22,3.12
39916,2021,12,2021-12-15,Tema,5.62,-0.02,5.67
39988,2021,12,2021-12-15,Accra,5.55,-0.22,2.05
