Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
3125,2020,1,2020-01-15,Tema,5.62,-0.02,14.84
3126,2020,1,2020-01-15,Accra,5.55,-0.22,2.5
3127,2020,1,2020-01-15,Accra,5.55,-0.22,8.39
3849,2021,1,2021-01-15,Tema,5.62,-0.02,7.24
3856,2021,1,2021-01-15,Tema,5.62,-0.02,13.22
3961,2021,1,2021-01-15,Accra,5.55,-0.22,9.31
3962,2021,1,2021-01-15,Accra,5.55,-0.22,2.36
4655,2022,1,2022-01-15,Accra,5.55,-0.22,9.29
4656,2022,1,2022-01-15,Accra,5.55,-0.22,2.36
4691,2022,1,2022-01-15,Tema,5.62,-0.02,9.17
5105,2023,1,2023-01-15,Accra,5.55,-0.22,14.34
5106,2023,1,2023-01-15,Accra,5.55,-0.22,4.35
5264,2023,1,2023-01-15,Tema,5.62,-0.02,10.69
6982,2020,2,2020-02-15,Tema,5.62,-0.02,9.17
7000,2020,2,2020-02-15,Tema,5.62,-0.02,30.85
7028,2020,2,2020-02-15,Accra,5.55,-0.22,7.21
7029,2020,2,2020-02-15,Accra,5.55,-0.22,19.0
7441,2021,2,2021-02-15,Accra,5.55,-0.22,2.29
7494,2021,2,2021-02-15,Tema,5.62,-0.02,5.42
8011,2022,2,2022-02-15,Accra,5.55,-0.22,3.21
8012,2022,2,2022-02-15,Accra,5.55,-0.22,8.36
8581,2023,2,2023-02-15,Tema,5.62,-0.02,44.14
8596,2023,2,2023-02-15,Tema,5.62,-0.02,12.98
8602,2023,2,2023-02-15,Accra,5.55,-0.22,4.03
10077,2020,3,2020-03-15,Tema,5.62,-0.02,18.78
10151,2020,3,2020-03-15,Accra,5.55,-0.22,2.5
10152,2020,3,2020-03-15,Accra,5.55,-0.22,7.93
10480,2021,3,2021-03-15,Accra,5.55,-0.22,2.29
10495,2021,3,2021-03-15,Accra,5.55,-0.22,8.35
10616,2021,3,2021-03-15,Tema,5.62,-0.02,6.53
10962,2022,3,2022-03-15,Tema,5.62,-0.02,8.33
11014,2022,3,2022-03-15,Accra,5.55,-0.22,2.69
11015,2022,3,2022-03-15,Accra,5.55,-0.22,8.67
11596,2023,3,2023-03-15,Accra,5.55,-0.22,4.35
12062,2023,3,2023-03-15,Tema,5.62,-0.02,10.69
13838,2020,4,2020-04-15,Accra,5.55,-0.22,10.37
13839,2020,4,2020-04-15,Accra,5.55,-0.22,10.17
13867,2021,4,2021-04-15,Accra,5.55,-0.22,2.29
13868,2021,4,2021-04-15,Accra,5.55,-0.22,8.35
13987,2021,4,2021-04-15,Tema,5.62,-0.02,6.53
14657,2022,4,2022-04-15,Accra,5.55,-0.22,2.69
14658,2022,4,2022-04-15,Accra,5.55,-0.22,16.09
14681,2022,4,2022-04-15,Tema,5.62,-0.02,9.17
14923,2023,4,2023-04-15,Accra,5.55,-0.22,3.71
15094,2023,4,2023-04-15,Tema,5.62,-0.02,44.14
15095,2023,4,2023-04-15,Tema,5.62,-0.02,15.28
16955,2020,5,2020-05-15,Tema,5.62,-0.02,9.17
16976,2020,5,2020-05-15,Tema,5.62,-0.02,36.01
16991,2020,5,2020-05-15,Accra,5.55,-0.22,12.0
16992,2020,5,2020-05-15,Accra,5.55,-0.22,17.44
17604,2021,5,2021-05-15,Accra,5.55,-0.22,2.29
17606,2021,5,2021-05-15,Accra,5.55,-0.22,8.35
17781,2022,5,2022-05-15,Tema,5.62,-0.02,20.11
17787,2022,5,2022-05-15,Tema,5.62,-0.02,9.17
17873,2022,5,2022-05-15,Accra,5.55,-0.22,26.22
17874,2022,5,2022-05-15,Accra,5.55,-0.22,2.69
18635,2023,5,2023-05-15,Tema,5.62,-0.02,15.28
18637,2023,5,2023-05-15,Tema,5.62,-0.02,88.27
18750,2023,5,2023-05-15,Accra,5.55,-0.22,6.13
20077,2020,6,2020-06-15,Tema,5.62,-0.02,29.13
20328,2020,6,2020-06-15,Accra,5.55,-0.22,14.59
20736,2021,6,2021-06-15,Accra,5.55,-0.22,19.82
20737,2021,6,2021-06-15,Accra,5.55,-0.22,2.55
20760,2021,6,2021-06-15,Tema,5.62,-0.02,33.77
20914,2022,6,2022-06-15,Tema,5.62,-0.02,9.17
21028,2022,6,2022-06-15,Tema,5.62,-0.02,19.9
21271,2022,6,2022-06-15,Accra,5.55,-0.22,26.22
21272,2022,6,2022-06-15,Accra,5.55,-0.22,3.06
21814,2023,6,2023-06-15,Accra,5.55,-0.22,3.71
21847,2023,6,2023-06-15,Tema,5.62,-0.02,15.28
21848,2023,6,2023-06-15,Tema,5.62,-0.02,44.14
23430,2020,7,2020-07-15,Accra,5.55,-0.22,19.0
23459,2020,7,2020-07-15,Accra,5.55,-0.22,7.21
23526,2020,7,2020-07-15,Tema,5.62,-0.02,9.17
23527,2020,7,2020-07-15,Tema,5.62,-0.02,30.85
23629,2021,7,2021-07-15,Tema,5.62,-0.02,5.83
23630,2021,7,2021-07-15,Tema,5.62,-0.02,29.16
24096,2021,7,2021-07-15,Accra,5.55,-0.22,2.71
24112,2021,7,2021-07-15,Accra,5.55,-0.22,19.82
24282,2022,7,2022-07-15,Accra,5.55,-0.22,12.53
