Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
1951,2008,1,2008-01-15,Accra,5.55,-0.22,0.4
2060,2009,1,2009-01-15,Accra,5.55,-0.22,0.71
2117,2010,1,2010-01-15,Accra,5.55,-0.22,0.82
2264,2011,1,2011-01-15,Accra,5.55,-0.22,0.75
2284,2012,1,2012-01-15,Accra,5.55,-0.22,1.11
2445,2013,1,2013-01-15,Accra,5.55,-0.22,1.23
2458,2014,1,2014-01-15,Accra,5.55,-0.22,1.53
2570,2015,1,2015-01-15,Accra,5.55,-0.22,1.9
2684,2016,1,2016-01-15,Accra,5.55,-0.22,1.74
2826,2017,1,2017-01-15,Accra,5.55,-0.22,1.74
2854,2018,1,2018-01-15,Accra,5.55,-0.22,1.7
2917,2019,1,2019-01-15,Accra,5.55,-0.22,2.02
3146,2020,1,2020-01-15,Accra,5.55,-0.22,3.45
3164,2020,1,2020-01-15,Tema,5.62,-0.02,5.56
3165,2020,1,2020-01-15,Tema,5.62,-0.02,4.29
3268,2020,1,2020-01-15,Accra,5.55,-0.22,2.48
3900,2021,1,2021-01-15,Accra,5.55,-0.22,2.39
3901,2021,1,2021-01-15,Accra,5.55,-0.22,3.45
3943,2021,1,2021-01-15,Tema,5.62,-0.02,4.75
3944,2021,1,2021-01-15,Tema,5.62,-0.02,8.33
4357,2022,1,2022-01-15,Accra,5.55,-0.22,8.21
4358,2022,1,2022-01-15,Accra,5.55,-0.22,2.39
4616,2022,1,2022-01-15,Tema,5.62,-0.02,5.34
4617,2022,1,2022-01-15,Tema,5.62,-0.02,9.17
5121,2023,1,2023-01-15,Accra,5.55,-0.22,2.75
5122,2023,1,2023-01-15,Accra,5.55,-0.22,9.29
5160,2023,1,2023-01-15,Tema,5.62,-0.02,12.33
5161,2023,1,2023-01-15,Tema,5.62,-0.02,15.28
5391,2008,2,2008-02-15,Accra,5.55,-0.22,0.43
5477,2009,2,2009-02-15,Accra,5.55,-0.22,0.67
5569,2010,2,2010-02-15,Accra,5.55,-0.22,0.79
5666,2011,2,2011-02-15,Accra,5.55,-0.22,0.74
5761,2012,2,2012-02-15,Accra,5.55,-0.22,1.08
5914,2013,2,2013-02-15,Accra,5.55,-0.22,1.38
