Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
3142,2020,1,2020-01-15,Accra,5.55,-0.22,5.07
3143,2020,1,2020-01-15,Accra,5.55,-0.22,0.77
3904,2021,1,2021-01-15,Accra,5.55,-0.22,1.44
3905,2021,1,2021-01-15,Accra,5.55,-0.22,4.15
3947,2021,1,2021-01-15,Tema,5.62,-0.02,2.22
3948,2021,1,2021-01-15,Tema,5.62,-0.02,4.32
4353,2022,1,2022-01-15,Accra,5.55,-0.22,5.38
4354,2022,1,2022-01-15,Accra,5.55,-0.22,2.42
4618,2022,1,2022-01-15,Tema,5.62,-0.02,9.93
4619,2022,1,2022-01-15,Tema,5.62,-0.02,15.02
5111,2023,1,2023-01-15,Accra,5.55,-0.22,3.85
5125,2023,1,2023-01-15,Accra,5.55,-0.22,2.8
5147,2023,1,2023-01-15,Tema,5.62,-0.02,13.65
5162,2023,1,2023-01-15,Tema,5.62,-0.02,11.92
6969,2020,2,2020-02-15,Tema,5.62,-0.02,3.81
6970,2020,2,2020-02-15,Tema,5.62,-0.02,3.55
7006,2020,2,2020-02-15,Accra,5.55,-0.22,3.78
7007,2020,2,2020-02-15,Accra,5.55,-0.22,1.77
7434,2021,2,2021-02-15,Tema,5.62,-0.02,2.15
7435,2021,2,2021-02-15,Tema,5.62,-0.02,4.32
7445,2021,2,2021-02-15,Accra,5.55,-0.22,1.76
7446,2021,2,2021-02-15,Accra,5.55,-0.22,3.51
7918,2022,2,2022-02-15,Accra,5.55,-0.22,2.42
7919,2022,2,2022-02-15,Accra,5.55,-0.22,2.42
7934,2022,2,2022-02-15,Tema,5.62,-0.02,9.93
7935,2022,2,2022-02-15,Tema,5.62,-0.02,9.93
8505,2023,2,2023-02-15,Accra,5.55,-0.22,2.61
8550,2023,2,2023-02-15,Accra,5.55,-0.22,8.9
8576,2023,2,2023-02-15,Tema,5.62,-0.02,13.65
8577,2023,2,2023-02-15,Tema,5.62,-0.02,11.92
10121,2020,3,2020-03-15,Accra,5.55,-0.22,5.07
10251,2020,3,2020-03-15,Accra,5.55,-0.22,0.76
10579,2021,3,2021-03-15,Accra,5.55,-0.22,3.6
10580,2021,3,2021-03-15,Accra,5.55,-0.22,1.81
10603,2021,3,2021-03-15,Tema,5.62,-0.02,4.06
10626,2021,3,2021-03-15,Tema,5.62,-0.02,2.17
10976,2022,3,2022-03-15,Tema,5.62,-0.02,17.46
10977,2022,3,2022-03-15,Tema,5.62,-0.02,9.87
11030,2022,3,2022-03-15,Accra,5.55,-0.22,6.05
11031,2022,3,2022-03-15,Accra,5.55,-0.22,2.41
11531,2023,3,2023-03-15,Accra,5.55,-0.22,3.85
11532,2023,3,2023-03-15,Accra,5.55,-0.22,2.58
12080,2023,3,2023-03-15,Tema,5.62,-0.02,13.65
12090,2023,3,2023-03-15,Tema,5.62,-0.02,11.92
13692,2020,4,2020-04-15,Accra,5.55,-0.22,2.07
13700,2020,4,2020-04-15,Accra,5.55,-0.22,2.32
13778,2020,4,2020-04-15,Tema,5.62,-0.02,4.31
13850,2021,4,2021-04-15,Tema,5.62,-0.02,6.22
13851,2021,4,2021-04-15,Tema,5.62,-0.02,3.9
13952,2021,4,2021-04-15,Accra,5.55,-0.22,3.51
13953,2021,4,2021-04-15,Accra,5.55,-0.22,1.62
14673,2022,4,2022-04-15,Accra,5.55,-0.22,7.79
14674,2022,4,2022-04-15,Accra,5.55,-0.22,2.41
14695,2022,4,2022-04-15,Tema,5.62,-0.02,19.11
14696,2022,4,2022-04-15,Tema,5.62,-0.02,11.92
14912,2023,4,2023-04-15,Accra,5.55,-0.22,2.59
14926,2023,4,2023-04-15,Accra,5.55,-0.22,13.33
16721,2020,5,2020-05-15,Accra,5.55,-0.22,3.52
16722,2020,5,2020-05-15,Accra,5.55,-0.22,2.05
17010,2020,5,2020-05-15,Tema,5.62,-0.02,3.17
17018,2020,5,2020-05-15,Tema,5.62,-0.02,3.81
17597,2021,5,2021-05-15,Tema,5.62,-0.02,6.58
17613,2021,5,2021-05-15,Accra,5.55,-0.22,2.07
17614,2021,5,2021-05-15,Accra,5.55,-0.22,4.43
17797,2022,5,2022-05-15,Tema,5.62,-0.02,20.48
17798,2022,5,2022-05-15,Tema,5.62,-0.02,9.87
18116,2022,5,2022-05-15,Accra,5.55,-0.22,2.41
18118,2022,5,2022-05-15,Accra,5.55,-0.22,8.69
18763,2023,5,2023-05-15,Accra,5.55,-0.22,13.2
18764,2023,5,2023-05-15,Accra,5.55,-0.22,2.53
20265,2020,6,2020-06-15,Tema,5.62,-0.02,3.52
20319,2020,6,2020-06-15,Accra,5.55,-0.22,1.84
20692,2021,6,2021-06-15,Accra,5.55,-0.22,5.07
20709,2021,6,2021-06-15,Accra,5.55,-0.22,2.36
20745,2021,6,2021-06-15,Tema,5.62,-0.02,7.51
21029,2022,6,2022-06-15,Accra,5.55,-0.22,2.41
21213,2022,6,2022-06-15,Accra,5.55,-0.22,10.68
21249,2022,6,2022-06-15,Tema,5.62,-0.02,9.93
21250,2022,6,2022-06-15,Tema,5.62,-0.02,17.06
21825,2023,6,2023-06-15,Accra,5.55,-0.22,13.33
21871,2023,6,2023-06-15,Accra,5.55,-0.22,2.64
23412,2020,7,2020-07-15,Accra,5.55,-0.22,3.78
23413,2020,7,2020-07-15,Accra,5.55,-0.22,1.77
23438,2020,7,2020-07-15,Tema,5.62,-0.02,4.51
23439,2020,7,2020-07-15,Tema,5.62,-0.02,3.55
23644,2021,7,2021-07-15,Tema,5.62,-0.02,11.95
23645,2021,7,2021-07-15,Tema,5.62,-0.02,11.84
24090,2021,7,2021-07-15,Accra,5.55,-0.22,2.36
24100,2021,7,2021-07-15,Accra,5.55,-0.22,6.48
24177,2022,7,2022-07-15,Accra,5.55,-0.22,10.66
24178,2022,7,2022-07-15,Accra,5.55,-0.22,2.41
24302,2022,7,2022-07-15,Tema,5.62,-0.02,13.91
24309,2022,7,2022-07-15,Tema,5.62,-0.02,19.56
25099,2023,7,2023-07-15,Tema,5.62,-0.02,11.92
25274,2023,7,2023-07-15,Accra,5.55,-0.22,2.58
25275,2023,7,2023-07-15,Accra,5.55,-0.22,20.0
26437,2019,8,2019-08-15,Tema,5.62,-0.02,0.96
26438,2019,8,2019-08-15,Tema,5.62,-0.02,7.58
26805,2019,8,2019-08-15,Accra,5.55,-0.22,0.96
26806,2019,8,2019-08-15,Accra,5.55,-0.22,4.93
27268,2020,8,2020-08-15,Accra,5.55,-0.22,3.52
27269,2020,8,2020-08-15,Accra,5.55,-0.22,2.09
27379,2020,8,2020-08-15,Tema,5.62,-0.02,4.89
27380,2020,8,2020-08-15,Tema,5.62,-0.02,3.72
27545,2021,8,2021-08-15,Tema,5.62,-0.02,17.89
27820,2021,8,2021-08-15,Accra,5.55,-0.22,7.42
27821,2021,8,2021-08-15,Accra,5.55,-0.22,2.44
28030,2022,8,2022-08-15,Accra,5.55,-0.22,2.8
28031,2022,8,2022-08-15,Accra,5.55,-0.22,10.66
28067,2022,8,2022-08-15,Tema,5.62,-0.02,13.82
28068,2022,8,2022-08-15,Tema,5.62,-0.02,19.56
29861,2019,9,2019-09-15,Tema,5.62,-0.02,7.58
29862,2019,9,2019-09-15,Tema,5.62,-0.02,0.96
29899,2019,9,2019-09-15,Accra,5.55,-0.22,4.93
29900,2019,9,2019-09-15,Accra,5.55,-0.22,0.96
30005,2020,9,2020-09-15,Accra,5.55,-0.22,1.99
30016,2020,9,2020-09-15,Accra,5.55,-0.22,3.06
30114,2020,9,2020-09-15,Tema,5.62,-0.02,3.87
30203,2020,9,2020-09-15,Tema,5.62,-0.02,4.06
30967,2021,9,2021-09-15,Tema,5.62,-0.02,13.21
30968,2021,9,2021-09-15,Tema,5.62,-0.02,9.87
31044,2021,9,2021-09-15,Accra,5.55,-0.22,2.42
31047,2021,9,2021-09-15,Accra,5.55,-0.22,6.1
31150,2022,9,2022-09-15,Tema,5.62,-0.02,20.95
31467,2022,9,2022-09-15,Accra,5.55,-0.22,7.18
31468,2022,9,2022-09-15,Accra,5.55,-0.22,2.8
33119,2019,10,2019-10-15,Accra,5.55,-0.22,4.93
33120,2019,10,2019-10-15,Accra,5.55,-0.22,0.77
33542,2020,10,2020-10-15,Accra,5.55,-0.22,5.07
33567,2020,10,2020-10-15,Accra,5.55,-0.22,0.84
33725,2021,10,2021-10-15,Tema,5.62,-0.02,13.06
33761,2021,10,2021-10-15,Accra,5.55,-0.22,5.08
33768,2021,10,2021-10-15,Accra,5.55,-0.22,2.41
34257,2022,10,2022-10-15,Accra,5.55,-0.22,2.8
34258,2022,10,2022-10-15,Accra,5.55,-0.22,6.46
36094,2019,11,2019-11-15,Accra,5.55,-0.22,0.77
36095,2019,11,2019-11-15,Accra,5.55,-0.22,5.07
36345,2020,11,2020-11-15,Accra,5.55,-0.22,5.07
36346,2020,11,2020-11-15,Accra,5.55,-0.22,0.76
36799,2021,11,2021-11-15,Accra,5.55,-0.22,5.22
36847,2021,11,2021-11-15,Accra,5.55,-0.22,2.39
36960,2021,11,2021-11-15,Tema,5.62,-0.02,11.5
37179,2021,11,2021-11-15,Tema,5.62,-0.02,8.71
37667,2022,11,2022-11-15,Accra,5.55,-0.22,4.86
37668,2022,11,2022-11-15,Accra,5.55,-0.22,2.8
