Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
1930,2008,1,2008-01-15,Tema,5.62,-0.02,0.69
1944,2008,1,2008-01-15,Accra,5.55,-0.22,0.7
1996,2009,1,2009-01-15,Tema,5.62,-0.02,2.18
2039,2009,1,2009-01-15,Accra,5.55,-0.22,1.03
2116,2010,1,2010-01-15,Accra,5.55,-0.22,1.23
2136,2010,1,2010-01-15,Tema,5.62,-0.02,2.45
2232,2011,1,2011-01-15,Tema,5.62,-0.02,1.75
2249,2011,1,2011-01-15,Accra,5.55,-0.22,1.34
2283,2012,1,2012-01-15,Accra,5.55,-0.22,1.99
2420,2013,1,2013-01-15,Tema,5.62,-0.02,4.25
2448,2013,1,2013-01-15,Accra,5.55,-0.22,3.31
2469,2014,1,2014-01-15,Accra,5.55,-0.22,2.64
2501,2014,1,2014-01-15,Tema,5.62,-0.02,2.3
2564,2015,1,2015-01-15,Tema,5.62,-0.02,0.1
2569,2015,1,2015-01-15,Accra,5.55,-0.22,3.48
2697,2016,1,2016-01-15,Accra,5.55,-0.22,4.2
2838,2017,1,2017-01-15,Accra,5.55,-0.22,4.85
2853,2018,1,2018-01-15,Accra,5.55,-0.22,2.75
2922,2019,1,2019-01-15,Tema,5.62,-0.02,6.78
2928,2019,1,2019-01-15,Accra,5.55,-0.22,3.12
3144,2020,1,2020-01-15,Accra,5.55,-0.22,6.0
3145,2020,1,2020-01-15,Accra,5.55,-0.22,0.97
3162,2020,1,2020-01-15,Tema,5.62,-0.02,9.72
3163,2020,1,2020-01-15,Tema,5.62,-0.02,0.96
3250,2020,1,2020-01-15,Accra,5.55,-0.22,4.95
3902,2021,1,2021-01-15,Accra,5.55,-0.22,1.47
3903,2021,1,2021-01-15,Accra,5.55,-0.22,3.93
3945,2021,1,2021-01-15,Tema,5.62,-0.02,1.81
3946,2021,1,2021-01-15,Tema,5.62,-0.02,11.11
4356,2022,1,2022-01-15,Accra,5.55,-0.22,5.99
4364,2022,1,2022-01-15,Accra,5.55,-0.22,3.22
5123,2023,1,2023-01-15,Accra,5.55,-0.22,3.42
5124,2023,1,2023-01-15,Accra,5.55,-0.22,4.31
5393,2008,2,2008-02-15,Tema,5.62,-0.02,1.3
5397,2008,2,2008-02-15,Accra,5.55,-0.22,0.8
5472,2009,2,2009-02-15,Tema,5.62,-0.02,1.92
5476,2009,2,2009-02-15,Accra,5.55,-0.22,1.1
5564,2010,2,2010-02-15,Tema,5.62,-0.02,2.09
5568,2010,2,2010-02-15,Accra,5.55,-0.22,1.45
5660,2011,2,2011-02-15,Tema,5.62,-0.02,1.8
5665,2011,2,2011-02-15,Accra,5.55,-0.22,1.36
5755,2012,2,2012-02-15,Tema,5.62,-0.02,2.12
5760,2012,2,2012-02-15,Accra,5.55,-0.22,2.1
5884,2013,2,2013-02-15,Accra,5.55,-0.22,3.17
5909,2013,2,2013-02-15,Tema,5.62,-0.02,5.0
6016,2014,2,2014-02-15,Accra,5.55,-0.22,2.8
6114,2015,2,2015-02-15,Accra,5.55,-0.22,3.35
6219,2016,2,2016-02-15,Accra,5.55,-0.22,4.5
6242,2017,2,2017-02-15,Accra,5.55,-0.22,4.8
6328,2018,2,2018-02-15,Accra,5.55,-0.22,3.02
6425,2019,2,2019-02-15,Accra,5.55,-0.22,7.0
6435,2019,2,2019-02-15,Tema,5.62,-0.02,9.38
6653,2020,2,2020-02-15,Accra,5.55,-0.22,6.1
7008,2020,2,2020-02-15,Accra,5.55,-0.22,2.81
7009,2020,2,2020-02-15,Accra,5.55,-0.22,2.46
