Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
3073,2020,1,2020-01-15,Tamale,9.4,-0.83,1.27
3682,2021,1,2021-01-15,Tamale,9.4,-0.83,1.27
4664,2022,1,2022-01-15,Tamale,9.4,-0.83,1.7
4979,2023,1,2023-01-15,Tamale,9.4,-0.83,2.44
6834,2020,2,2020-02-15,Tamale,9.4,-0.83,2.0
6853,2020,2,2020-02-15,Yendi,9.45,-0.01,1.61
7979,2022,2,2022-02-15,Tamale,9.4,-0.83,1.02
8405,2023,2,2023-02-15,Tamale,9.4,-0.83,8.87
10098,2020,3,2020-03-15,Tamale,9.4,-0.83,1.27
10717,2021,3,2021-03-15,Tamale,9.4,-0.83,0.85
11197,2022,3,2022-03-15,Tamale,9.4,-0.83,1.36
11909,2023,3,2023-03-15,Tamale,9.4,-0.83,2.73
13585,2020,4,2020-04-15,Yendi,9.45,-0.01,2.63
13683,2020,4,2020-04-15,Tamale,9.4,-0.83,4.48
14027,2021,4,2021-04-15,Tamale,9.4,-0.83,1.53
14373,2022,4,2022-04-15,Tamale,9.4,-0.83,1.53
15172,2023,4,2023-04-15,Tamale,9.4,-0.83,9.17
16964,2020,5,2020-05-15,Tamale,9.4,-0.83,2.34
17097,2020,5,2020-05-15,Yendi,9.45,-0.01,1.55
17652,2021,5,2021-05-15,Tamale,9.4,-0.83,1.7
17979,2022,5,2022-05-15,Tamale,9.4,-0.83,4.32
18526,2023,5,2023-05-15,Tamale,9.4,-0.83,9.17
20082,2020,6,2020-06-15,Yendi,9.45,-0.01,1.98
20120,2020,6,2020-06-15,Tamale,9.4,-0.83,2.84
20350,2021,6,2021-06-15,Tamale,9.4,-0.83,3.41
20890,2022,6,2022-06-15,Tamale,9.4,-0.83,4.32
23111,2020,7,2020-07-15,Tamale,9.4,-0.83,2.0
23144,2020,7,2020-07-15,Yendi,9.45,-0.01,1.61
23790,2021,7,2021-07-15,Tamale,9.4,-0.83,2.56
24374,2022,7,2022-07-15,Tamale,9.4,-0.83,3.46
25121,2023,7,2023-07-15,Tamale,9.4,-0.83,2.84
26478,2019,8,2019-08-15,Tamale,9.4,-0.83,1.27
27339,2020,8,2020-08-15,Tamale,9.4,-0.83,2.31
27358,2020,8,2020-08-15,Yendi,9.45,-0.01,1.61
27472,2021,8,2021-08-15,Tamale,9.4,-0.83,2.04
28384,2022,8,2022-08-15,Tamale,9.4,-0.83,3.46
29996,2019,9,2019-09-15,Tamale,9.4,-0.83,1.27
30236,2020,9,2020-09-15,Yendi,9.45,-0.01,1.78
30244,2020,9,2020-09-15,Tamale,9.4,-0.83,2.4
30772,2021,9,2021-09-15,Tamale,9.4,-0.83,1.36
32808,2019,10,2019-10-15,Tamale,9.4,-0.83,1.27
33589,2020,10,2020-10-15,Tamale,9.4,-0.83,1.27
34030,2021,10,2021-10-15,Tamale,9.4,-0.83,1.02
34228,2022,10,2022-10-15,Tamale,9.4,-0.83,2.39
36118,2019,11,2019-11-15,Tamale,9.4,-0.83,1.27
36514,2020,11,2020-11-15,Tamale,9.4,-0.83,1.27
36922,2021,11,2021-11-15,Tamale,9.4,-0.83,1.19
37470,2022,11,2022-11-15,Tamale,9.4,-0.83,2.39
39175,2019,12,2019-12-15,Tamale,9.4,-0.83,1.27
39729,2020,12,2020-12-15,Tamale,9.4,-0.83,1.27
40110,2021,12,2021-12-15,Tamale,9.4,-0.83,1.36
