Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
2238,2011,1,2011-01-15,Tamale,9.4,-0.83,0.36
2272,2012,1,2012-01-15,Tamale,9.4,-0.83,0.56
2427,2013,1,2013-01-15,Tamale,9.4,-0.83,0.76
2495,2014,1,2014-01-15,Tamale,9.4,-0.83,0.9
2558,2015,1,2015-01-15,Tamale,9.4,-0.83,1.07
2664,2016,1,2016-01-15,Tamale,9.4,-0.83,0.95
2771,2017,1,2017-01-15,Tamale,9.4,-0.83,0.85
5653,2011,2,2011-02-15,Tamale,9.4,-0.83,0.36
5752,2012,2,2012-02-15,Tamale,9.4,-0.83,0.53
5916,2013,2,2013-02-15,Tamale,9.4,-0.83,0.54
6026,2014,2,2014-02-15,Tamale,9.4,-0.83,0.71
6126,2015,2,2015-02-15,Tamale,9.4,-0.83,0.98
6173,2016,2,2016-02-15,Tamale,9.4,-0.83,0.95
6256,2017,2,2017-02-15,Tamale,9.4,-0.83,0.77
9132,2011,3,2011-03-15,Tamale,9.4,-0.83,0.36
9225,2012,3,2012-03-15,Tamale,9.4,-0.83,0.6
9369,2013,3,2013-03-15,Tamale,9.4,-0.83,0.54
9407,2014,3,2014-03-15,Tamale,9.4,-0.83,0.71
9564,2015,3,2015-03-15,Tamale,9.4,-0.83,0.83
9628,2016,3,2016-03-15,Tamale,9.4,-0.83,0.95
9699,2017,3,2017-03-15,Tamale,9.4,-0.83,0.77
12535,2011,4,2011-04-15,Tamale,9.4,-0.83,0.36
12550,2012,4,2012-04-15,Tamale,9.4,-0.83,0.55
12647,2013,4,2013-04-15,Tamale,9.4,-0.83,0.6
12828,2015,4,2015-04-15,Tamale,9.4,-0.83,0.83
12949,2016,4,2016-04-15,Tamale,9.4,-0.83,0.95
13054,2017,4,2017-04-15,Tamale,9.4,-0.83,0.85
15898,2011,5,2011-05-15,Tamale,9.4,-0.83,0.42
15995,2012,5,2012-05-15,Tamale,9.4,-0.83,0.59
16094,2013,5,2013-05-15,Tamale,9.4,-0.83,0.61
16219,2014,5,2014-05-15,Tamale,9.4,-0.83,0.82
16372,2015,5,2015-05-15,Tamale,9.4,-0.83,0.93
16478,2016,5,2016-05-15,Tamale,9.4,-0.83,0.95
19228,2010,6,2010-06-15,Tamale,9.4,-0.83,0.29
19338,2011,6,2011-06-15,Tamale,9.4,-0.83,0.54
19417,2012,6,2012-06-15,Tamale,9.4,-0.83,0.54
19482,2013,6,2013-06-15,Tamale,9.4,-0.83,0.61
19571,2014,6,2014-06-15,Tamale,9.4,-0.83,0.77
19652,2015,6,2015-06-15,Tamale,9.4,-0.83,0.98
19830,2016,6,2016-06-15,Tamale,9.4,-0.83,0.95
19904,2017,6,2017-06-15,Tamale,9.4,-0.83,0.77
22281,2011,7,2011-07-15,Tamale,9.4,-0.83,0.59
22424,2012,7,2012-07-15,Tamale,9.4,-0.83,0.71
22500,2013,7,2013-07-15,Tamale,9.4,-0.83,0.73
22691,2015,7,2015-07-15,Tamale,9.4,-0.83,1.07
22758,2016,7,2016-07-15,Tamale,9.4,-0.83,0.95
25654,2011,8,2011-08-15,Tamale,9.4,-0.83,0.59
25750,2012,8,2012-08-15,Tamale,9.4,-0.83,0.71
25893,2013,8,2013-08-15,Tamale,9.4,-0.83,0.62
26020,2015,8,2015-08-15,Tamale,9.4,-0.83,1.19
26087,2016,8,2016-08-15,Tamale,9.4,-0.83,1.01
28733,2010,9,2010-09-15,Tamale,9.4,-0.83,0.29
28865,2011,9,2011-09-15,Tamale,9.4,-0.83,0.49
28881,2012,9,2012-09-15,Tamale,9.4,-0.83,0.71
29039,2013,9,2013-09-15,Tamale,9.4,-0.83,0.75
29145,2015,9,2015-09-15,Tamale,9.4,-0.83,1.19
29153,2016,9,2016-09-15,Tamale,9.4,-0.83,0.95
31803,2010,10,2010-10-15,Tamale,9.4,-0.83,0.33
31864,2011,10,2011-10-15,Tamale,9.4,-0.83,0.53
31961,2012,10,2012-10-15,Tamale,9.4,-0.83,0.71
32045,2013,10,2013-10-15,Tamale,9.4,-0.83,0.9
32336,2015,10,2015-10-15,Tamale,9.4,-0.83,1.19
32414,2016,10,2016-10-15,Tamale,9.4,-0.83,0.9
34909,2010,11,2010-11-15,Tamale,9.4,-0.83,0.43
35020,2011,11,2011-11-15,Tamale,9.4,-0.83,0.6
35108,2012,11,2012-11-15,Tamale,9.4,-0.83,0.67
35203,2013,11,2013-11-15,Tamale,9.4,-0.83,0.9
35410,2015,11,2015-11-15,Tamale,9.4,-0.83,1.01
35524,2016,11,2016-11-15,Tamale,9.4,-0.83,0.83
38130,2010,12,2010-12-15,Tamale,9.4,-0.83,0.43
38160,2011,12,2011-12-15,Tamale,9.4,-0.83,0.52
38261,2012,12,2012-12-15,Tamale,9.4,-0.83,0.65
38442,2013,12,2013-12-15,Tamale,9.4,-0.83,0.78
38531,2015,12,2015-12-15,Tamale,9.4,-0.83,0.95
38623,2016,12,2016-12-15,Tamale,9.4,-0.83,0.95
