Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
2242,2011,1,2011-01-15,Bolga,10.79,-0.85,0.33
2484,2014,1,2014-01-15,Bolga,10.79,-0.85,0.17
2778,2017,1,2017-01-15,Bolga,10.79,-0.85,2.8
2865,2018,1,2018-01-15,Bolga,10.79,-0.85,1.88
2920,2019,1,2019-01-15,Bolga,10.79,-0.85,1.37
3247,2020,1,2020-01-15,Bolga,10.79,-0.85,1.59
4485,2022,1,2022-01-15,Garu,10.85,-0.18,4.01
4497,2022,1,2022-01-15,Bolga,10.79,-0.85,4.95
4498,2022,1,2022-01-15,Bolga,10.79,-0.85,3.07
4893,2023,1,2023-01-15,Bolga,10.79,-0.85,3.76
4894,2023,1,2023-01-15,Bolga,10.79,-0.85,3.48
4918,2023,1,2023-01-15,Garu,10.85,-0.18,3.07
5574,2010,2,2010-02-15,Bolga,10.79,-0.85,0.14
5696,2011,2,2011-02-15,Bolga,10.79,-0.85,0.35
6271,2017,2,2017-02-15,Bolga,10.79,-0.85,2.86
6333,2018,2,2018-02-15,Bolga,10.79,-0.85,1.47
6434,2019,2,2019-02-15,Bolga,10.79,-0.85,1.37
6610,2020,2,2020-02-15,Bolga,10.79,-0.85,2.57
6779,2020,2,2020-02-15,Garu,10.85,-0.18,2.3
6845,2020,2,2020-02-15,Bolga,10.79,-0.85,3.24
7233,2021,2,2021-02-15,Garu,10.85,-0.18,5.36
7407,2021,2,2021-02-15,Bolga,10.79,-0.85,2.58
7408,2021,2,2021-02-15,Bolga,10.79,-0.85,3.9
7688,2022,2,2022-02-15,Bolga,10.79,-0.85,3.07
7689,2022,2,2022-02-15,Bolga,10.79,-0.85,3.07
8363,2023,2,2023-02-15,Bolga,10.79,-0.85,3.76
8364,2023,2,2023-02-15,Bolga,10.79,-0.85,3.48
8436,2023,2,2023-02-15,Garu,10.85,-0.18,4.17
9148,2011,3,2011-03-15,Bolga,10.79,-0.85,0.49
9703,2017,3,2017-03-15,Bolga,10.79,-0.85,3.81
9807,2018,3,2018-03-15,Bolga,10.79,-0.85,1.59
9862,2019,3,2019-03-15,Bolga,10.79,-0.85,1.59
10280,2020,3,2020-03-15,Bolga,10.79,-0.85,3.24
10500,2021,3,2021-03-15,Garu,10.85,-0.18,6.41
10676,2021,3,2021-03-15,Bolga,10.79,-0.85,2.58
10677,2021,3,2021-03-15,Bolga,10.79,-0.85,3.9
11043,2022,3,2022-03-15,Garu,10.85,-0.18,4.43
11878,2023,3,2023-03-15,Bolga,10.79,-0.85,8.35
11879,2023,3,2023-03-15,Bolga,10.79,-0.85,3.76
11984,2023,3,2023-03-15,Garu,10.85,-0.18,3.44
12521,2011,4,2011-04-15,Bolga,10.79,-0.85,0.55
12975,2016,4,2016-04-15,Bolga,10.79,-0.85,1.65
13049,2017,4,2017-04-15,Bolga,10.79,-0.85,3.9
13182,2019,4,2019-04-15,Bolga,10.79,-0.85,1.59
13540,2020,4,2020-04-15,Garu,10.85,-0.18,1.84
13541,2020,4,2020-04-15,Garu,10.85,-0.18,1.17
13558,2020,4,2020-04-15,Bolga,10.79,-0.85,3.93
13597,2020,4,2020-04-15,Bolga,10.79,-0.85,1.81
14010,2021,4,2021-04-15,Bolga,10.79,-0.85,2.58
14452,2022,4,2022-04-15,Bolga,10.79,-0.85,3.43
14453,2022,4,2022-04-15,Bolga,10.79,-0.85,3.76
14899,2022,4,2022-04-15,Garu,10.85,-0.18,4.43
15902,2011,5,2011-05-15,Bolga,10.79,-0.85,0.55
16458,2016,5,2016-05-15,Bolga,10.79,-0.85,3.02
16516,2017,5,2017-05-15,Bolga,10.79,-0.85,3.3
16598,2018,5,2018-05-15,Bolga,10.79,-0.85,1.65
16623,2019,5,2019-05-15,Bolga,10.79,-0.85,1.58
17043,2020,5,2020-05-15,Garu,10.85,-0.18,1.84
17044,2020,5,2020-05-15,Garu,10.85,-0.18,1.23
