Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
1949,2008,1,2008-01-15,Bolga,10.79,-0.85,0.71
2047,2009,1,2009-01-15,Bolga,10.79,-0.85,1.0
2145,2010,1,2010-01-15,Bolga,10.79,-0.85,1.18
2192,2011,1,2011-01-15,Bolga,10.79,-0.85,1.03
2290,2012,1,2012-01-15,Bolga,10.79,-0.85,1.4
2433,2013,1,2013-01-15,Bolga,10.79,-0.85,1.43
2489,2014,1,2014-01-15,Bolga,10.79,-0.85,1.34
2600,2015,1,2015-01-15,Bolga,10.79,-0.85,2.4
2671,2016,1,2016-01-15,Bolga,10.79,-0.85,2.32
2786,2017,1,2017-01-15,Bolga,10.79,-0.85,2.6
2868,2018,1,2018-01-15,Bolga,10.79,-0.85,2.76
2916,2019,1,2019-01-15,Bolga,10.79,-0.85,2.7
3200,2020,1,2020-01-15,Bolga,10.79,-0.85,2.9
3506,2020,1,2020-01-15,Bolga,10.79,-0.85,3.6
3597,2021,1,2021-01-15,Bolga,10.79,-0.85,3.96
3619,2021,1,2021-01-15,Bolga,10.79,-0.85,3.85
4453,2022,1,2022-01-15,Garu,10.85,-0.18,4.2
4454,2022,1,2022-01-15,Garu,10.85,-0.18,3.85
4486,2022,1,2022-01-15,Bolga,10.79,-0.85,3.84
4501,2022,1,2022-01-15,Bolga,10.79,-0.85,4.01
4881,2023,1,2023-01-15,Bolga,10.79,-0.85,9.58
4882,2023,1,2023-01-15,Bolga,10.79,-0.85,9.58
4907,2023,1,2023-01-15,Garu,10.85,-0.18,6.04
4908,2023,1,2023-01-15,Garu,10.85,-0.18,6.04
5421,2008,2,2008-02-15,Bolga,10.79,-0.85,0.7
5503,2009,2,2009-02-15,Bolga,10.79,-0.85,1.0
5596,2010,2,2010-02-15,Bolga,10.79,-0.85,1.1
5694,2011,2,2011-02-15,Bolga,10.79,-0.85,0.8
5767,2012,2,2012-02-15,Bolga,10.79,-0.85,1.4
5923,2013,2,2013-02-15,Bolga,10.79,-0.85,1.5
5980,2014,2,2014-02-15,Bolga,10.79,-0.85,1.48
6123,2015,2,2015-02-15,Bolga,10.79,-0.85,2.6
6166,2016,2,2016-02-15,Bolga,10.79,-0.85,2.35
6267,2017,2,2017-02-15,Bolga,10.79,-0.85,2.6
6337,2018,2,2018-02-15,Bolga,10.79,-0.85,1.89
6342,2018,2,2018-02-15,Garu,10.85,-0.18,1.18
6430,2019,2,2019-02-15,Bolga,10.79,-0.85,2.5
6639,2020,2,2020-02-15,Bolga,10.79,-0.85,2.72
6789,2020,2,2020-02-15,Bolga,10.79,-0.85,2.74
6811,2020,2,2020-02-15,Garu,10.85,-0.18,3.99
7255,2021,2,2021-02-15,Bolga,10.79,-0.85,3.3
7256,2021,2,2021-02-15,Bolga,10.79,-0.85,3.7
7302,2021,2,2021-02-15,Garu,10.85,-0.18,2.87
7303,2021,2,2021-02-15,Garu,10.85,-0.18,4.54
7668,2022,2,2022-02-15,Garu,10.85,-0.18,3.85
7676,2022,2,2022-02-15,Bolga,10.79,-0.85,4.18
7677,2022,2,2022-02-15,Bolga,10.79,-0.85,3.84
7699,2022,2,2022-02-15,Garu,10.85,-0.18,4.14
8352,2023,2,2023-02-15,Bolga,10.79,-0.85,8.83
8368,2023,2,2023-02-15,Bolga,10.79,-0.85,9.75
8413,2023,2,2023-02-15,Garu,10.85,-0.18,7.5
8757,2023,2,2023-02-15,Garu,10.85,-0.18,7.38
8905,2008,3,2008-03-15,Bolga,10.79,-0.85,0.83
8995,2009,3,2009-03-15,Bolga,10.79,-0.85,1.0
9090,2010,3,2010-03-15,Bolga,10.79,-0.85,1.0
9144,2011,3,2011-03-15,Bolga,10.79,-0.85,1.0
9219,2012,3,2012-03-15,Bolga,10.79,-0.85,1.41
9362,2013,3,2013-03-15,Bolga,10.79,-0.85,1.75
9441,2014,3,2014-03-15,Bolga,10.79,-0.85,1.56
9591,2015,3,2015-03-15,Bolga,10.79,-0.85,2.2
9607,2016,3,2016-03-15,Bolga,10.79,-0.85,2.4
9715,2017,3,2017-03-15,Bolga,10.79,-0.85,2.6
9822,2018,3,2018-03-15,Bolga,10.79,-0.85,1.88
9858,2019,3,2019-03-15,Bolga,10.79,-0.85,2.5
10283,2020,3,2020-03-15,Bolga,10.79,-0.85,3.6
10511,2021,3,2021-03-15,Garu,10.85,-0.18,2.86
10512,2021,3,2021-03-15,Garu,10.85,-0.18,3.93
10688,2021,3,2021-03-15,Bolga,10.79,-0.85,3.6
10689,2021,3,2021-03-15,Bolga,10.79,-0.85,3.7
11054,2022,3,2022-03-15,Garu,10.85,-0.18,4.49
11055,2022,3,2022-03-15,Garu,10.85,-0.18,4.52
11891,2023,3,2023-03-15,Bolga,10.79,-0.85,8.7
11922,2023,3,2023-03-15,Bolga,10.79,-0.85,9.58
11980,2023,3,2023-03-15,Garu,10.85,-0.18,6.65
11981,2023,3,2023-03-15,Garu,10.85,-0.18,6.88
12225,2008,4,2008-04-15,Bolga,10.79,-0.85,0.9
12309,2009,4,2009-04-15,Bolga,10.79,-0.85,1.0
12367,2010,4,2010-04-15,Bolga,10.79,-0.85,1.0
12494,2011,4,2011-04-15,Bolga,10.79,-0.85,1.12
12586,2012,4,2012-04-15,Bolga,10.79,-0.85,1.46
12649,2013,4,2013-04-15,Bolga,10.79,-0.85,1.42
12799,2014,4,2014-04-15,Bolga,10.79,-0.85,1.7
12832,2015,4,2015-04-15,Bolga,10.79,-0.85,2.25
12971,2016,4,2016-04-15,Bolga,10.79,-0.85,2.4
13057,2017,4,2017-04-15,Bolga,10.79,-0.85,2.4
13119,2018,4,2018-04-15,Bolga,10.79,-0.85,3.8
13179,2019,4,2019-04-15,Bolga,10.79,-0.85,2.7
13524,2020,4,2020-04-15,Bolga,10.79,-0.85,2.73
13525,2020,4,2020-04-15,Bolga,10.79,-0.85,2.45
13622,2020,4,2020-04-15,Garu,10.85,-0.18,2.07
13623,2020,4,2020-04-15,Garu,10.85,-0.18,3.85
14090,2021,4,2021-04-15,Bolga,10.79,-0.85,2.85
14091,2021,4,2021-04-15,Bolga,10.79,-0.85,3.7
14841,2022,4,2022-04-15,Garu,10.85,-0.18,4.49
14851,2022,4,2022-04-15,Garu,10.85,-0.18,4.51
14867,2022,4,2022-04-15,Bolga,10.79,-0.85,4.79
14868,2022,4,2022-04-15,Bolga,10.79,-0.85,4.27
14932,2023,4,2023-04-15,Bolga,10.79,-0.85,8.95
14933,2023,4,2023-04-15,Bolga,10.79,-0.85,9.92
15405,2023,4,2023-04-15,Garu,10.85,-0.18,7.43
15406,2023,4,2023-04-15,Garu,10.85,-0.18,7.48
15667,2008,5,2008-05-15,Bolga,10.79,-0.85,0.94
15730,2009,5,2009-05-15,Bolga,10.79,-0.85,1.0
15837,2010,5,2010-05-15,Bolga,10.79,-0.85,1.0
15906,2011,5,2011-05-15,Bolga,10.79,-0.85,1.3
16014,2012,5,2012-05-15,Bolga,10.79,-0.85,1.42
16109,2013,5,2013-05-15,Bolga,10.79,-0.85,1.43
16212,2014,5,2014-05-15,Bolga,10.79,-0.85,1.72
16378,2015,5,2015-05-15,Bolga,10.79,-0.85,2.48
16437,2016,5,2016-05-15,Bolga,10.79,-0.85,2.6
16512,2017,5,2017-05-15,Bolga,10.79,-0.85,2.4
16589,2018,5,2018-05-15,Bolga,10.79,-0.85,1.72
16630,2019,5,2019-05-15,Bolga,10.79,-0.85,2.67
16922,2020,5,2020-05-15,Garu,10.85,-0.18,3.84
16924,2020,5,2020-05-15,Garu,10.85,-0.18,2.98
17030,2020,5,2020-05-15,Bolga,10.79,-0.85,2.72
17031,2020,5,2020-05-15,Bolga,10.79,-0.85,2.73
17970,2022,5,2022-05-15,Bolga,10.79,-0.85,4.87
17972,2022,5,2022-05-15,Bolga,10.79,-0.85,4.27
18435,2023,5,2023-05-15,Bolga,10.79,-0.85,9.92
18436,2023,5,2023-05-15,Bolga,10.79,-0.85,8.95
18847,2023,5,2023-05-15,Garu,10.85,-0.18,7.43
18882,2023,5,2023-05-15,Garu,10.85,-0.18,7.48
19046,2008,6,2008-06-15,Bolga,10.79,-0.85,1.01
19116,2009,6,2009-06-15,Bolga,10.79,-0.85,1.1
19206,2010,6,2010-06-15,Bolga,10.79,-0.85,1.0
19348,2011,6,2011-06-15,Bolga,10.79,-0.85,1.38
19410,2012,6,2012-06-15,Bolga,10.79,-0.85,1.51
19489,2013,6,2013-06-15,Bolga,10.79,-0.85,1.56
19557,2014,6,2014-06-15,Bolga,10.79,-0.85,2.7
19673,2015,6,2015-06-15,Bolga,10.79,-0.85,2.6
19773,2016,6,2016-06-15,Bolga,10.79,-0.85,2.8
19919,2017,6,2017-06-15,Bolga,10.79,-0.85,2.6
19946,2018,6,2018-06-15,Bolga,10.79,-0.85,4.63
20022,2020,6,2020-06-15,Garu,10.85,-0.18,2.69
20128,2020,6,2020-06-15,Bolga,10.79,-0.85,2.68
20349,2021,6,2021-06-15,Bolga,10.79,-0.85,3.84
20376,2021,6,2021-06-15,Bolga,10.79,-0.85,4.4
20829,2022,6,2022-06-15,Garu,10.85,-0.18,4.49
20837,2022,6,2022-06-15,Garu,10.85,-0.18,4.81
21384,2023,6,2023-06-15,Garu,10.85,-0.18,6.78
21385,2023,6,2023-06-15,Garu,10.85,-0.18,6.84
21465,2023,6,2023-06-15,Bolga,10.79,-0.85,9.92
21479,2023,6,2023-06-15,Bolga,10.79,-0.85,8.95
21972,2007,7,2007-07-15,Bolga,10.79,-0.85,0.66
22033,2008,7,2008-07-15,Bolga,10.79,-0.85,1.07
22103,2009,7,2009-07-15,Bolga,10.79,-0.85,1.05
22198,2010,7,2010-07-15,Bolga,10.79,-0.85,1.0
22274,2011,7,2011-07-15,Bolga,10.79,-0.85,1.2
22397,2012,7,2012-07-15,Bolga,10.79,-0.85,1.5
22531,2013,7,2013-07-15,Bolga,10.79,-0.85,1.4
22699,2015,7,2015-07-15,Bolga,10.79,-0.85,3.2
22767,2016,7,2016-07-15,Bolga,10.79,-0.85,2.8
22868,2017,7,2017-07-15,Bolga,10.79,-0.85,3.0
22952,2018,7,2018-07-15,Bolga,10.79,-0.85,2.42
22965,2019,7,2019-07-15,Bolga,10.79,-0.85,2.7
23079,2020,7,2020-07-15,Bolga,10.79,-0.85,2.7
23080,2020,7,2020-07-15,Bolga,10.79,-0.85,2.74
23151,2020,7,2020-07-15,Garu,10.85,-0.18,3.99
23179,2020,7,2020-07-15,Garu,10.85,-0.18,3.31
23831,2021,7,2021-07-15,Bolga,10.79,-0.85,4.01
23853,2021,7,2021-07-15,Bolga,10.79,-0.85,3.84
24335,2022,7,2022-07-15,Bolga,10.79,-0.85,5.21
24336,2022,7,2022-07-15,Bolga,10.79,-0.85,4.76
24715,2023,7,2023-07-15,Garu,10.85,-0.18,7.08
24716,2023,7,2023-07-15,Garu,10.85,-0.18,7.04
25136,2023,7,2023-07-15,Bolga,10.79,-0.85,8.7
25137,2023,7,2023-07-15,Bolga,10.79,-0.85,9.92
25359,2007,8,2007-08-15,Bolga,10.79,-0.85,0.5
25401,2008,8,2008-08-15,Bolga,10.79,-0.85,1.15
25494,2009,8,2009-08-15,Bolga,10.79,-0.85,1.1
25575,2010,8,2010-08-15,Bolga,10.79,-0.85,1.0
25682,2011,8,2011-08-15,Bolga,10.79,-0.85,1.37
25768,2012,8,2012-08-15,Bolga,10.79,-0.85,1.46
25900,2013,8,2013-08-15,Bolga,10.79,-0.85,1.46
26104,2016,8,2016-08-15,Bolga,10.79,-0.85,2.8
26165,2017,8,2017-08-15,Bolga,10.79,-0.85,1.64
26213,2018,8,2018-08-15,Bolga,10.79,-0.85,3.35
26366,2019,8,2019-08-15,Bolga,10.79,-0.85,3.6
26398,2019,8,2019-08-15,Garu,10.85,-0.18,1.9
26399,2019,8,2019-08-15,Garu,10.85,-0.18,2.28
26555,2019,8,2019-08-15,Bolga,10.79,-0.85,2.9
27092,2020,8,2020-08-15,Bolga,10.79,-0.85,3.01
27101,2020,8,2020-08-15,Bolga,10.79,-0.85,3.11
27105,2020,8,2020-08-15,Garu,10.85,-0.18,3.59
27106,2020,8,2020-08-15,Garu,10.85,-0.18,2.97
27598,2021,8,2021-08-15,Garu,10.85,-0.18,3.1
27612,2021,8,2021-08-15,Garu,10.85,-0.18,4.03
28291,2022,8,2022-08-15,Garu,10.85,-0.18,4.49
28292,2022,8,2022-08-15,Garu,10.85,-0.18,5.13
28405,2022,8,2022-08-15,Bolga,10.79,-0.85,8.72
28411,2022,8,2022-08-15,Bolga,10.79,-0.85,6.1
28491,2007,9,2007-09-15,Bolga,10.79,-0.85,0.55
28518,2008,9,2008-09-15,Bolga,10.79,-0.85,1.29
28647,2009,9,2009-09-15,Bolga,10.79,-0.85,1.07
28725,2010,9,2010-09-15,Bolga,10.79,-0.85,1.0
28857,2011,9,2011-09-15,Bolga,10.79,-0.85,1.3
28906,2012,9,2012-09-15,Bolga,10.79,-0.85,1.36
28992,2013,9,2013-09-15,Bolga,10.79,-0.85,1.48
29188,2016,9,2016-09-15,Bolga,10.79,-0.85,3.0
29263,2017,9,2017-09-15,Bolga,10.79,-0.85,3.0
29325,2018,9,2018-09-15,Bolga,10.79,-0.85,2.45
29538,2019,9,2019-09-15,Bolga,10.79,-0.85,2.9
29750,2019,9,2019-09-15,Garu,10.85,-0.18,2.28
29751,2019,9,2019-09-15,Garu,10.85,-0.18,1.9
29942,2019,9,2019-09-15,Bolga,10.79,-0.85,3.6
30128,2020,9,2020-09-15,Bolga,10.79,-0.85,3.41
30129,2020,9,2020-09-15,Bolga,10.79,-0.85,3.3
30729,2021,9,2021-09-15,Bolga,10.79,-0.85,3.84
30731,2021,9,2021-09-15,Bolga,10.79,-0.85,4.01
31544,2007,10,2007-10-15,Bolga,10.79,-0.85,0.72
31651,2008,10,2008-10-15,Bolga,10.79,-0.85,1.38
31659,2009,10,2009-10-15,Bolga,10.79,-0.85,0.98
31795,2010,10,2010-10-15,Bolga,10.79,-0.85,1.0
31898,2011,10,2011-10-15,Bolga,10.79,-0.85,1.42
32039,2012,10,2012-10-15,Bolga,10.79,-0.85,1.48
32084,2013,10,2013-10-15,Bolga,10.79,-0.85,1.38
32233,2014,10,2014-10-15,Navrongo,10.89,-1.09,4.8
32237,2014,10,2014-10-15,Garu,10.85,-0.18,0.78
32240,2014,10,2014-10-15,Funbisi,10.45,-1.31,2.36
32266,2014,10,2014-10-15,Bongo,10.91,-0.81,2.2
32294,2014,10,2014-10-15,Bawku,11.05,-0.24,2.0
32356,2015,10,2015-10-15,Bolga,10.79,-0.85,2.58
32442,2016,10,2016-10-15,Bolga,10.79,-0.85,2.92
32504,2017,10,2017-10-15,Bolga,10.79,-0.85,3.2
32593,2018,10,2018-10-15,Bolga,10.79,-0.85,3.3
32777,2019,10,2019-10-15,Bolga,10.79,-0.85,2.9
32820,2019,10,2019-10-15,Bolga,10.79,-0.85,3.6
32980,2019,10,2019-10-15,Garu,10.85,-0.18,2.83
32981,2019,10,2019-10-15,Garu,10.85,-0.18,2.08
33405,2020,10,2020-10-15,Garu,10.85,-0.18,2.44
33406,2020,10,2020-10-15,Garu,10.85,-0.18,4.56
33942,2021,10,2021-10-15,Garu,10.85,-0.18,3.1
33943,2021,10,2021-10-15,Garu,10.85,-0.18,4.02
34103,2021,10,2021-10-15,Bolga,10.79,-0.85,3.84
34106,2021,10,2021-10-15,Bolga,10.79,-0.85,4.01
34478,2022,10,2022-10-15,Garu,10.85,-0.18,5.74
34479,2022,10,2022-10-15,Garu,10.85,-0.18,5.59
34610,2022,10,2022-10-15,Bolga,10.79,-0.85,6.07
34611,2022,10,2022-10-15,Bolga,10.79,-0.85,6.55
34722,2007,11,2007-11-15,Bolga,10.79,-0.85,0.6
34776,2008,11,2008-11-15,Bolga,10.79,-0.85,1.17
34878,2009,11,2009-11-15,Bolga,10.79,-0.85,1.0
34994,2010,11,2010-11-15,Bolga,10.79,-0.85,1.0
35027,2011,11,2011-11-15,Bolga,10.79,-0.85,1.35
35141,2012,11,2012-11-15,Bolga,10.79,-0.85,1.45
35187,2013,11,2013-11-15,Bolga,10.79,-0.85,1.3
35384,2015,11,2015-11-15,Bolga,10.79,-0.85,2.4
35530,2016,11,2016-11-15,Bolga,10.79,-0.85,2.62
35587,2017,11,2017-11-15,Bolga,10.79,-0.85,1.78
35625,2018,11,2018-11-15,Bolga,10.79,-0.85,3.1
35786,2019,11,2019-11-15,Bolga,10.79,-0.85,3.6
36136,2019,11,2019-11-15,Bolga,10.79,-0.85,2.9
