Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
3442,2020,1,2020-01-15,Wa,10.05,-2.48,1.2
3610,2021,1,2021-01-15,Wa,10.05,-2.48,2.0
3611,2021,1,2021-01-15,Wa,10.05,-2.48,1.8
4468,2022,1,2022-01-15,Wa,10.05,-2.48,3.87
4469,2022,1,2022-01-15,Wa,10.05,-2.48,2.69
5055,2023,1,2023-01-15,Wa,10.05,-2.48,5.19
5056,2023,1,2023-01-15,Wa,10.05,-2.48,4.48
6797,2020,2,2020-02-15,Wa,10.05,-2.48,1.4
7297,2021,2,2021-02-15,Wa,10.05,-2.48,2.2
7633,2022,2,2022-02-15,Wa,10.05,-2.48,2.81
7634,2022,2,2022-02-15,Wa,10.05,-2.48,2.81
8472,2023,2,2023-02-15,Wa,10.05,-2.48,5.38
8474,2023,2,2023-02-15,Wa,10.05,-2.48,5.5
10206,2020,3,2020-03-15,Wa,10.05,-2.48,1.2
10465,2021,3,2021-03-15,Wa,10.05,-2.48,1.8
10466,2021,3,2021-03-15,Wa,10.05,-2.48,2.0
11131,2022,3,2022-03-15,Wa,10.05,-2.48,3.65
11132,2022,3,2022-03-15,Wa,10.05,-2.48,3.67
11934,2023,3,2023-03-15,Wa,10.05,-2.48,5.23
11935,2023,3,2023-03-15,Wa,10.05,-2.48,5.56
13607,2020,4,2020-04-15,Wa,10.05,-2.48,1.27
14110,2021,4,2021-04-15,Wa,10.05,-2.48,2.2
14111,2021,4,2021-04-15,Wa,10.05,-2.48,2.0
14818,2022,4,2022-04-15,Wa,10.05,-2.48,3.69
14819,2022,4,2022-04-15,Wa,10.05,-2.48,3.8
15371,2023,4,2023-04-15,Wa,10.05,-2.48,5.23
15372,2023,4,2023-04-15,Wa,10.05,-2.48,5.6
16872,2020,5,2020-05-15,Wa,10.05,-2.48,1.4
17523,2021,5,2021-05-15,Wa,10.05,-2.48,2.0
17524,2021,5,2021-05-15,Wa,10.05,-2.48,2.4
17916,2022,5,2022-05-15,Wa,10.05,-2.48,4.0
17917,2022,5,2022-05-15,Wa,10.05,-2.48,3.49
18908,2023,5,2023-05-15,Wa,10.05,-2.48,5.82
18925,2023,5,2023-05-15,Wa,10.05,-2.48,5.68
20431,2021,6,2021-06-15,Wa,10.05,-2.48,3.64
20432,2021,6,2021-06-15,Wa,10.05,-2.48,2.4
21160,2022,6,2022-06-15,Wa,10.05,-2.48,3.49
21177,2022,6,2022-06-15,Wa,10.05,-2.48,4.0
21434,2023,6,2023-06-15,Wa,10.05,-2.48,5.52
21435,2023,6,2023-06-15,Wa,10.05,-2.48,5.68
23139,2020,7,2020-07-15,Wa,10.05,-2.48,1.4
23711,2021,7,2021-07-15,Wa,10.05,-2.48,2.4
23712,2021,7,2021-07-15,Wa,10.05,-2.48,3.2
24436,2022,7,2022-07-15,Wa,10.05,-2.48,3.6
24437,2022,7,2022-07-15,Wa,10.05,-2.48,3.49
24755,2023,7,2023-07-15,Wa,10.05,-2.48,5.73
24756,2023,7,2023-07-15,Wa,10.05,-2.48,5.68
26599,2019,8,2019-08-15,Wa,10.05,-2.48,1.35
27073,2020,8,2020-08-15,Wa,10.05,-2.48,1.52
27074,2020,8,2020-08-15,Wa,10.05,-2.48,1.4
27559,2021,8,2021-08-15,Wa,10.05,-2.48,3.2
27560,2021,8,2021-08-15,Wa,10.05,-2.48,3.6
29690,2019,9,2019-09-15,Wa,10.05,-2.48,1.35
30172,2020,9,2020-09-15,Wa,10.05,-2.48,1.38
30173,2020,9,2020-09-15,Wa,10.05,-2.48,1.6
30796,2021,9,2021-09-15,Wa,10.05,-2.48,3.2
30855,2021,9,2021-09-15,Wa,10.05,-2.48,3.6
31060,2022,9,2022-09-15,Wa,10.05,-2.48,4.48
31065,2022,9,2022-09-15,Wa,10.05,-2.48,3.72
32961,2019,10,2019-10-15,Wa,10.05,-2.48,1.36
33940,2021,10,2021-10-15,Wa,10.05,-2.48,3.6
33941,2021,10,2021-10-15,Wa,10.05,-2.48,3.08
34502,2022,10,2022-10-15,Wa,10.05,-2.48,4.48
34503,2022,10,2022-10-15,Wa,10.05,-2.48,3.95
35720,2019,11,2019-11-15,Wa,10.05,-2.48,1.38
36851,2021,11,2021-11-15,Wa,10.05,-2.48,2.69
36852,2021,11,2021-11-15,Wa,10.05,-2.48,3.23
39308,2019,12,2019-12-15,Wa,10.05,-2.48,1.22
39447,2020,12,2020-12-15,Wa,10.05,-2.48,1.8
39455,2020,12,2020-12-15,Wa,10.05,-2.48,2.0
40414,2021,12,2021-12-15,Wa,10.05,-2.48,3.16
40441,2021,12,2021-12-15,Wa,10.05,-2.48,2.69
