Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
3418,2020,1,2020-01-15,Wa,10.05,-2.48,2.92
4029,2021,1,2021-01-15,Wa,10.05,-2.48,23.06
6928,2020,2,2020-02-15,Wa,10.05,-2.48,3.83
8159,2023,2,2023-02-15,Wa,10.05,-2.48,1.6
10239,2020,3,2020-03-15,Wa,10.05,-2.48,3.14
11113,2022,3,2022-03-15,Wa,10.05,-2.48,7.5
14886,2022,4,2022-04-15,Wa,10.05,-2.48,7.5
15494,2023,4,2023-04-15,Wa,10.05,-2.48,1.6
16873,2020,5,2020-05-15,Wa,10.05,-2.48,12.92
18427,2023,5,2023-05-15,Wa,10.05,-2.48,1.6
20470,2021,6,2021-06-15,Wa,10.05,-2.48,6.86
21422,2023,6,2023-06-15,Wa,10.05,-2.48,8.33
23035,2020,7,2020-07-15,Wa,10.05,-2.48,3.83
24457,2022,7,2022-07-15,Wa,10.05,-2.48,7.5
26593,2019,8,2019-08-15,Wa,10.05,-2.48,2.98
29685,2019,9,2019-09-15,Wa,10.05,-2.48,2.89
32903,2019,10,2019-10-15,Wa,10.05,-2.48,2.94
34434,2022,10,2022-10-15,Wa,10.05,-2.48,0.87
34451,2022,10,2022-10-15,Wa,10.05,-2.48,7.5
35710,2019,11,2019-11-15,Wa,10.05,-2.48,3.53
39275,2019,12,2019-12-15,Wa,10.05,-2.48,3.53
39439,2020,12,2020-12-15,Wa,10.05,-2.48,69.04
