Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
1917,2008,1,2008-01-15,Wa,10.05,-2.48,0.82
2004,2009,1,2009-01-15,Wa,10.05,-2.48,0.99
2138,2010,1,2010-01-15,Wa,10.05,-2.48,1.09
2189,2011,1,2011-01-15,Wa,10.05,-2.48,0.78
2312,2012,1,2012-01-15,Wa,10.05,-2.48,1.5
2403,2013,1,2013-01-15,Wa,10.05,-2.48,1.82
2516,2014,1,2014-01-15,Wa,10.05,-2.48,1.6
2590,2015,1,2015-01-15,Wa,10.05,-2.48,2.2
2712,2016,1,2016-01-15,Wa,10.05,-2.48,2.86
2756,2017,1,2017-01-15,Wa,10.05,-2.48,3.55
3435,2020,1,2020-01-15,Wa,10.05,-2.48,7.96
3603,2021,1,2021-01-15,Wa,10.05,-2.48,5.04
4578,2022,1,2022-01-15,Wa,10.05,-2.48,2.96
5045,2023,1,2023-01-15,Wa,10.05,-2.48,4.21
5046,2023,1,2023-01-15,Wa,10.05,-2.48,3.54
5414,2008,2,2008-02-15,Wa,10.05,-2.48,0.67
5494,2009,2,2009-02-15,Wa,10.05,-2.48,0.99
5587,2010,2,2010-02-15,Wa,10.05,-2.48,1.07
5684,2011,2,2011-02-15,Wa,10.05,-2.48,0.81
5778,2012,2,2012-02-15,Wa,10.05,-2.48,1.52
5892,2013,2,2013-02-15,Wa,10.05,-2.48,1.9
5996,2014,2,2014-02-15,Wa,10.05,-2.48,1.82
6091,2015,2,2015-02-15,Wa,10.05,-2.48,2.2
6192,2016,2,2016-02-15,Wa,10.05,-2.48,3.9
6276,2017,2,2017-02-15,Wa,10.05,-2.48,4.6
6346,2018,2,2018-02-15,Wa,10.05,-2.48,2.31
6864,2020,2,2020-02-15,Wa,10.05,-2.48,1.8
7316,2021,2,2021-02-15,Wa,10.05,-2.48,2.33
8464,2023,2,2023-02-15,Wa,10.05,-2.48,13.61
8465,2023,2,2023-02-15,Wa,10.05,-2.48,3.25
8898,2008,3,2008-03-15,Wa,10.05,-2.48,0.67
9011,2009,3,2009-03-15,Wa,10.05,-2.48,0.99
9079,2010,3,2010-03-15,Wa,10.05,-2.48,1.1
9163,2011,3,2011-03-15,Wa,10.05,-2.48,1.4
9288,2012,3,2012-03-15,Wa,10.05,-2.48,1.7
9386,2013,3,2013-03-15,Wa,10.05,-2.48,1.9
9464,2014,3,2014-03-15,Wa,10.05,-2.48,2.32
9529,2015,3,2015-03-15,Wa,10.05,-2.48,2.2
9657,2016,3,2016-03-15,Wa,10.05,-2.48,3.9
9784,2017,3,2017-03-15,Wa,10.05,-2.48,4.47
10228,2020,3,2020-03-15,Wa,10.05,-2.48,9.29
10409,2021,3,2021-03-15,Wa,10.05,-2.48,2.13
11116,2022,3,2022-03-15,Wa,10.05,-2.48,4.14
11117,2022,3,2022-03-15,Wa,10.05,-2.48,6.25
11586,2023,3,2023-03-15,Wa,10.05,-2.48,4.59
11607,2023,3,2023-03-15,Wa,10.05,-2.48,4.14
12198,2008,4,2008-04-15,Wa,10.05,-2.48,0.91
12291,2009,4,2009-04-15,Wa,10.05,-2.48,1.1
12401,2010,4,2010-04-15,Wa,10.05,-2.48,1.04
12504,2011,4,2011-04-15,Wa,10.05,-2.48,1.3
12576,2012,4,2012-04-15,Wa,10.05,-2.48,1.6
12673,2013,4,2013-04-15,Wa,10.05,-2.48,1.9
12780,2014,4,2014-04-15,Wa,10.05,-2.48,2.2
12862,2015,4,2015-04-15,Wa,10.05,-2.48,2.4
12960,2016,4,2016-04-15,Wa,10.05,-2.48,3.9
13074,2017,4,2017-04-15,Wa,10.05,-2.48,4.9
13612,2020,4,2020-04-15,Wa,10.05,-2.48,1.69
14056,2021,4,2021-04-15,Wa,10.05,-2.48,2.99
14854,2022,4,2022-04-15,Wa,10.05,-2.48,4.14
14887,2022,4,2022-04-15,Wa,10.05,-2.48,6.25
15476,2023,4,2023-04-15,Wa,10.05,-2.48,22.25
15477,2023,4,2023-04-15,Wa,10.05,-2.48,2.28
15660,2008,5,2008-05-15,Wa,10.05,-2.48,1.17
15747,2009,5,2009-05-15,Wa,10.05,-2.48,1.29
15821,2010,5,2010-05-15,Wa,10.05,-2.48,1.32
15918,2011,5,2011-05-15,Wa,10.05,-2.48,1.4
16024,2012,5,2012-05-15,Wa,10.05,-2.48,1.2
16123,2013,5,2013-05-15,Wa,10.05,-2.48,1.9
16279,2014,5,2014-05-15,Wa,10.05,-2.48,2.2
16339,2015,5,2015-05-15,Wa,10.05,-2.48,3.9
16448,2016,5,2016-05-15,Wa,10.05,-2.48,4.4
16504,2017,5,2017-05-15,Wa,10.05,-2.48,2.32
16885,2020,5,2020-05-15,Wa,10.05,-2.48,1.95
17531,2021,5,2021-05-15,Wa,10.05,-2.48,3.26
17938,2022,5,2022-05-15,Wa,10.05,-2.48,6.25
17939,2022,5,2022-05-15,Wa,10.05,-2.48,6.12
18892,2023,5,2023-05-15,Wa,10.05,-2.48,2.28
18893,2023,5,2023-05-15,Wa,10.05,-2.48,22.25
19041,2008,6,2008-06-15,Wa,10.05,-2.48,1.55
19100,2009,6,2009-06-15,Wa,10.05,-2.48,1.45
19231,2010,6,2010-06-15,Wa,10.05,-2.48,1.5
19270,2011,6,2011-06-15,Wa,10.05,-2.48,1.47
19463,2013,6,2013-06-15,Wa,10.05,-2.48,2.34
19621,2014,6,2014-06-15,Wa,10.05,-2.48,2.2
19685,2015,6,2015-06-15,Wa,10.05,-2.48,4.12
19796,2016,6,2016-06-15,Wa,10.05,-2.48,5.75
19914,2017,6,2017-06-15,Wa,10.05,-2.48,5.0
20476,2021,6,2021-06-15,Wa,10.05,-2.48,11.43
21192,2022,6,2022-06-15,Wa,10.05,-2.48,6.12
21193,2022,6,2022-06-15,Wa,10.05,-2.48,6.25
21442,2023,6,2023-06-15,Wa,10.05,-2.48,2.28
21443,2023,6,2023-06-15,Wa,10.05,-2.48,22.25
21954,2007,7,2007-07-15,Wa,10.05,-2.48,0.36
22040,2008,7,2008-07-15,Wa,10.05,-2.48,0.17
22112,2009,7,2009-07-15,Wa,10.05,-2.48,1.4
22244,2010,7,2010-07-15,Wa,10.05,-2.48,2.2
22295,2011,7,2011-07-15,Wa,10.05,-2.48,2.53
22362,2012,7,2012-07-15,Wa,10.05,-2.48,0.45
22524,2013,7,2013-07-15,Wa,10.05,-2.48,3.0
22590,2014,7,2014-07-15,Wa,10.05,-2.48,2.2
22672,2015,7,2015-07-15,Wa,10.05,-2.48,4.9
22773,2016,7,2016-07-15,Wa,10.05,-2.48,6.6
22876,2017,7,2017-07-15,Wa,10.05,-2.48,1.28
23048,2020,7,2020-07-15,Wa,10.05,-2.48,1.8
24466,2022,7,2022-07-15,Wa,10.05,-2.48,6.12
24467,2022,7,2022-07-15,Wa,10.05,-2.48,6.25
24746,2023,7,2023-07-15,Wa,10.05,-2.48,22.25
24757,2023,7,2023-07-15,Wa,10.05,-2.48,4.14
25357,2007,8,2007-08-15,Wa,10.05,-2.48,0.3
25400,2008,8,2008-08-15,Wa,10.05,-2.48,1.33
25496,2009,8,2009-08-15,Wa,10.05,-2.48,0.66
25589,2010,8,2010-08-15,Wa,10.05,-2.48,1.25
25694,2011,8,2011-08-15,Wa,10.05,-2.48,1.63
25872,2013,8,2013-08-15,Wa,10.05,-2.48,1.9
26001,2014,8,2014-08-15,Wa,10.05,-2.48,2.2
26030,2016,8,2016-08-15,Wa,10.05,-2.48,6.6
26603,2019,8,2019-08-15,Wa,10.05,-2.48,7.14
27065,2020,8,2020-08-15,Wa,10.05,-2.48,2.04
27568,2021,8,2021-08-15,Wa,10.05,-2.48,3.52
28488,2007,9,2007-09-15,Wa,10.05,-2.48,0.21
28526,2008,9,2008-09-15,Wa,10.05,-2.48,0.75
28629,2009,9,2009-09-15,Wa,10.05,-2.48,0.54
28761,2010,9,2010-09-15,Wa,10.05,-2.48,0.75
28842,2011,9,2011-09-15,Wa,10.05,-2.48,0.82
28894,2012,9,2012-09-15,Wa,10.05,-2.48,0.95
29004,2013,9,2013-09-15,Wa,10.05,-2.48,1.65
29108,2014,9,2014-09-15,Wa,10.05,-2.48,2.2
29256,2017,9,2017-09-15,Wa,10.05,-2.48,1.46
29694,2019,9,2019-09-15,Wa,10.05,-2.48,8.18
30181,2020,9,2020-09-15,Wa,10.05,-2.48,2.27
30847,2021,9,2021-09-15,Wa,10.05,-2.48,3.2
31051,2022,9,2022-09-15,Wa,10.05,-2.48,3.08
31058,2022,9,2022-09-15,Wa,10.05,-2.48,6.25
31573,2007,10,2007-10-15,Wa,10.05,-2.48,0.26
31629,2008,10,2008-10-15,Wa,10.05,-2.48,0.62
31686,2009,10,2009-10-15,Wa,10.05,-2.48,0.99
31829,2010,10,2010-10-15,Wa,10.05,-2.48,0.87
31926,2011,10,2011-10-15,Wa,10.05,-2.48,0.9
32028,2012,10,2012-10-15,Wa,10.05,-2.48,1.12
32061,2013,10,2013-10-15,Wa,10.05,-2.48,1.45
32258,2014,10,2014-10-15,Wa,10.05,-2.48,2.2
32347,2015,10,2015-10-15,Wa,10.05,-2.48,2.08
32432,2016,10,2016-10-15,Wa,10.05,-2.48,2.74
32910,2019,10,2019-10-15,Wa,10.05,-2.48,8.57
33921,2021,10,2021-10-15,Wa,10.05,-2.48,2.61
34452,2022,10,2022-10-15,Wa,10.05,-2.48,4.85
34474,2022,10,2022-10-15,Wa,10.05,-2.48,3.08
34684,2007,11,2007-11-15,Wa,10.05,-2.48,0.25
34763,2008,11,2008-11-15,Wa,10.05,-2.48,0.76
34826,2009,11,2009-11-15,Wa,10.05,-2.48,0.99
34945,2010,11,2010-11-15,Wa,10.05,-2.48,0.76
35082,2011,11,2011-11-15,Wa,10.05,-2.48,0.9
35182,2012,11,2012-11-15,Wa,10.05,-2.48,1.25
35207,2013,11,2013-11-15,Wa,10.05,-2.48,1.85
35295,2014,11,2014-11-15,Wa,10.05,-2.48,2.2
35380,2015,11,2015-11-15,Wa,10.05,-2.48,2.35
35519,2016,11,2016-11-15,Wa,10.05,-2.48,3.43
35716,2019,11,2019-11-15,Wa,10.05,-2.48,8.89
36860,2021,11,2021-11-15,Wa,10.05,-2.48,2.88
37919,2007,12,2007-12-15,Wa,10.05,-2.48,0.27
38016,2008,12,2008-12-15,Wa,10.05,-2.48,0.83
38086,2009,12,2009-12-15,Wa,10.05,-2.48,0.99
38139,2010,12,2010-12-15,Wa,10.05,-2.48,0.36
38172,2011,12,2011-12-15,Wa,10.05,-2.48,1.1
38303,2012,12,2012-12-15,Wa,10.05,-2.48,1.6
38422,2013,12,2013-12-15,Wa,10.05,-2.48,1.75
38479,2014,12,2014-12-15,Wa,10.05,-2.48,2.2
38545,2015,12,2015-12-15,Wa,10.05,-2.48,2.6
38651,2016,12,2016-12-15,Wa,10.05,-2.48,4.47
38744,2017,12,2017-12-15,Wa,10.05,-2.48,2.11
39349,2019,12,2019-12-15,Wa,10.05,-2.48,8.24
39435,2020,12,2020-12-15,Wa,10.05,-2.48,11.54
40055,2021,12,2021-12-15,Wa,10.05,-2.48,3.04
