Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
3406,2020,1,2020-01-15,Ho,6.6,0.47,1.31
3985,2021,1,2021-01-15,Hohoe,7.15,0.47,3.45
4031,2021,1,2021-01-15,Ho,6.6,0.47,2.55
4596,2022,1,2022-01-15,Ho,6.6,0.47,5.83
5010,2023,1,2023-01-15,Hohoe,7.15,0.47,12.22
5070,2023,1,2023-01-15,Ho,6.6,0.47,6.25
5248,2023,1,2023-01-15,Nkwanta,8.26,0.52,9.36
6912,2020,2,2020-02-15,Hohoe,7.15,0.47,3.57
6916,2020,2,2020-02-15,Ho,6.6,0.47,2.91
7154,2021,2,2021-02-15,Hohoe,7.15,0.47,3.95
7651,2022,2,2022-02-15,Hohoe,7.15,0.47,2.65
8218,2023,2,2023-02-15,Ho,6.6,0.47,5.23
8668,2023,2,2023-02-15,Nkwanta,8.26,0.52,5.13
8740,2023,2,2023-02-15,Hohoe,7.15,0.47,16.11
10178,2020,3,2020-03-15,Ho,6.6,0.47,1.16
11396,2022,3,2022-03-15,Ho,6.6,0.47,6.43
11406,2022,3,2022-03-15,Hohoe,7.15,0.47,7.68
11464,2023,3,2023-03-15,Nkwanta,8.26,0.52,5.8
11622,2023,3,2023-03-15,Hohoe,7.15,0.47,13.89
13662,2020,4,2020-04-15,Ho,6.6,0.47,5.49
13823,2020,4,2020-04-15,Hohoe,7.15,0.47,7.66
14724,2022,4,2022-04-15,Ho,6.6,0.47,6.61
14759,2022,4,2022-04-15,Hohoe,7.15,0.47,7.68
15236,2023,4,2023-04-15,Hohoe,7.15,0.47,20.0
16801,2020,5,2020-05-15,Hohoe,7.15,0.47,5.91
16894,2020,5,2020-05-15,Ho,6.6,0.47,4.77
17505,2021,5,2021-05-15,Ho,6.6,0.47,4.64
18282,2023,5,2023-05-15,Hohoe,7.15,0.47,20.0
18303,2023,5,2023-05-15,Ho,6.6,0.47,3.85
18415,2023,5,2023-05-15,Nkwanta,8.26,0.52,2.27
20051,2020,6,2020-06-15,Hohoe,7.15,0.47,3.98
20430,2021,6,2021-06-15,Ho,6.6,0.47,2.43
21130,2022,6,2022-06-15,Ho,6.6,0.47,5.69
21617,2023,6,2023-06-15,Ho,6.6,0.47,4.04
21651,2023,6,2023-06-15,Hohoe,7.15,0.47,20.0
23029,2020,7,2020-07-15,Ho,6.6,0.47,2.91
23552,2020,7,2020-07-15,Hohoe,7.15,0.47,3.64
23694,2021,7,2021-07-15,Ho,6.6,0.47,6.11
23766,2021,7,2021-07-15,Hohoe,7.15,0.47,7.94
24208,2022,7,2022-07-15,Hohoe,7.15,0.47,6.44
24403,2022,7,2022-07-15,Ho,6.6,0.47,4.82
24789,2023,7,2023-07-15,Ho,6.6,0.47,3.97
24849,2023,7,2023-07-15,Hohoe,7.15,0.47,20.0
26589,2019,8,2019-08-15,Ho,6.6,0.47,1.18
27199,2020,8,2020-08-15,Ho,6.6,0.47,2.7
27209,2020,8,2020-08-15,Hohoe,7.15,0.47,3.96
27652,2021,8,2021-08-15,Ho,6.6,0.47,5.22
27945,2022,8,2022-08-15,Nkwanta,8.26,0.52,9.15
28296,2022,8,2022-08-15,Ho,6.6,0.47,3.59
28300,2022,8,2022-08-15,Hohoe,7.15,0.47,6.44
29703,2019,9,2019-09-15,Ho,6.6,0.47,1.55
29831,2019,9,2019-09-15,Hohoe,7.15,0.47,1.17
30282,2020,9,2020-09-15,Ho,6.6,0.47,2.8
30362,2020,9,2020-09-15,Hohoe,7.15,0.47,3.93
30870,2021,9,2021-09-15,Ho,6.6,0.47,4.93
31091,2022,9,2022-09-15,Ho,6.6,0.47,4.39
31195,2022,9,2022-09-15,Nkwanta,8.26,0.52,6.82
31234,2022,9,2022-09-15,Hohoe,7.15,0.47,12.22
33489,2020,10,2020-10-15,Ho,6.6,0.47,2.19
33967,2021,10,2021-10-15,Ho,6.6,0.47,4.73
34461,2022,10,2022-10-15,Ho,6.6,0.47,1.54
34553,2022,10,2022-10-15,Nkwanta,8.26,0.52,4.94
34595,2022,10,2022-10-15,Hohoe,7.15,0.47,4.13
35738,2019,11,2019-11-15,Ho,6.6,0.47,1.6
35860,2019,11,2019-11-15,Hohoe,7.15,0.47,2.4
36278,2020,11,2020-11-15,Ho,6.6,0.47,2.19
37238,2021,11,2021-11-15,Ho,6.6,0.47,4.64
37377,2022,11,2022-11-15,Ho,6.6,0.47,5.33
37505,2022,11,2022-11-15,Nkwanta,8.26,0.52,11.25
37629,2022,11,2022-11-15,Hohoe,7.15,0.47,6.44
39302,2019,12,2019-12-15,Ho,6.6,0.47,1.6
39393,2019,12,2019-12-15,Hohoe,7.15,0.47,2.4
40076,2021,12,2021-12-15,Ho,6.6,0.47,5.22
40512,2022,12,2022-12-15,Ho,6.6,0.47,5.97
40648,2022,12,2022-12-15,Hohoe,7.15,0.47,12.22
40663,2022,12,2022-12-15,Nkwanta,8.26,0.52,4.27
