Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
3408,2020,1,2020-01-15,Ho,6.6,0.47,1.92
3982,2021,1,2021-01-15,Hohoe,7.15,0.47,3.67
3983,2021,1,2021-01-15,Hohoe,7.15,0.47,0.73
4594,2022,1,2022-01-15,Ho,6.6,0.47,1.59
5030,2023,1,2023-01-15,Hohoe,7.15,0.47,8.83
5031,2023,1,2023-01-15,Hohoe,7.15,0.47,27.46
5068,2023,1,2023-01-15,Ho,6.6,0.47,3.25
5244,2023,1,2023-01-15,Nkwanta,8.26,0.52,3.4
6883,2020,2,2020-02-15,Hohoe,7.15,0.47,1.74
6884,2020,2,2020-02-15,Hohoe,7.15,0.47,4.03
6914,2020,2,2020-02-15,Ho,6.6,0.47,15.75
7384,2021,2,2021-02-15,Ho,6.6,0.47,2.19
7646,2022,2,2022-02-15,Hohoe,7.15,0.47,2.62
8024,2022,2,2022-02-15,Hohoe,7.15,0.47,15.68
8221,2023,2,2023-02-15,Ho,6.6,0.47,23.7
8222,2023,2,2023-02-15,Ho,6.6,0.47,8.39
8690,2023,2,2023-02-15,Nkwanta,8.26,0.52,6.47
8691,2023,2,2023-02-15,Nkwanta,8.26,0.52,0.71
8735,2023,2,2023-02-15,Hohoe,7.15,0.47,11.08
8736,2023,2,2023-02-15,Hohoe,7.15,0.47,14.07
10176,2020,3,2020-03-15,Ho,6.6,0.47,3.25
10878,2021,3,2021-03-15,Ho,6.6,0.47,2.1
11398,2022,3,2022-03-15,Ho,6.6,0.47,2.93
11435,2022,3,2022-03-15,Hohoe,7.15,0.47,27.46
11436,2022,3,2022-03-15,Hohoe,7.15,0.47,5.56
11626,2023,3,2023-03-15,Hohoe,7.15,0.47,23.73
11627,2023,3,2023-03-15,Hohoe,7.15,0.47,10.64
11639,2023,3,2023-03-15,Ho,6.6,0.47,4.87
13661,2020,4,2020-04-15,Ho,6.6,0.47,3.06
13722,2020,4,2020-04-15,Hohoe,7.15,0.47,3.17
13763,2020,4,2020-04-15,Hohoe,7.15,0.47,7.78
14076,2021,4,2021-04-15,Ho,6.6,0.47,2.83
14726,2022,4,2022-04-15,Ho,6.6,0.47,2.91
14763,2022,4,2022-04-15,Hohoe,7.15,0.47,27.46
14764,2022,4,2022-04-15,Hohoe,7.15,0.47,5.56
15189,2023,4,2023-04-15,Nkwanta,8.26,0.52,8.5
15190,2023,4,2023-04-15,Nkwanta,8.26,0.52,0.64
15231,2023,4,2023-04-15,Hohoe,7.15,0.47,13.33
15232,2023,4,2023-04-15,Hohoe,7.15,0.47,0.5
15514,2023,4,2023-04-15,Ho,6.6,0.47,11.5
16787,2020,5,2020-05-15,Hohoe,7.15,0.47,4.64
16805,2020,5,2020-05-15,Hohoe,7.15,0.47,2.22
16896,2020,5,2020-05-15,Ho,6.6,0.47,3.82
17507,2021,5,2021-05-15,Ho,6.6,0.47,2.1
18277,2023,5,2023-05-15,Hohoe,7.15,0.47,13.33
18278,2023,5,2023-05-15,Hohoe,7.15,0.47,0.68
18301,2023,5,2023-05-15,Ho,6.6,0.47,12.5
18411,2023,5,2023-05-15,Nkwanta,8.26,0.52,7.35
18412,2023,5,2023-05-15,Nkwanta,8.26,0.52,0.67
20095,2020,6,2020-06-15,Hohoe,7.15,0.47,2.26
20096,2020,6,2020-06-15,Hohoe,7.15,0.47,4.45
20429,2021,6,2021-06-15,Ho,6.6,0.47,5.57
21129,2022,6,2022-06-15,Ho,6.6,0.47,1.68
21537,2023,6,2023-06-15,Nkwanta,8.26,0.52,7.28
21551,2023,6,2023-06-15,Nkwanta,8.26,0.52,0.63
21618,2023,6,2023-06-15,Ho,6.6,0.47,12.5
21655,2023,6,2023-06-15,Hohoe,7.15,0.47,0.68
21656,2023,6,2023-06-15,Hohoe,7.15,0.47,13.33
23027,2020,7,2020-07-15,Ho,6.6,0.47,15.75
23555,2020,7,2020-07-15,Hohoe,7.15,0.47,4.03
23556,2020,7,2020-07-15,Hohoe,7.15,0.47,2.03
23696,2021,7,2021-07-15,Ho,6.6,0.47,1.5
23750,2021,7,2021-07-15,Hohoe,7.15,0.47,1.01
24202,2022,7,2022-07-15,Hohoe,7.15,0.47,10.21
24203,2022,7,2022-07-15,Hohoe,7.15,0.47,27.46
24402,2022,7,2022-07-15,Ho,6.6,0.47,2.87
24660,2023,7,2023-07-15,Nkwanta,8.26,0.52,6.35
24787,2023,7,2023-07-15,Ho,6.6,0.47,12.5
24853,2023,7,2023-07-15,Hohoe,7.15,0.47,23.73
24854,2023,7,2023-07-15,Hohoe,7.15,0.47,13.33
26592,2019,8,2019-08-15,Ho,6.6,0.47,4.13
27189,2020,8,2020-08-15,Ho,6.6,0.47,12.0
27204,2020,8,2020-08-15,Hohoe,7.15,0.47,5.62
27205,2020,8,2020-08-15,Hohoe,7.15,0.47,10.7
27654,2021,8,2021-08-15,Ho,6.6,0.47,1.57
27949,2022,8,2022-08-15,Nkwanta,8.26,0.52,3.48
28298,2022,8,2022-08-15,Ho,6.6,0.47,2.93
28304,2022,8,2022-08-15,Hohoe,7.15,0.47,27.46
28305,2022,8,2022-08-15,Hohoe,7.15,0.47,10.21
29701,2019,9,2019-09-15,Ho,6.6,0.47,4.64
29828,2019,9,2019-09-15,Hohoe,7.15,0.47,1.27
29829,2019,9,2019-09-15,Hohoe,7.15,0.47,0.22
30288,2020,9,2020-09-15,Ho,6.6,0.47,10.5
30379,2020,9,2020-09-15,Hohoe,7.15,0.47,5.43
