Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
1919,2008,1,2008-01-15,Ho,6.6,0.47,0.28
2002,2009,1,2009-01-15,Ho,6.6,0.47,0.54
2115,2010,1,2010-01-15,Ho,6.6,0.47,0.45
2180,2011,1,2011-01-15,Ho,6.6,0.47,0.52
2299,2012,1,2012-01-15,Ho,6.6,0.47,0.82
2399,2013,1,2013-01-15,Ho,6.6,0.47,0.88
2518,2014,1,2014-01-15,Ho,6.6,0.47,0.68
2587,2015,1,2015-01-15,Ho,6.6,0.47,1.6
2746,2016,1,2016-01-15,Ho,6.6,0.47,1.74
3396,2020,1,2020-01-15,Ho,6.6,0.47,1.36
3444,2020,1,2020-01-15,Hohoe,7.15,0.47,2.03
4025,2021,1,2021-01-15,Ho,6.6,0.47,2.37
4041,2021,1,2021-01-15,Hohoe,7.15,0.47,2.66
4043,2021,1,2021-01-15,Hohoe,7.15,0.47,2.04
4566,2022,1,2022-01-15,Ho,6.6,0.47,3.52
5001,2023,1,2023-01-15,Hohoe,7.15,0.47,5.71
5002,2023,1,2023-01-15,Hohoe,7.15,0.47,3.54
5011,2023,1,2023-01-15,Nkwanta,8.26,0.52,5.48
5012,2023,1,2023-01-15,Nkwanta,8.26,0.52,4.86
5080,2023,1,2023-01-15,Ho,6.6,0.47,5.36
5412,2008,2,2008-02-15,Ho,6.6,0.47,0.29
5492,2009,2,2009-02-15,Ho,6.6,0.47,0.54
5584,2010,2,2010-02-15,Ho,6.6,0.47,0.45
5681,2011,2,2011-02-15,Ho,6.6,0.47,0.4
5775,2012,2,2012-02-15,Ho,6.6,0.47,0.82
5895,2013,2,2013-02-15,Ho,6.6,0.47,0.73
5993,2014,2,2014-02-15,Ho,6.6,0.47,0.7
6094,2015,2,2015-02-15,Ho,6.6,0.47,1.35
6189,2016,2,2016-02-15,Ho,6.6,0.47,1.8
6348,2018,2,2018-02-15,Ho,6.6,0.47,1.31
6934,2020,2,2020-02-15,Ho,6.6,0.47,1.88
6949,2020,2,2020-02-15,Hohoe,7.15,0.47,1.7
6950,2020,2,2020-02-15,Hohoe,7.15,0.47,1.38
7103,2021,2,2021-02-15,Hohoe,7.15,0.47,2.25
7307,2021,2,2021-02-15,Ho,6.6,0.47,2.26
7373,2021,2,2021-02-15,Hohoe,7.15,0.47,1.96
7626,2022,2,2022-02-15,Hohoe,7.15,0.47,3.73
7627,2022,2,2022-02-15,Hohoe,7.15,0.47,3.73
8167,2023,2,2023-02-15,Ho,6.6,0.47,5.57
8175,2023,2,2023-02-15,Ho,6.6,0.47,6.34
8655,2023,2,2023-02-15,Nkwanta,8.26,0.52,6.43
8656,2023,2,2023-02-15,Nkwanta,8.26,0.52,5.27
8786,2023,2,2023-02-15,Hohoe,7.15,0.47,4.57
8787,2023,2,2023-02-15,Hohoe,7.15,0.47,3.58
8896,2008,3,2008-03-15,Ho,6.6,0.47,0.35
9005,2009,3,2009-03-15,Ho,6.6,0.47,0.53
9082,2010,3,2010-03-15,Ho,6.6,0.47,0.45
9166,2011,3,2011-03-15,Ho,6.6,0.47,0.48
9291,2012,3,2012-03-15,Ho,6.6,0.47,0.82
9384,2013,3,2013-03-15,Ho,6.6,0.47,0.74
9484,2014,3,2014-03-15,Ho,6.6,0.47,0.82
9532,2015,3,2015-03-15,Ho,6.6,0.47,1.35
10234,2020,3,2020-03-15,Ho,6.6,0.47,1.6
10418,2021,3,2021-03-15,Ho,6.6,0.47,2.26
11249,2022,3,2022-03-15,Ho,6.6,0.47,3.5
11357,2022,3,2022-03-15,Hohoe,7.15,0.47,3.96
11358,2022,3,2022-03-15,Hohoe,7.15,0.47,3.98
11496,2023,3,2023-03-15,Nkwanta,8.26,0.52,5.14
11497,2023,3,2023-03-15,Nkwanta,8.26,0.52,5.82
11579,2023,3,2023-03-15,Ho,6.6,0.47,5.89
11650,2023,3,2023-03-15,Hohoe,7.15,0.47,4.57
11651,2023,3,2023-03-15,Hohoe,7.15,0.47,5.45
12196,2008,4,2008-04-15,Ho,6.6,0.47,0.4
12294,2009,4,2009-04-15,Ho,6.6,0.47,0.62
12398,2010,4,2010-04-15,Ho,6.6,0.47,0.45
12507,2011,4,2011-04-15,Ho,6.6,0.47,0.53
12573,2012,4,2012-04-15,Ho,6.6,0.47,0.92
12670,2013,4,2013-04-15,Ho,6.6,0.47,0.59
12783,2014,4,2014-04-15,Ho,6.6,0.47,1.15
12870,2015,4,2015-04-15,Ho,6.6,0.47,1.13
13652,2020,4,2020-04-15,Hohoe,7.15,0.47,2.03
13653,2020,4,2020-04-15,Hohoe,7.15,0.47,2.1
13670,2020,4,2020-04-15,Ho,6.6,0.47,1.8
13848,2021,4,2021-04-15,Ho,6.6,0.47,2.22
14788,2022,4,2022-04-15,Hohoe,7.15,0.47,2.85
14789,2022,4,2022-04-15,Hohoe,7.15,0.47,4.48
14890,2022,4,2022-04-15,Ho,6.6,0.47,4.23
15258,2023,4,2023-04-15,Nkwanta,8.26,0.52,7.04
15259,2023,4,2023-04-15,Nkwanta,8.26,0.52,5.24
15502,2023,4,2023-04-15,Hohoe,7.15,0.47,4.57
15503,2023,4,2023-04-15,Hohoe,7.15,0.47,3.71
15525,2023,4,2023-04-15,Ho,6.6,0.47,6.03
15659,2008,5,2008-05-15,Ho,6.6,0.47,0.55
15744,2009,5,2009-05-15,Ho,6.6,0.47,0.63
15825,2010,5,2010-05-15,Ho,6.6,0.47,0.47
15921,2011,5,2011-05-15,Ho,6.6,0.47,0.68
16021,2012,5,2012-05-15,Ho,6.6,0.47,1.11
16120,2013,5,2013-05-15,Ho,6.6,0.47,0.55
16281,2014,5,2014-05-15,Ho,6.6,0.47,1.6
16342,2015,5,2015-05-15,Ho,6.6,0.47,1.5
16908,2020,5,2020-05-15,Hohoe,7.15,0.47,1.72
16909,2020,5,2020-05-15,Hohoe,7.15,0.47,2.14
16927,2020,5,2020-05-15,Ho,6.6,0.47,2.19
17495,2021,5,2021-05-15,Ho,6.6,0.47,2.26
18312,2023,5,2023-05-15,Ho,6.6,0.47,6.5
18320,2023,5,2023-05-15,Hohoe,7.15,0.47,4.57
18322,2023,5,2023-05-15,Hohoe,7.15,0.47,3.62
18385,2023,5,2023-05-15,Nkwanta,8.26,0.52,6.81
18386,2023,5,2023-05-15,Nkwanta,8.26,0.52,5.96
19043,2008,6,2008-06-15,Ho,6.6,0.47,0.6
19097,2009,6,2009-06-15,Ho,6.6,0.47,0.71
19211,2010,6,2010-06-15,Ho,6.6,0.47,0.53
19266,2011,6,2011-06-15,Ho,6.6,0.47,0.73
19448,2012,6,2012-06-15,Ho,6.6,0.47,1.05
19466,2013,6,2013-06-15,Ho,6.6,0.47,0.55
19618,2014,6,2014-06-15,Ho,6.6,0.47,1.6
19682,2015,6,2015-06-15,Ho,6.6,0.47,1.48
19794,2016,6,2016-06-15,Ho,6.6,0.47,1.04
20068,2020,6,2020-06-15,Hohoe,7.15,0.47,2.12
20069,2020,6,2020-06-15,Hohoe,7.15,0.47,1.75
20466,2021,6,2021-06-15,Ho,6.6,0.47,3.97
21182,2022,6,2022-06-15,Ho,6.6,0.47,4.35
21517,2023,6,2023-06-15,Ho,6.6,0.47,7.25
21593,2023,6,2023-06-15,Hohoe,7.15,0.47,3.62
21594,2023,6,2023-06-15,Hohoe,7.15,0.47,4.57
21638,2023,6,2023-06-15,Nkwanta,8.26,0.52,6.16
21639,2023,6,2023-06-15,Nkwanta,8.26,0.52,7.2
22042,2008,7,2008-07-15,Ho,6.6,0.47,0.89
22115,2009,7,2009-07-15,Ho,6.6,0.47,0.59
22247,2010,7,2010-07-15,Ho,6.6,0.47,0.54
22298,2011,7,2011-07-15,Ho,6.6,0.47,0.73
22359,2012,7,2012-07-15,Ho,6.6,0.47,1.09
22521,2013,7,2013-07-15,Ho,6.6,0.47,0.6
22547,2014,7,2014-07-15,Ho,6.6,0.47,1.6
22673,2015,7,2015-07-15,Ho,6.6,0.47,1.65
23052,2020,7,2020-07-15,Ho,6.6,0.47,1.88
23538,2020,7,2020-07-15,Hohoe,7.15,0.47,1.94
23539,2020,7,2020-07-15,Hohoe,7.15,0.47,1.38
23725,2021,7,2021-07-15,Ho,6.6,0.47,3.77
23730,2021,7,2021-07-15,Hohoe,7.15,0.47,4.1
23769,2021,7,2021-07-15,Hohoe,7.15,0.47,4.31
24412,2022,7,2022-07-15,Hohoe,7.15,0.47,3.54
24428,2022,7,2022-07-15,Hohoe,7.15,0.47,4.33
24453,2022,7,2022-07-15,Ho,6.6,0.47,4.44
24778,2023,7,2023-07-15,Hohoe,7.15,0.47,3.62
24779,2023,7,2023-07-15,Hohoe,7.15,0.47,4.57
24798,2023,7,2023-07-15,Ho,6.6,0.47,7.04
24822,2023,7,2023-07-15,Nkwanta,8.26,0.52,6.25
24823,2023,7,2023-07-15,Nkwanta,8.26,0.52,7.9
25410,2008,8,2008-08-15,Ho,6.6,0.47,0.68
25493,2009,8,2009-08-15,Ho,6.6,0.47,0.47
25586,2010,8,2010-08-15,Ho,6.6,0.47,0.5
25680,2011,8,2011-08-15,Ho,6.6,0.47,0.76
25776,2012,8,2012-08-15,Ho,6.6,0.47,0.86
25869,2013,8,2013-08-15,Ho,6.6,0.47,0.69
26003,2014,8,2014-08-15,Ho,6.6,0.47,1.6
26579,2019,8,2019-08-15,Ho,6.6,0.47,2.16
27196,2020,8,2020-08-15,Ho,6.6,0.47,1.75
27201,2020,8,2020-08-15,Hohoe,7.15,0.47,1.6
27202,2020,8,2020-08-15,Hohoe,7.15,0.47,1.98
27578,2021,8,2021-08-15,Ho,6.6,0.47,3.73
28006,2022,8,2022-08-15,Nkwanta,8.26,0.52,3.21
28255,2022,8,2022-08-15,Ho,6.6,0.47,4.35
28324,2022,8,2022-08-15,Nkwanta,8.26,0.52,3.32
28341,2022,8,2022-08-15,Hohoe,7.15,0.47,3.54
28342,2022,8,2022-08-15,Hohoe,7.15,0.47,4.33
28528,2008,9,2008-09-15,Ho,6.6,0.47,0.39
28627,2009,9,2009-09-15,Ho,6.6,0.47,0.34
28758,2010,9,2010-09-15,Ho,6.6,0.47,0.48
28850,2011,9,2011-09-15,Ho,6.6,0.47,0.68
28891,2012,9,2012-09-15,Ho,6.6,0.47,0.78
28985,2013,9,2013-09-15,Ho,6.6,0.47,0.6
29105,2014,9,2014-09-15,Ho,6.6,0.47,1.6
29713,2019,9,2019-09-15,Ho,6.6,0.47,2.07
29808,2019,9,2019-09-15,Hohoe,7.15,0.47,1.58
29809,2019,9,2019-09-15,Hohoe,7.15,0.47,1.41
30160,2020,9,2020-09-15,Ho,6.6,0.47,1.76
30374,2020,9,2020-09-15,Hohoe,7.15,0.47,2.04
30375,2020,9,2020-09-15,Hohoe,7.15,0.47,1.55
30857,2021,9,2021-09-15,Ho,6.6,0.47,3.52
31100,2022,9,2022-09-15,Ho,6.6,0.47,3.62
31165,2022,9,2022-09-15,Hohoe,7.15,0.47,3.54
31270,2022,9,2022-09-15,Nkwanta,8.26,0.52,3.35
31271,2022,9,2022-09-15,Nkwanta,8.26,0.52,3.09
31285,2022,9,2022-09-15,Hohoe,7.15,0.47,3.93
31628,2008,10,2008-10-15,Ho,6.6,0.47,0.4
31684,2009,10,2009-10-15,Ho,6.6,0.47,0.5
31826,2010,10,2010-10-15,Ho,6.6,0.47,0.42
31921,2011,10,2011-10-15,Ho,6.6,0.47,0.54
32023,2012,10,2012-10-15,Ho,6.6,0.47,0.73
32070,2013,10,2013-10-15,Ho,6.6,0.47,0.6
32190,2014,10,2014-10-15,Kete Krachi,7.8,-0.05,1.4
