Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
1921,2008,1,2008-01-15,Ho,6.6,0.47,0.74
2000,2009,1,2009-01-15,Ho,6.6,0.47,1.04
2086,2010,1,2010-01-15,Ho,6.6,0.47,1.11
2182,2011,1,2011-01-15,Ho,6.6,0.47,1.24
2297,2012,1,2012-01-15,Ho,6.6,0.47,1.58
2397,2013,1,2013-01-15,Ho,6.6,0.47,2.8
2520,2014,1,2014-01-15,Ho,6.6,0.47,3.0
2584,2015,1,2015-01-15,Ho,6.6,0.47,4.5
2749,2016,1,2016-01-15,Ho,6.6,0.47,3.9
2873,2018,1,2018-01-15,Ho,6.6,0.47,9.76
3402,2020,1,2020-01-15,Ho,6.6,0.47,6.82
3475,2020,1,2020-01-15,Hohoe,7.15,0.47,3.57
4014,2021,1,2021-01-15,Hohoe,7.15,0.47,3.87
4019,2021,1,2021-01-15,Ho,6.6,0.47,2.32
4583,2022,1,2022-01-15,Ho,6.6,0.47,2.47
4989,2023,1,2023-01-15,Hohoe,7.15,0.47,6.86
4990,2023,1,2023-01-15,Hohoe,7.15,0.47,4.79
5074,2023,1,2023-01-15,Ho,6.6,0.47,3.45
5276,2023,1,2023-01-15,Nkwanta,8.26,0.52,2.69
5277,2023,1,2023-01-15,Nkwanta,8.26,0.52,3.01
5410,2008,2,2008-02-15,Ho,6.6,0.47,0.93
5490,2009,2,2009-02-15,Ho,6.6,0.47,1.02
5582,2010,2,2010-02-15,Ho,6.6,0.47,1.2
5679,2011,2,2011-02-15,Ho,6.6,0.47,1.2
5769,2012,2,2012-02-15,Ho,6.6,0.47,1.71
5897,2013,2,2013-02-15,Ho,6.6,0.47,2.62
6002,2014,2,2014-02-15,Ho,6.6,0.47,3.0
6097,2015,2,2015-02-15,Ho,6.6,0.47,4.5
6186,2016,2,2016-02-15,Ho,6.6,0.47,4.0
6918,2020,2,2020-02-15,Ho,6.6,0.47,2.57
6939,2020,2,2020-02-15,Hohoe,7.15,0.47,2.84
6940,2020,2,2020-02-15,Hohoe,7.15,0.47,2.35
7095,2021,2,2021-02-15,Hohoe,7.15,0.47,3.29
7124,2021,2,2021-02-15,Hohoe,7.15,0.47,3.62
7389,2021,2,2021-02-15,Ho,6.6,0.47,2.31
7644,2022,2,2022-02-15,Hohoe,7.15,0.47,3.46
7660,2022,2,2022-02-15,Hohoe,7.15,0.47,3.46
8140,2023,2,2023-02-15,Ho,6.6,0.47,8.06
8155,2023,2,2023-02-15,Ho,6.6,0.47,4.68
8645,2023,2,2023-02-15,Nkwanta,8.26,0.52,11.29
8646,2023,2,2023-02-15,Nkwanta,8.26,0.52,3.13
8749,2023,2,2023-02-15,Hohoe,7.15,0.47,14.34
8750,2023,2,2023-02-15,Hohoe,7.15,0.47,2.94
8894,2008,3,2008-03-15,Ho,6.6,0.47,0.93
9007,2009,3,2009-03-15,Ho,6.6,0.47,1.05
9084,2010,3,2010-03-15,Ho,6.6,0.47,1.39
9168,2011,3,2011-03-15,Ho,6.6,0.47,1.54
9293,2012,3,2012-03-15,Ho,6.6,0.47,1.83
9381,2013,3,2013-03-15,Ho,6.6,0.47,2.92
9486,2014,3,2014-03-15,Ho,6.6,0.47,3.0
9535,2015,3,2015-03-15,Ho,6.6,0.47,4.5
10205,2020,3,2020-03-15,Ho,6.6,0.47,4.23
10388,2021,3,2021-03-15,Ho,6.6,0.47,2.27
11369,2022,3,2022-03-15,Hohoe,7.15,0.47,4.96
11370,2022,3,2022-03-15,Hohoe,7.15,0.47,6.69
11386,2022,3,2022-03-15,Ho,6.6,0.47,2.65
11506,2023,3,2023-03-15,Nkwanta,8.26,0.52,3.11
11507,2023,3,2023-03-15,Nkwanta,8.26,0.52,5.0
11612,2023,3,2023-03-15,Hohoe,7.15,0.47,4.55
11613,2023,3,2023-03-15,Hohoe,7.15,0.47,8.47
