Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
1923,2008,1,2008-01-15,Sekondi/Takoradi,4.93,-1.7,0.19
1998,2009,1,2009-01-15,Sekondi/Takoradi,4.93,-1.7,0.25
2081,2010,1,2010-01-15,Sekondi/Takoradi,4.93,-1.7,0.21
2184,2011,1,2011-01-15,Sekondi/Takoradi,4.93,-1.7,0.27
2295,2012,1,2012-01-15,Sekondi/Takoradi,4.93,-1.7,0.35
2395,2013,1,2013-01-15,Sekondi/Takoradi,4.93,-1.7,0.92
2522,2014,1,2014-01-15,Sekondi/Takoradi,4.93,-1.7,0.81
2582,2015,1,2015-01-15,Sekondi/Takoradi,4.93,-1.7,0.75
2751,2016,1,2016-01-15,Sekondi/Takoradi,4.93,-1.7,0.97
2758,2017,1,2017-01-15,Sekondi/Takoradi,4.93,-1.7,0.93
2906,2019,1,2019-01-15,Sekondi/Takoradi,4.93,-1.7,1.56
3197,2020,1,2020-01-15,Sekondi/Takoradi,4.93,-1.7,4.27
3486,2020,1,2020-01-15,Sekondi/Takoradi,4.93,-1.7,4.81
3870,2021,1,2021-01-15,Sekondi/Takoradi,4.93,-1.7,2.73
3871,2021,1,2021-01-15,Sekondi/Takoradi,4.93,-1.7,4.11
4585,2022,1,2022-01-15,Sekondi/Takoradi,4.93,-1.7,1.47
4586,2022,1,2022-01-15,Sekondi/Takoradi,4.93,-1.7,1.35
5254,2023,1,2023-01-15,Sekondi/Takoradi,4.93,-1.7,3.0
5255,2023,1,2023-01-15,Sekondi/Takoradi,4.93,-1.7,3.72
5408,2008,2,2008-02-15,Sekondi/Takoradi,4.93,-1.7,0.18
5488,2009,2,2009-02-15,Sekondi/Takoradi,4.93,-1.7,0.26
5580,2010,2,2010-02-15,Sekondi/Takoradi,4.93,-1.7,0.26
5677,2011,2,2011-02-15,Sekondi/Takoradi,4.93,-1.7,0.27
5771,2012,2,2012-02-15,Sekondi/Takoradi,4.93,-1.7,0.4
5899,2013,2,2013-02-15,Sekondi/Takoradi,4.93,-1.7,0.89
5989,2014,2,2014-02-15,Sekondi/Takoradi,4.93,-1.7,0.78
6099,2015,2,2015-02-15,Sekondi/Takoradi,4.93,-1.7,0.77
6184,2016,2,2016-02-15,Sekondi/Takoradi,4.93,-1.7,0.99
6750,2020,2,2020-02-15,Sekondi/Takoradi,4.93,-1.7,2.02
6886,2020,2,2020-02-15,Sekondi/Takoradi,4.93,-1.7,3.35
7145,2021,2,2021-02-15,Sekondi/Takoradi,4.93,-1.7,1.52
8676,2023,2,2023-02-15,Sekondi/Takoradi,4.93,-1.7,8.36
8677,2023,2,2023-02-15,Sekondi/Takoradi,4.93,-1.7,13.51
8892,2008,3,2008-03-15,Sekondi/Takoradi,4.93,-1.7,0.19
9009,2009,3,2009-03-15,Sekondi/Takoradi,4.93,-1.7,0.26
9086,2010,3,2010-03-15,Sekondi/Takoradi,4.93,-1.7,0.36
9170,2011,3,2011-03-15,Sekondi/Takoradi,4.93,-1.7,0.33
9295,2012,3,2012-03-15,Sekondi/Takoradi,4.93,-1.7,0.48
9379,2013,3,2013-03-15,Sekondi/Takoradi,4.93,-1.7,0.95
9488,2014,3,2014-03-15,Sekondi/Takoradi,4.93,-1.7,0.77
9537,2015,3,2015-03-15,Sekondi/Takoradi,4.93,-1.7,0.77
9659,2016,3,2016-03-15,Sekondi/Takoradi,4.93,-1.7,0.99
9909,2020,3,2020-03-15,Sekondi/Takoradi,4.93,-1.7,5.91
10170,2020,3,2020-03-15,Sekondi/Takoradi,4.93,-1.7,4.49
10386,2021,3,2021-03-15,Sekondi/Takoradi,4.93,-1.7,2.12
10397,2021,3,2021-03-15,Sekondi/Takoradi,4.93,-1.7,1.38
11448,2022,3,2022-03-15,Sekondi/Takoradi,4.93,-1.7,1.37
11449,2022,3,2022-03-15,Sekondi/Takoradi,4.93,-1.7,1.38
11477,2023,3,2023-03-15,Sekondi/Takoradi,4.93,-1.7,2.91
11478,2023,3,2023-03-15,Sekondi/Takoradi,4.93,-1.7,3.73
12192,2008,4,2008-04-15,Sekondi/Takoradi,4.93,-1.7,0.23
12298,2009,4,2009-04-15,Sekondi/Takoradi,4.93,-1.7,0.3
12395,2010,4,2010-04-15,Sekondi/Takoradi,4.93,-1.7,0.4
12511,2011,4,2011-04-15,Sekondi/Takoradi,4.93,-1.7,0.32
12569,2012,4,2012-04-15,Sekondi/Takoradi,4.93,-1.7,0.54
12666,2013,4,2013-04-15,Sekondi/Takoradi,4.93,-1.7,0.98
12788,2014,4,2014-04-15,Sekondi/Takoradi,4.93,-1.7,0.67
12854,2015,4,2015-04-15,Sekondi/Takoradi,4.93,-1.7,0.7
12958,2016,4,2016-04-15,Sekondi/Takoradi,4.93,-1.7,0.99
13715,2020,4,2020-04-15,Sekondi/Takoradi,4.93,-1.7,1.15
13716,2020,4,2020-04-15,Sekondi/Takoradi,4.93,-1.7,2.03
14082,2021,4,2021-04-15,Sekondi/Takoradi,4.93,-1.7,1.38
14083,2021,4,2021-04-15,Sekondi/Takoradi,4.93,-1.7,3.34
14714,2022,4,2022-04-15,Sekondi/Takoradi,4.93,-1.7,1.71
14715,2022,4,2022-04-15,Sekondi/Takoradi,4.93,-1.7,1.43
15202,2023,4,2023-04-15,Sekondi/Takoradi,4.93,-1.7,30.54
15203,2023,4,2023-04-15,Sekondi/Takoradi,4.93,-1.7,11.19
15648,2008,5,2008-05-15,Sekondi/Takoradi,4.93,-1.7,0.31
15740,2009,5,2009-05-15,Sekondi/Takoradi,4.93,-1.7,0.32
15886,2010,5,2010-05-15,Sekondi/Takoradi,4.93,-1.7,0.34
15895,2011,5,2011-05-15,Sekondi/Takoradi,4.93,-1.7,0.31
16017,2012,5,2012-05-15,Sekondi/Takoradi,4.93,-1.7,0.62
16116,2013,5,2013-05-15,Sekondi/Takoradi,4.93,-1.7,0.96
16286,2014,5,2014-05-15,Sekondi/Takoradi,4.93,-1.7,0.73
16347,2015,5,2015-05-15,Sekondi/Takoradi,4.93,-1.7,0.82
16449,2016,5,2016-05-15,Sekondi/Takoradi,4.93,-1.7,1.59
16633,2019,5,2019-05-15,Sekondi/Takoradi,4.93,-1.7,1.23
16778,2020,5,2020-05-15,Sekondi/Takoradi,4.93,-1.7,3.4
16779,2020,5,2020-05-15,Sekondi/Takoradi,4.93,-1.7,1.92
17537,2021,5,2021-05-15,Sekondi/Takoradi,4.93,-1.7,1.39
17538,2021,5,2021-05-15,Sekondi/Takoradi,4.93,-1.7,1.47
17960,2022,5,2022-05-15,Sekondi/Takoradi,4.93,-1.7,1.64
17961,2022,5,2022-05-15,Sekondi/Takoradi,4.93,-1.7,1.39
18350,2023,5,2023-05-15,Sekondi/Takoradi,4.93,-1.7,15.9
18351,2023,5,2023-05-15,Sekondi/Takoradi,4.93,-1.7,29.93
19048,2008,6,2008-06-15,Sekondi/Takoradi,4.93,-1.7,0.32
19093,2009,6,2009-06-15,Sekondi/Takoradi,4.93,-1.7,0.3
19256,2010,6,2010-06-15,Sekondi/Takoradi,4.93,-1.7,0.37
19271,2011,6,2011-06-15,Sekondi/Takoradi,4.93,-1.7,0.34
19452,2012,6,2012-06-15,Sekondi/Takoradi,4.93,-1.7,0.54
19470,2013,6,2013-06-15,Sekondi/Takoradi,4.93,-1.7,0.87
19614,2014,6,2014-06-15,Sekondi/Takoradi,4.93,-1.7,0.71
19677,2015,6,2015-06-15,Sekondi/Takoradi,4.93,-1.7,0.84
19797,2016,6,2016-06-15,Sekondi/Takoradi,4.93,-1.7,1.65
19913,2017,6,2017-06-15,Sekondi/Takoradi,4.93,-1.7,1.21
19975,2019,6,2019-06-15,Sekondi/Takoradi,4.93,-1.7,2.72
20034,2020,6,2020-06-15,Sekondi/Takoradi,4.93,-1.7,4.08
20394,2021,6,2021-06-15,Sekondi/Takoradi,4.93,-1.7,1.3
21120,2022,6,2022-06-15,Sekondi/Takoradi,4.93,-1.7,1.67
21121,2022,6,2022-06-15,Sekondi/Takoradi,4.93,-1.7,1.39
21528,2023,6,2023-06-15,Sekondi/Takoradi,4.93,-1.7,32.31
21529,2023,6,2023-06-15,Sekondi/Takoradi,4.93,-1.7,16.15
22045,2008,7,2008-07-15,Sekondi/Takoradi,4.93,-1.7,0.32
22096,2009,7,2009-07-15,Sekondi/Takoradi,4.93,-1.7,0.36
22251,2010,7,2010-07-15,Sekondi/Takoradi,4.93,-1.7,0.4
22302,2011,7,2011-07-15,Sekondi/Takoradi,4.93,-1.7,0.29
22373,2012,7,2012-07-15,Sekondi/Takoradi,4.93,-1.7,0.65
22505,2013,7,2013-07-15,Sekondi/Takoradi,4.93,-1.7,0.78
22546,2014,7,2014-07-15,Sekondi/Takoradi,4.93,-1.7,0.71
22654,2015,7,2015-07-15,Sekondi/Takoradi,4.93,-1.7,0.84
22772,2016,7,2016-07-15,Sekondi/Takoradi,4.93,-1.7,1.38
22877,2017,7,2017-07-15,Sekondi/Takoradi,4.93,-1.7,1.32
22968,2019,7,2019-07-15,Sekondi/Takoradi,4.93,-1.7,1.22
23254,2020,7,2020-07-15,Sekondi/Takoradi,4.93,-1.7,1.55
23255,2020,7,2020-07-15,Sekondi/Takoradi,4.93,-1.7,2.45
23741,2021,7,2021-07-15,Sekondi/Takoradi,4.93,-1.7,1.45
23748,2021,7,2021-07-15,Sekondi/Takoradi,4.93,-1.7,1.28
24227,2022,7,2022-07-15,Sekondi/Takoradi,4.93,-1.7,1.63
24228,2022,7,2022-07-15,Sekondi/Takoradi,4.93,-1.7,1.4
24698,2023,7,2023-07-15,Sekondi/Takoradi,4.93,-1.7,17.69
24699,2023,7,2023-07-15,Sekondi/Takoradi,4.93,-1.7,1.61
25407,2008,8,2008-08-15,Sekondi/Takoradi,4.93,-1.7,0.3
25489,2009,8,2009-08-15,Sekondi/Takoradi,4.93,-1.7,0.24
25582,2010,8,2010-08-15,Sekondi/Takoradi,4.93,-1.7,0.3
25676,2011,8,2011-08-15,Sekondi/Takoradi,4.93,-1.7,0.3
25772,2012,8,2012-08-15,Sekondi/Takoradi,4.93,-1.7,0.66
25865,2013,8,2013-08-15,Sekondi/Takoradi,4.93,-1.7,0.7
26007,2014,8,2014-08-15,Sekondi/Takoradi,4.93,-1.7,0.7
26028,2016,8,2016-08-15,Sekondi/Takoradi,4.93,-1.7,1.21
26551,2019,8,2019-08-15,Sekondi/Takoradi,4.93,-1.7,12.42
26635,2019,8,2019-08-15,Sekondi/Takoradi,4.93,-1.7,8.88
27142,2020,8,2020-08-15,Sekondi/Takoradi,4.93,-1.7,1.87
27143,2020,8,2020-08-15,Sekondi/Takoradi,4.93,-1.7,2.58
27662,2021,8,2021-08-15,Sekondi/Takoradi,4.93,-1.7,1.4
27663,2021,8,2021-08-15,Sekondi/Takoradi,4.93,-1.7,1.54
27988,2022,8,2022-08-15,Sekondi/Takoradi,4.93,-1.7,1.47
27989,2022,8,2022-08-15,Sekondi/Takoradi,4.93,-1.7,1.96
28531,2008,9,2008-09-15,Sekondi/Takoradi,4.93,-1.7,0.25
28623,2009,9,2009-09-15,Sekondi/Takoradi,4.93,-1.7,0.26
28723,2010,9,2010-09-15,Sekondi/Takoradi,4.93,-1.7,0.28
28834,2011,9,2011-09-15,Sekondi/Takoradi,4.93,-1.7,0.3
28887,2012,9,2012-09-15,Sekondi/Takoradi,4.93,-1.7,0.69
28963,2013,9,2013-09-15,Sekondi/Takoradi,4.93,-1.7,0.66
29101,2014,9,2014-09-15,Sekondi/Takoradi,4.93,-1.7,0.71
29178,2016,9,2016-09-15,Sekondi/Takoradi,4.93,-1.7,1.37
29255,2017,9,2017-09-15,Sekondi/Takoradi,4.93,-1.7,1.97
29541,2019,9,2019-09-15,Sekondi/Takoradi,4.93,-1.7,6.39
29775,2019,9,2019-09-15,Sekondi/Takoradi,4.93,-1.7,8.05
30383,2020,9,2020-09-15,Sekondi/Takoradi,4.93,-1.7,2.08
30384,2020,9,2020-09-15,Sekondi/Takoradi,4.93,-1.7,1.67
