Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
3455,2020,1,2020-01-15,Sekondi/Takoradi,4.93,-1.7,0.46
3457,2020,1,2020-01-15,Sekondi/Takoradi,4.93,-1.7,3.23
3879,2021,1,2021-01-15,Sekondi/Takoradi,4.93,-1.7,5.7
3880,2021,1,2021-01-15,Sekondi/Takoradi,4.93,-1.7,0.99
4556,2022,1,2022-01-15,Sekondi/Takoradi,4.93,-1.7,4.68
4557,2022,1,2022-01-15,Sekondi/Takoradi,4.93,-1.7,12.35
5239,2023,1,2023-01-15,Sekondi/Takoradi,4.93,-1.7,9.86
5308,2023,1,2023-01-15,Sekondi/Takoradi,4.93,-1.7,19.12
6902,2020,2,2020-02-15,Sekondi/Takoradi,4.93,-1.7,6.39
6903,2020,2,2020-02-15,Sekondi/Takoradi,4.93,-1.7,13.5
7129,2021,2,2021-02-15,Sekondi/Takoradi,4.93,-1.7,11.73
7130,2021,2,2021-02-15,Sekondi/Takoradi,4.93,-1.7,4.32
8267,2023,2,2023-02-15,Sekondi/Takoradi,4.93,-1.7,10.47
8638,2023,2,2023-02-15,Sekondi/Takoradi,4.93,-1.7,13.1
10193,2020,3,2020-03-15,Sekondi/Takoradi,4.93,-1.7,3.14
10194,2020,3,2020-03-15,Sekondi/Takoradi,4.93,-1.7,0.46
10424,2021,3,2021-03-15,Sekondi/Takoradi,4.93,-1.7,14.82
10425,2021,3,2021-03-15,Sekondi/Takoradi,4.93,-1.7,6.63
11423,2022,3,2022-03-15,Sekondi/Takoradi,4.93,-1.7,19.3
11424,2022,3,2022-03-15,Sekondi/Takoradi,4.93,-1.7,10.73
11536,2023,3,2023-03-15,Sekondi/Takoradi,4.93,-1.7,10.02
11557,2023,3,2023-03-15,Sekondi/Takoradi,4.93,-1.7,18.77
13511,2020,4,2020-04-15,Sekondi/Takoradi,4.93,-1.7,5.6
13512,2020,4,2020-04-15,Sekondi/Takoradi,4.93,-1.7,4.2
13908,2021,4,2021-04-15,Sekondi/Takoradi,4.93,-1.7,4.25
13909,2021,4,2021-04-15,Sekondi/Takoradi,4.93,-1.7,12.72
14735,2022,4,2022-04-15,Sekondi/Takoradi,4.93,-1.7,10.65
14736,2022,4,2022-04-15,Sekondi/Takoradi,4.93,-1.7,19.94
15338,2023,4,2023-04-15,Sekondi/Takoradi,4.93,-1.7,10.0
