Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
3454,2020,1,2020-01-15,Sekondi/Takoradi,4.93,-1.7,1.15
3881,2021,1,2021-01-15,Sekondi/Takoradi,4.93,-1.7,6.9
3882,2021,1,2021-01-15,Sekondi/Takoradi,4.93,-1.7,3.3
4558,2022,1,2022-01-15,Sekondi/Takoradi,4.93,-1.7,13.71
4559,2022,1,2022-01-15,Sekondi/Takoradi,4.93,-1.7,1.27
5306,2023,1,2023-01-15,Sekondi/Takoradi,4.93,-1.7,1.42
5307,2023,1,2023-01-15,Sekondi/Takoradi,4.93,-1.7,15.38
6904,2020,2,2020-02-15,Sekondi/Takoradi,4.93,-1.7,0.18
7128,2021,2,2021-02-15,Sekondi/Takoradi,4.93,-1.7,6.67
7403,2021,2,2021-02-15,Sekondi/Takoradi,4.93,-1.7,5.55
8268,2023,2,2023-02-15,Sekondi/Takoradi,4.93,-1.7,11.69
8269,2023,2,2023-02-15,Sekondi/Takoradi,4.93,-1.7,3.95
10195,2020,3,2020-03-15,Sekondi/Takoradi,4.93,-1.7,1.35
10439,2021,3,2021-03-15,Sekondi/Takoradi,4.93,-1.7,7.87
10440,2021,3,2021-03-15,Sekondi/Takoradi,4.93,-1.7,0.71
11421,2022,3,2022-03-15,Sekondi/Takoradi,4.93,-1.7,1.15
11422,2022,3,2022-03-15,Sekondi/Takoradi,4.93,-1.7,12.66
11555,2023,3,2023-03-15,Sekondi/Takoradi,4.93,-1.7,1.93
11556,2023,3,2023-03-15,Sekondi/Takoradi,4.93,-1.7,15.76
13513,2020,4,2020-04-15,Sekondi/Takoradi,4.93,-1.7,5.15
13514,2020,4,2020-04-15,Sekondi/Takoradi,4.93,-1.7,4.16
13910,2021,4,2021-04-15,Sekondi/Takoradi,4.93,-1.7,13.09
13911,2021,4,2021-04-15,Sekondi/Takoradi,4.93,-1.7,1.03
14737,2022,4,2022-04-15,Sekondi/Takoradi,4.93,-1.7,11.13
14738,2022,4,2022-04-15,Sekondi/Takoradi,4.93,-1.7,1.1
15340,2023,4,2023-04-15,Sekondi/Takoradi,4.93,-1.7,8.0
16841,2020,5,2020-05-15,Sekondi/Takoradi,4.93,-1.7,5.14
16842,2020,5,2020-05-15,Sekondi/Takoradi,4.93,-1.7,0.88
17541,2021,5,2021-05-15,Sekondi/Takoradi,4.93,-1.7,1.48
17542,2021,5,2021-05-15,Sekondi/Takoradi,4.93,-1.7,10.82
17903,2022,5,2022-05-15,Sekondi/Takoradi,4.93,-1.7,24.63
17904,2022,5,2022-05-15,Sekondi/Takoradi,4.93,-1.7,1.23
18373,2023,5,2023-05-15,Sekondi/Takoradi,4.93,-1.7,7.2
18374,2023,5,2023-05-15,Sekondi/Takoradi,4.93,-1.7,7.95
