Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
3465,2020,1,2020-01-15,Sekondi/Takoradi,4.93,-1.7,0.34
3828,2021,1,2021-01-15,Sekondi/Takoradi,4.93,-1.7,3.97
3829,2021,1,2021-01-15,Sekondi/Takoradi,4.93,-1.7,0.49
4546,2022,1,2022-01-15,Sekondi/Takoradi,4.93,-1.7,11.45
4547,2022,1,2022-01-15,Sekondi/Takoradi,4.93,-1.7,0.58
5137,2023,1,2023-01-15,Sekondi/Takoradi,4.93,-1.7,10.6
5144,2023,1,2023-01-15,Sekondi/Takoradi,4.93,-1.7,1.03
7141,2021,2,2021-02-15,Sekondi/Takoradi,4.93,-1.7,2.05
7142,2021,2,2021-02-15,Sekondi/Takoradi,4.93,-1.7,6.35
8271,2023,2,2023-02-15,Sekondi/Takoradi,4.93,-1.7,1.27
8273,2023,2,2023-02-15,Sekondi/Takoradi,4.93,-1.7,9.13
10184,2020,3,2020-03-15,Sekondi/Takoradi,4.93,-1.7,2.75
10185,2020,3,2020-03-15,Sekondi/Takoradi,4.93,-1.7,0.38
10434,2021,3,2021-03-15,Sekondi/Takoradi,4.93,-1.7,0.55
10435,2021,3,2021-03-15,Sekondi/Takoradi,4.93,-1.7,10.31
11276,2022,3,2022-03-15,Sekondi/Takoradi,4.93,-1.7,12.9
11351,2022,3,2022-03-15,Sekondi/Takoradi,4.93,-1.7,0.85
11517,2023,3,2023-03-15,Sekondi/Takoradi,4.93,-1.7,0.9
11518,2023,3,2023-03-15,Sekondi/Takoradi,4.93,-1.7,9.49
14775,2022,4,2022-04-15,Sekondi/Takoradi,4.93,-1.7,13.82
14776,2022,4,2022-04-15,Sekondi/Takoradi,4.93,-1.7,0.94
15327,2023,4,2023-04-15,Sekondi/Takoradi,4.93,-1.7,4.39
15328,2023,4,2023-04-15,Sekondi/Takoradi,4.93,-1.7,0.84
16807,2020,5,2020-05-15,Sekondi/Takoradi,4.93,-1.7,11.77
17554,2021,5,2021-05-15,Sekondi/Takoradi,4.93,-1.7,0.66
17555,2021,5,2021-05-15,Sekondi/Takoradi,4.93,-1.7,10.54
17863,2022,5,2022-05-15,Sekondi/Takoradi,4.93,-1.7,17.33
17864,2022,5,2022-05-15,Sekondi/Takoradi,4.93,-1.7,1.13
18360,2023,5,2023-05-15,Sekondi/Takoradi,4.93,-1.7,5.83
18361,2023,5,2023-05-15,Sekondi/Takoradi,4.93,-1.7,1.06
20407,2021,6,2021-06-15,Sekondi/Takoradi,4.93,-1.7,7.58
20408,2021,6,2021-06-15,Sekondi/Takoradi,4.93,-1.7,0.73
20958,2022,6,2022-06-15,Sekondi/Takoradi,4.93,-1.7,1.13
20959,2022,6,2022-06-15,Sekondi/Takoradi,4.93,-1.7,14.67
21567,2023,6,2023-06-15,Sekondi/Takoradi,4.93,-1.7,1.44
21568,2023,6,2023-06-15,Sekondi/Takoradi,4.93,-1.7,9.33
23664,2021,7,2021-07-15,Sekondi/Takoradi,4.93,-1.7,0.6
23665,2021,7,2021-07-15,Sekondi/Takoradi,4.93,-1.7,12.72
24245,2022,7,2022-07-15,Sekondi/Takoradi,4.93,-1.7,1.99
24246,2022,7,2022-07-15,Sekondi/Takoradi,4.93,-1.7,17.74
24743,2023,7,2023-07-15,Sekondi/Takoradi,4.93,-1.7,1.28
24744,2023,7,2023-07-15,Sekondi/Takoradi,4.93,-1.7,9.83
26530,2019,8,2019-08-15,Sekondi/Takoradi,4.93,-1.7,0.57
26537,2019,8,2019-08-15,Sekondi/Takoradi,4.93,-1.7,4.69
27635,2021,8,2021-08-15,Sekondi/Takoradi,4.93,-1.7,0.78
27636,2021,8,2021-08-15,Sekondi/Takoradi,4.93,-1.7,14.23
27972,2022,8,2022-08-15,Sekondi/Takoradi,4.93,-1.7,2.09
27973,2022,8,2022-08-15,Sekondi/Takoradi,4.93,-1.7,15.02
29779,2019,9,2019-09-15,Sekondi/Takoradi,4.93,-1.7,4.59
29780,2019,9,2019-09-15,Sekondi/Takoradi,4.93,-1.7,0.41
30347,2020,9,2020-09-15,Sekondi/Takoradi,4.93,-1.7,7.91
30348,2020,9,2020-09-15,Sekondi/Takoradi,4.93,-1.7,5.97
30821,2021,9,2021-09-15,Sekondi/Takoradi,4.93,-1.7,16.19
30822,2021,9,2021-09-15,Sekondi/Takoradi,4.93,-1.7,0.75
31201,2022,9,2022-09-15,Sekondi/Takoradi,4.93,-1.7,19.83
31202,2022,9,2022-09-15,Sekondi/Takoradi,4.93,-1.7,2.25
32918,2019,10,2019-10-15,Sekondi/Takoradi,4.93,-1.7,4.62
32919,2019,10,2019-10-15,Sekondi/Takoradi,4.93,-1.7,0.47
33479,2020,10,2020-10-15,Sekondi/Takoradi,4.93,-1.7,0.45
33987,2021,10,2021-10-15,Sekondi/Takoradi,4.93,-1.7,0.8
33988,2021,10,2021-10-15,Sekondi/Takoradi,4.93,-1.7,11.76
35705,2019,11,2019-11-15,Sekondi/Takoradi,4.93,-1.7,4.62
35811,2019,11,2019-11-15,Sekondi/Takoradi,4.93,-1.7,0.47
36362,2020,11,2020-11-15,Sekondi/Takoradi,4.93,-1.7,0.45
37219,2021,11,2021-11-15,Sekondi/Takoradi,4.93,-1.7,0.69
37220,2021,11,2021-11-15,Sekondi/Takoradi,4.93,-1.7,9.33
37538,2022,11,2022-11-15,Sekondi/Takoradi,4.93,-1.7,1.15
37539,2022,11,2022-11-15,Sekondi/Takoradi,4.93,-1.7,15.14
39178,2019,12,2019-12-15,Sekondi/Takoradi,4.93,-1.7,4.59
39179,2019,12,2019-12-15,Sekondi/Takoradi,4.93,-1.7,0.47
39480,2020,12,2020-12-15,Sekondi/Takoradi,4.93,-1.7,0.63
40121,2021,12,2021-12-15,Sekondi/Takoradi,4.93,-1.7,0.7
40122,2021,12,2021-12-15,Sekondi/Takoradi,4.93,-1.7,14.26
40606,2022,12,2022-12-15,Sekondi/Takoradi,4.93,-1.7,13.33
40607,2022,12,2022-12-15,Sekondi/Takoradi,4.93,-1.7,1.03
