Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
1926,2008,1,2008-01-15,Sekondi/Takoradi,4.93,-1.7,1.34
2015,2009,1,2009-01-15,Sekondi/Takoradi,4.93,-1.7,1.68
2087,2010,1,2010-01-15,Sekondi/Takoradi,4.93,-1.7,1.65
2186,2011,1,2011-01-15,Sekondi/Takoradi,4.93,-1.7,1.92
2292,2012,1,2012-01-15,Sekondi/Takoradi,4.93,-1.7,2.52
2392,2013,1,2013-01-15,Sekondi/Takoradi,4.93,-1.7,3.38
2524,2014,1,2014-01-15,Sekondi/Takoradi,4.93,-1.7,3.5
2639,2015,1,2015-01-15,Sekondi/Takoradi,4.93,-1.7,0.15
2745,2016,1,2016-01-15,Sekondi/Takoradi,4.93,-1.7,4.0
2762,2017,1,2017-01-15,Sekondi/Takoradi,4.93,-1.7,5.5
3246,2020,1,2020-01-15,Sekondi/Takoradi,4.93,-1.7,6.75
3456,2020,1,2020-01-15,Sekondi/Takoradi,4.93,-1.7,9.6
3470,2020,1,2020-01-15,Sekondi/Takoradi,4.93,-1.7,1.49
3893,2021,1,2021-01-15,Sekondi/Takoradi,4.93,-1.7,5.14
3894,2021,1,2021-01-15,Sekondi/Takoradi,4.93,-1.7,1.45
5293,2023,1,2023-01-15,Sekondi/Takoradi,4.93,-1.7,6.45
5294,2023,1,2023-01-15,Sekondi/Takoradi,4.93,-1.7,6.79
5405,2008,2,2008-02-15,Sekondi/Takoradi,4.93,-1.7,1.34
5524,2009,2,2009-02-15,Sekondi/Takoradi,4.93,-1.7,1.48
5633,2010,2,2010-02-15,Sekondi/Takoradi,4.93,-1.7,1.92
5674,2011,2,2011-02-15,Sekondi/Takoradi,4.93,-1.7,2.14
5773,2012,2,2012-02-15,Sekondi/Takoradi,4.93,-1.7,2.78
5925,2013,2,2013-02-15,Sekondi/Takoradi,4.93,-1.7,3.6
5986,2014,2,2014-02-15,Sekondi/Takoradi,4.93,-1.7,3.72
6104,2015,2,2015-02-15,Sekondi/Takoradi,4.93,-1.7,3.8
6181,2016,2,2016-02-15,Sekondi/Takoradi,4.93,-1.7,4.0
6650,2020,2,2020-02-15,Sekondi/Takoradi,4.93,-1.7,7.33
6888,2020,2,2020-02-15,Sekondi/Takoradi,4.93,-1.7,2.67
6899,2020,2,2020-02-15,Sekondi/Takoradi,4.93,-1.7,3.73
7615,2021,2,2021-02-15,Sekondi/Takoradi,4.93,-1.7,5.21
8318,2023,2,2023-02-15,Sekondi/Takoradi,4.93,-1.7,13.24
8319,2023,2,2023-02-15,Sekondi/Takoradi,4.93,-1.7,3.91
8889,2008,3,2008-03-15,Sekondi/Takoradi,4.93,-1.7,1.37
9002,2009,3,2009-03-15,Sekondi/Takoradi,4.93,-1.7,1.52
9089,2010,3,2010-03-15,Sekondi/Takoradi,4.93,-1.7,2.05
9173,2011,3,2011-03-15,Sekondi/Takoradi,4.93,-1.7,2.45
9298,2012,3,2012-03-15,Sekondi/Takoradi,4.93,-1.7,2.92
9310,2013,3,2013-03-15,Sekondi/Takoradi,4.93,-1.7,3.98
9430,2014,3,2014-03-15,Sekondi/Takoradi,4.93,-1.7,3.8
9583,2015,3,2015-03-15,Sekondi/Takoradi,4.93,-1.7,3.9
9663,2016,3,2016-03-15,Sekondi/Takoradi,4.93,-1.7,4.0
10179,2020,3,2020-03-15,Sekondi/Takoradi,4.93,-1.7,1.26
10181,2020,3,2020-03-15,Sekondi/Takoradi,4.93,-1.7,6.89
10285,2020,3,2020-03-15,Sekondi/Takoradi,4.93,-1.7,5.38
10452,2021,3,2021-03-15,Sekondi/Takoradi,4.93,-1.7,3.45
10453,2021,3,2021-03-15,Sekondi/Takoradi,4.93,-1.7,4.91
11411,2022,3,2022-03-15,Sekondi/Takoradi,4.93,-1.7,4.55
11544,2023,3,2023-03-15,Sekondi/Takoradi,4.93,-1.7,4.5
11545,2023,3,2023-03-15,Sekondi/Takoradi,4.93,-1.7,5.96
12189,2008,4,2008-04-15,Sekondi/Takoradi,4.93,-1.7,1.38
12301,2009,4,2009-04-15,Sekondi/Takoradi,4.93,-1.7,1.68
12391,2010,4,2010-04-15,Sekondi/Takoradi,4.93,-1.7,1.88
12513,2011,4,2011-04-15,Sekondi/Takoradi,4.93,-1.7,2.48
12544,2012,4,2012-04-15,Sekondi/Takoradi,4.93,-1.7,3.05
12732,2013,4,2013-04-15,Sekondi/Takoradi,4.93,-1.7,4.3
12792,2014,4,2014-04-15,Sekondi/Takoradi,4.93,-1.7,3.5
12850,2015,4,2015-04-15,Sekondi/Takoradi,4.93,-1.7,3.82
12954,2016,4,2016-04-15,Sekondi/Takoradi,4.93,-1.7,4.0
13155,2019,4,2019-04-15,Sekondi/Takoradi,4.93,-1.7,10.14
13469,2020,4,2020-04-15,Sekondi/Takoradi,4.93,-1.7,6.38
13470,2020,4,2020-04-15,Sekondi/Takoradi,4.93,-1.7,4.94
13891,2021,4,2021-04-15,Sekondi/Takoradi,4.93,-1.7,3.36
13892,2021,4,2021-04-15,Sekondi/Takoradi,4.93,-1.7,5.39
14748,2022,4,2022-04-15,Sekondi/Takoradi,4.93,-1.7,5.9
15208,2023,4,2023-04-15,Sekondi/Takoradi,4.93,-1.7,17.97
