date,year,month,city,latitude,longitude,cedi_price/(KG)
2009-07-15,2009,7,Bolga,10.79,-0.85,0.26
2009-08-15,2009,8,Bolga,10.79,-0.85,0.88
2009-09-15,2009,9,Bolga,10.79,-0.85,0.41
2009-10-15,2009,10,Bolga,10.79,-0.85,0.19
2009-11-15,2009,11,Bolga,10.79,-0.85,0.11
2009-12-15,2009,12,Bolga,10.79,-0.85,0.11
2010-02-15,2010,2,Bolga,10.79,-0.85,0.14
2010-07-15,2010,7,Bolga,10.79,-0.85,0.57
2010-09-15,2010,9,Bolga,10.79,-0.85,0.44
2010-10-15,2010,10,Bolga,10.79,-0.85,0.44
2010-11-15,2010,11,Bolga,10.79,-0.85,0.45
2011-01-15,2011,1,Bolga,10.79,-0.85,0.33
2011-02-15,2011,2,Bolga,10.79,-0.85,0.35
2011-03-15,2011,3,Bolga,10.79,-0.85,0.49
2011-04-15,2011,4,Bolga,10.79,-0.85,0.55
2011-05-15,2011,5,Bolga,10.79,-0.85,0.55
2011-06-15,2011,6,Bolga,10.79,-0.85,0.66
2011-07-15,2011,7,Bolga,10.79,-0.85,0.66
2011-08-15,2011,8,Bolga,10.79,-0.85,0.59
2011-09-15,2011,9,Bolga,10.79,-0.85,0.66
2011-10-15,2011,10,Bolga,10.79,-0.85,0.66
2014-01-15,2014,1,Bolga,10.79,-0.85,0.17
2014-10-15,2014,10,Bawku,11.05,-0.24,0.66
2014-10-15,2014,10,Funbisi,10.45,-1.31,0.31
2014-10-15,2014,10,Navrongo,10.89,-1.09,0.77
2016-04-15,2016,4,Bolga,10.79,-0.85,1.65
2016-05-15,2016,5,Bolga,10.79,-0.85,3.02
2016-06-15,2016,6,Bolga,10.79,-0.85,3.3
2016-07-15,2016,7,Bolga,10.79,-0.85,2.82
2016-08-15,2016,8,Bolga,10.79,-0.85,2.42
2016-09-15,2016,9,Bolga,10.79,-0.85,2.47
2016-10-15,2016,10,Bolga,10.79,-0.85,2.68
2016-11-15,2016,11,Bolga,10.79,-0.85,2.58
2016-12-15,2016,12,Bolga,10.79,-0.85,2.77
2017-01-15,2017,1,Bolga,10.79,-0.85,2.8
2017-02-15,2017,2,Bolga,10.79,-0.85,2.86
2017-03-15,2017,3,Bolga,10.79,-0.85,3.81
2017-04-15,2017,4,Bolga,10.79,-0.85,3.9
2017-05-15,2017,5,Bolga,10.79,-0.85,3.3
2017-06-15,2017,6,Bolga,10.79,-0.85,3.08
2017-07-15,2017,7,Bolga,10.79,-0.85,2.75
2017-08-15,2017,8,Bolga,10.79,-0.85,1.78
2017-10-15,2017,10,Bolga,10.79,-0.85,1.79
2017-11-15,2017,11,Bolga,10.79,-0.85,1.79
2018-01-15,2018,1,Bolga,10.79,-0.85,1.88
2018-02-15,2018,2,Bolga,10.79,-0.85,1.47
2018-03-15,2018,3,Bolga,10.79,-0.85,1.59
2018-05-15,2018,5,Bolga,10.79,-0.85,1.65
2018-07-15,2018,7,Bolga,10.79,-0.85,1.68
2018-08-15,2018,8,Bolga,10.79,-0.85,1.29
2018-09-15,2018,9,Bolga,10.79,-0.85,1.29
2018-11-15,2018,11,Bolga,10.79,-0.85,1.37
2018-12-15,2018,12,Bolga,10.79,-0.85,1.37
2019-01-15,2019,1,Bolga,10.79,-0.85,1.37
2019-02-15,2019,2,Bolga,10.79,-0.85,1.37
2019-03-15,2019,3,Bolga,10.79,-0.85,1.59
2019-04-15,2019,4,Bolga,10.79,-0.85,1.59
2019-05-15,2019,5,Bolga,10.79,-0.85,1.58
2019-07-15,2019,7,Bolga,10.79,-0.85,1.59
2019-08-15,2019,8,Bolga,10.79,-0.85,1.59
2019-09-15,2019,9,Bolga,10.79,-0.85,1.59
2019-10-15,2019,10,Bolga,10.79,-0.85,1.59
2019-11-15,2019,11,Bolga,10.79,-0.85,1.59
2019-12-15,2019,12,Bolga,10.79,-0.85,1.59
2020-01-15,2020,1,Bolga,10.79,-0.85,1.59
2020-03-15,2020,3,Bolga,10.79,-0.85,3.24
2020-02-15,2020,2,Bolga,10.79,-0.85,2.57
2019-08-15,2019,8,Garu,10.85,-0.18,6.76
2019-08-15,2019,8,Garu,10.85,-0.18,3.23
2019-09-15,2019,9,Garu,10.85,-0.18,6.76
2019-09-15,2019,9,Garu,10.85,-0.18,3.23
2019-10-15,2019,10,Garu,10.85,-0.18,6.76
2020-02-15,2020,2,Bolga,10.79,-0.85,3.24
2020-02-15,2020,2,Garu,10.85,-0.18,2.3
2020-04-15,2020,4,Bolga,10.79,-0.85,1.81
2020-04-15,2020,4,Bolga,10.79,-0.85,3.93
2020-04-15,2020,4,Garu,10.85,-0.18,1.17
2020-04-15,2020,4,Garu,10.85,-0.18,1.84
2020-05-15,2020,5,Bolga,10.79,-0.85,2.18
2020-05-15,2020,5,Bolga,10.79,-0.85,4.36
2020-05-15,2020,5,Garu,10.85,-0.18,1.23
2020-05-15,2020,5,Garu,10.85,-0.18,1.84
2020-06-15,2020,6,Bolga,10.79,-0.85,2.26
2020-06-15,2020,6,Garu,10.85,-0.18,1.17
2020-07-15,2020,7,Bolga,10.79,-0.85,1.9
2020-07-15,2020,7,Bolga,10.79,-0.85,3.24
2020-07-15,2020,7,Garu,10.85,-0.18,2.45
2020-07-15,2020,7,Garu,10.85,-0.18,2.3
2020-08-15,2020,8,Bolga,10.79,-0.85,2.9
2020-08-15,2020,8,Bolga,10.79,-0.85,4.76
2020-08-15,2020,8,Garu,10.85,-0.18,2.45
2020-08-15,2020,8,Garu,10.85,-0.18,3.44
2020-09-15,2020,9,Bolga,10.79,-0.85,6.32
2020-09-15,2020,9,Bolga,10.79,-0.85,6.66
2020-10-15,2020,10,Garu,10.85,-0.18,3.69
2020-11-15,2020,11,Garu,10.85,-0.18,3.69
2021-02-15,2021,2,Bolga,10.79,-0.85,2.58
2021-02-15,2021,2,Bolga,10.79,-0.85,3.9
2021-02-15,2021,2,Garu,10.85,-0.18,5.36
2021-03-15,2021,3,Bolga,10.79,-0.85,2.58
2021-03-15,2021,3,Bolga,10.79,-0.85,3.9
2021-03-15,2021,3,Garu,10.85,-0.18,6.41
2021-04-15,2021,4,Bolga,10.79,-0.85,2.58
2021-06-15,2021,6,Bolga,10.79,-0.85,2.86
2021-07-15,2021,7,Bolga,10.79,-0.85,3.07
2021-07-15,2021,7,Bolga,10.79,-0.85,3.9
2021-08-15,2021,8,Garu,10.85,-0.18,7.67
2021-09-15,2021,9,Bolga,10.79,-0.85,3.07
2021-09-15,2021,9,Bolga,10.79,-0.85,3.9
2021-10-15,2021,10,Bolga,10.79,-0.85,3.07
2021-10-15,2021,10,Bolga,10.79,-0.85,3.9
2021-10-15,2021,10,Garu,10.85,-0.18,7.67
2021-11-15,2021,11,Bolga,10.79,-0.85,3.07
2021-11-15,2021,11,Bolga,10.79,-0.85,3.9
2021-11-15,2021,11,Garu,10.85,-0.18,3.82
2021-12-15,2021,12,Bolga,10.79,-0.85,3.07
2021-12-15,2021,12,Bolga,10.79,-0.85,4.95
2021-12-15,2021,12,Garu,10.85,-0.18,4.01
2022-01-15,2022,1,Bolga,10.79,-0.85,3.07
2022-01-15,2022,1,Bolga,10.79,-0.85,4.95
2022-01-15,2022,1,Garu,10.85,-0.18,4.01
2022-02-15,2022,2,Bolga,10.79,-0.85,3.07
2022-02-15,2022,2,Bolga,10.79,-0.85,3.07
2022-03-15,2022,3,Garu,10.85,-0.18,4.43
2022-04-15,2022,4,Bolga,10.79,-0.85,3.43
2022-04-15,2022,4,Bolga,10.79,-0.85,3.76
2022-04-15,2022,4,Garu,10.85,-0.18,4.43
2022-05-15,2022,5,Bolga,10.79,-0.85,3.34
2022-05-15,2022,5,Bolga,10.79,-0.85,3.76
2022-06-15,2022,6,Garu,10.85,-0.18,7.08
2022-07-15,2022,7,Bolga,10.79,-0.85,3.34
2022-07-15,2022,7,Bolga,10.79,-0.85,3.76
2022-08-15,2022,8,Bolga,10.79,-0.85,5.08
2022-08-15,2022,8,Bolga,10.79,-0.85,6.09
2022-08-15,2022,8,Garu,10.85,-0.18,8.67
2022-10-15,2022,10,Bolga,10.79,-0.85,3.34
2022-10-15,2022,10,Bolga,10.79,-0.85,3.76
2022-11-15,2022,11,Bolga,10.79,-0.85,3.34
2022-11-15,2022,11,Bolga,10.79,-0.85,3.76
2022-12-15,2022,12,Bolga,10.79,-0.85,3.48
2022-12-15,2022,12,Bolga,10.79,-0.85,3.76
2023-01-15,2023,1,Bolga,10.79,-0.85,3.48
2023-01-15,2023,1,Bolga,10.79,-0.85,3.76
2023-01-15,2023,1,Garu,10.85,-0.18,3.07
2023-02-15,2023,2,Bolga,10.79,-0.85,3.48
2023-02-15,2023,2,Bolga,10.79,-0.85,3.76
2023-02-15,2023,2,Garu,10.85,-0.18,4.17
2023-03-15,2023,3,Bolga,10.79,-0.85,8.35
2023-03-15,2023,3,Bolga,10.79,-0.85,3.76
2023-03-15,2023,3,Garu,10.85,-0.18,3.44
2023-07-15,2023,7,Bolga,10.79,-0.85,5.01
