date,year,month,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,Bolga,10.79,-0.85,3.14
2019-08-15,2019,8,Garu,10.85,-0.18,1.7
2019-09-15,2019,9,Bolga,10.79,-0.85,3.14
2019-09-15,2019,9,Garu,10.85,-0.18,1.7
2019-10-15,2019,10,Bolga,10.79,-0.85,3.14
2019-11-15,2019,11,Bolga,10.79,-0.85,3.14
2019-12-15,2019,12,Bolga,10.79,-0.85,3.14
2020-01-15,2020,1,Bolga,10.79,-0.85,3.14
2020-02-15,2020,2,Bolga,10.79,-0.85,1.99
2020-02-15,2020,2,Garu,10.85,-0.18,3.93
2020-04-15,2020,4,Bolga,10.79,-0.85,3.32
2020-04-15,2020,4,Garu,10.85,-0.18,5.0
2020-05-15,2020,5,Bolga,10.79,-0.85,2.8
2020-05-15,2020,5,Garu,10.85,-0.18,4.28
2020-07-15,2020,7,Bolga,10.79,-0.85,2.33
2020-07-15,2020,7,Garu,10.85,-0.18,3.93
2020-08-15,2020,8,Bolga,10.79,-0.85,2.33
2020-08-15,2020,8,Garu,10.85,-0.18,3.03
2020-09-15,2020,9,Bolga,10.79,-0.85,2.67
2020-10-15,2020,10,Garu,10.85,-0.18,3.44
2020-11-15,2020,11,Bolga,10.79,-0.85,6.57
2020-11-15,2020,11,Garu,10.85,-0.18,3.44
2020-12-15,2020,12,Bolga,10.79,-0.85,6.57
2021-01-15,2021,1,Bolga,10.79,-0.85,6.57
2021-02-15,2021,2,Bolga,10.79,-0.85,4.25
2021-02-15,2021,2,Garu,10.85,-0.18,1.98
2021-03-15,2021,3,Bolga,10.79,-0.85,4.25
2021-03-15,2021,3,Garu,10.85,-0.18,10.0
2021-04-15,2021,4,Bolga,10.79,-0.85,4.25
2021-06-15,2021,6,Bolga,10.79,-0.85,3.14
2021-07-15,2021,7,Bolga,10.79,-0.85,7.0
2021-08-15,2021,8,Garu,10.85,-0.18,7.6
2021-09-15,2021,9,Bolga,10.79,-0.85,2.5
2021-10-15,2021,10,Bolga,10.79,-0.85,2.5
2021-10-15,2021,10,Garu,10.85,-0.18,7.0
2021-11-15,2021,11,Bolga,10.79,-0.85,6.5
2021-11-15,2021,11,Garu,10.85,-0.18,4.75
2021-12-15,2021,12,Bolga,10.79,-0.85,6.5
2021-12-15,2021,12,Garu,10.85,-0.18,14.37
2022-01-15,2022,1,Bolga,10.79,-0.85,6.5
2022-01-15,2022,1,Garu,10.85,-0.18,11.71
2022-03-15,2022,3,Garu,10.85,-0.18,11.71
2022-04-15,2022,4,Bolga,10.79,-0.85,6.75
2022-04-15,2022,4,Garu,10.85,-0.18,13.17
2022-06-15,2022,6,Garu,10.85,-0.18,13.17
2022-08-15,2022,8,Bolga,10.79,-0.85,13.48
2022-08-15,2022,8,Garu,10.85,-0.18,13.17
2022-10-15,2022,10,Garu,10.85,-0.18,2.86
2022-11-15,2022,11,Bolga,10.79,-0.85,13.63
2022-11-15,2022,11,Garu,10.85,-0.18,7.9
2022-12-15,2022,12,Bolga,10.79,-0.85,13.63
2023-01-15,2023,1,Garu,10.85,-0.18,4.39
2023-03-15,2023,3,Garu,10.85,-0.18,4.63
