date,year,month,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,Bolga,10.79,-0.85,1.08
2019-08-15,2019,8,Bolga,10.79,-0.85,1.27
2019-08-15,2019,8,Garu,10.85,-0.18,0.91
2019-08-15,2019,8,Garu,10.85,-0.18,1.05
2019-09-15,2019,9,Bolga,10.79,-0.85,0.94
2019-09-15,2019,9,Bolga,10.79,-0.85,1.2
2019-09-15,2019,9,Garu,10.85,-0.18,0.91
2019-09-15,2019,9,Garu,10.85,-0.18,1.05
2019-10-15,2019,10,Bolga,10.79,-0.85,0.92
2019-10-15,2019,10,Bolga,10.79,-0.85,1.19
2019-10-15,2019,10,Garu,10.85,-0.18,0.95
2019-10-15,2019,10,Garu,10.85,-0.18,5.52
2019-11-15,2019,11,Bolga,10.79,-0.85,0.92
2019-11-15,2019,11,Bolga,10.79,-0.85,1.19
2019-12-15,2019,12,Bolga,10.79,-0.85,1.07
2019-12-15,2019,12,Bolga,10.79,-0.85,1.19
2020-01-15,2020,1,Bolga,10.79,-0.85,1.09
2020-01-15,2020,1,Bolga,10.79,-0.85,1.19
2020-02-15,2020,2,Bolga,10.79,-0.85,1.08
2020-02-15,2020,2,Bolga,10.79,-0.85,1.19
2020-02-15,2020,2,Garu,10.85,-0.18,0.99
2020-04-15,2020,4,Bolga,10.79,-0.85,1.02
2020-04-15,2020,4,Bolga,10.79,-0.85,1.19
2020-04-15,2020,4,Garu,10.85,-0.18,0.88
2020-04-15,2020,4,Garu,10.85,-0.18,1.1
2020-05-15,2020,5,Bolga,10.79,-0.85,1.06
2020-05-15,2020,5,Bolga,10.79,-0.85,1.19
2020-05-15,2020,5,Garu,10.85,-0.18,1.03
2020-05-15,2020,5,Garu,10.85,-0.18,1.13
2020-06-15,2020,6,Bolga,10.79,-0.85,1.01
2020-06-15,2020,6,Garu,10.85,-0.18,1.04
2020-07-15,2020,7,Bolga,10.79,-0.85,1.08
2020-07-15,2020,7,Bolga,10.79,-0.85,1.31
2020-07-15,2020,7,Garu,10.85,-0.18,1.1
2020-07-15,2020,7,Garu,10.85,-0.18,0.99
2020-08-15,2020,8,Bolga,10.79,-0.85,1.23
2020-08-15,2020,8,Bolga,10.79,-0.85,1.36
2020-08-15,2020,8,Garu,10.85,-0.18,1.23
2020-08-15,2020,8,Garu,10.85,-0.18,1.53
2020-09-15,2020,9,Bolga,10.79,-0.85,1.49
2020-09-15,2020,9,Bolga,10.79,-0.85,1.65
2020-10-15,2020,10,Garu,10.85,-0.18,1.33
2020-10-15,2020,10,Garu,10.85,-0.18,1.85
2020-11-15,2020,11,Bolga,10.79,-0.85,1.37
2020-11-15,2020,11,Bolga,10.79,-0.85,1.52
2020-11-15,2020,11,Garu,10.85,-0.18,1.33
2020-11-15,2020,11,Garu,10.85,-0.18,1.85
2020-12-15,2020,12,Bolga,10.79,-0.85,1.75
2020-12-15,2020,12,Bolga,10.79,-0.85,2.03
2021-01-15,2021,1,Bolga,10.79,-0.85,1.75
2021-01-15,2021,1,Bolga,10.79,-0.85,2.03
2021-02-15,2021,2,Bolga,10.79,-0.85,1.67
2021-02-15,2021,2,Bolga,10.79,-0.85,1.91
2021-02-15,2021,2,Garu,10.85,-0.18,2.31
2021-02-15,2021,2,Garu,10.85,-0.18,3.15
