Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
1992,2008,1,2008-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,31.0
2050,2009,1,2009-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,45.4
2135,2010,1,2010-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,40.0
2243,2011,1,2011-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,40.4
2268,2012,1,2012-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,67.0
2431,2013,1,2013-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,58.75
2485,2014,1,2014-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,59.2
2554,2015,1,2015-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,100.0
2681,2016,1,2016-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,106.0
2775,2017,1,2017-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,95.0
2866,2018,1,2018-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,127.17
2919,2019,1,2019-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,117.0
3177,2020,1,2020-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,1.19
3230,2020,1,2020-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,"actual,aggregate",Wholesale,108.75
3647,2021,1,2021-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,2.03
3648,2021,1,2021-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,aggregate,Wholesale,175.31
4461,2022,1,2022-01-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,3.29
4473,2022,1,2022-01-15,Garu,Garu Tempane,1720,10.85,-0.18,100 ,aggregate,Wholesale,264.52
4493,2022,1,2022-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,3.28
4494,2022,1,2022-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,aggregate,Wholesale,272.5
4889,2023,1,2023-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,5.65
4890,2023,1,2023-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,aggregate,Wholesale,491.38
4915,2023,1,2023-01-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,3.79
4916,2023,1,2023-01-15,Garu,Garu Tempane,1720,10.85,-0.18,100 ,aggregate,Wholesale,348.84
5383,2008,2,2008-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,33.5
5505,2009,2,2009-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,51.0
5575,2010,2,2010-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,40.5
5648,2011,2,2011-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,33.6
5763,2012,2,2012-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,66.0
5920,2013,2,2013-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,62.5
6004,2014,2,2014-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,63.5
6130,2015,2,2015-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,100.0
6170,2016,2,2016-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,115.0
6270,2017,2,2017-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,100.0
6334,2018,2,2018-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,127.17
6340,2018,2,2018-02-15,Garu,Garu Tempane,1720,10.85,-0.18,100 ,actual,Wholesale,104.58
6433,2019,2,2019-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,123.86
6620,2020,2,2020-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,"actual,aggregate",Wholesale,113.09
6803,2020,2,2020-02-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,1.1
6842,2020,2,2020-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,1.19
7236,2021,2,2021-02-15,Garu,Garu Tempane,1720,10.85,-0.18,100 ,aggregate,Wholesale,232.38
7260,2021,2,2021-02-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,3.19
7321,2021,2,2021-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,1.91
7411,2021,2,2021-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,aggregate,Wholesale,166.75
7684,2022,2,2022-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,2.46
7685,2022,2,2022-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,aggregate,Wholesale,245.95
7707,2022,2,2022-02-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,2.98
7708,2022,2,2022-02-15,Garu,Garu Tempane,1720,10.85,-0.18,100 ,aggregate,Wholesale,297.58
8359,2023,2,2023-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,5.74
8360,2023,2,2023-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,aggregate,Wholesale,491.38
8433,2023,2,2023-02-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,4.36
8434,2023,2,2023-02-15,Garu,Garu Tempane,1720,10.85,-0.18,100 ,aggregate,Wholesale,400.81
8908,2008,3,2008-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,38.33
8972,2009,3,2009-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,52.5
9093,2010,3,2010-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,41.5
9147,2011,3,2011-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,41.5
9217,2012,3,2012-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,68.0
9366,2013,3,2013-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,60.25
9444,2014,3,2014-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,64.6
9594,2015,3,2015-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,100.0
9632,2016,3,2016-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,117.5
9704,2017,3,2017-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,105.0
9815,2018,3,2018-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,109.74
9861,2019,3,2019-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,119.0
10066,2020,3,2020-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,118.68
10503,2021,3,2021-03-15,Garu,Garu Tempane,1720,10.85,-0.18,100 ,aggregate,Wholesale,163.93
10504,2021,3,2021-03-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,2.8
10680,2021,3,2021-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,aggregate,Wholesale,148.53
10681,2021,3,2021-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,1.99
11046,2022,3,2022-03-15,Garu,Garu Tempane,1720,10.85,-0.18,100 ,aggregate,Wholesale,363.71
11047,2022,3,2022-03-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,4.82
11882,2023,3,2023-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,aggregate,Wholesale,491.38
11883,2023,3,2023-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,5.65
11972,2023,3,2023-03-15,Garu,Garu Tempane,1720,10.85,-0.18,100 ,aggregate,Wholesale,415.28
11973,2023,3,2023-03-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,4.47
12247,2008,4,2008-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,39.04
12288,2009,4,2009-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,47.25
12370,2010,4,2010-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,42.0
12517,2011,4,2011-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,42.0
12577,2012,4,2012-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,70.0
12643,2013,4,2013-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,58.0
12816,2014,4,2014-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,67.5
12824,2015,4,2015-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,107.5
12974,2016,4,2016-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,116.0
13059,2017,4,2017-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,110.0
13117,2018,4,2018-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,115.73
13181,2019,4,2019-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,123.86
13532,2020,4,2020-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,1.19
13533,2020,4,2020-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,aggregate,Wholesale,101.59
13557,2020,4,2020-04-15,Garu,Garu Tempane,1720,10.85,-0.18,100 ,aggregate,Wholesale,87.09
13598,2020,4,2020-04-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,1.07
14013,2021,4,2021-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,aggregate,Wholesale,148.53
14014,2021,4,2021-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,2.03
14456,2022,4,2022-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,aggregate,Wholesale,339.0
14734,2022,4,2022-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,3.66
14832,2022,4,2022-04-15,Garu,Garu Tempane,1720,10.85,-0.18,100 ,aggregate,Wholesale,347.18
