date,year,month,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,Bolga,10.79,-0.85,8.29
2019-08-15,2019,8,Garu,10.85,-0.18,5.6
2019-09-15,2019,9,Bolga,10.79,-0.85,8.29
2019-09-15,2019,9,Garu,10.85,-0.18,5.6
2019-10-15,2019,10,Bolga,10.79,-0.85,8.29
2019-11-15,2019,11,Bolga,10.79,-0.85,8.29
2019-12-15,2019,12,Bolga,10.79,-0.85,8.29
2020-01-15,2020,1,Bolga,10.79,-0.85,8.29
2020-02-15,2020,2,Bolga,10.79,-0.85,7.5
2020-04-15,2020,4,Bolga,10.79,-0.85,20.0
2020-04-15,2020,4,Bolga,10.79,-0.85,27.82
2020-04-15,2020,4,Garu,10.85,-0.18,5.71
2020-04-15,2020,4,Garu,10.85,-0.18,20.78
2020-05-15,2020,5,Bolga,10.79,-0.85,6.83
2020-05-15,2020,5,Bolga,10.79,-0.85,20.71
2020-05-15,2020,5,Garu,10.85,-0.18,3.51
2020-05-15,2020,5,Garu,10.85,-0.18,22.05
2020-06-15,2020,6,Bolga,10.79,-0.85,15.25
2020-06-15,2020,6,Garu,10.85,-0.18,5.71
2020-07-15,2020,7,Bolga,10.79,-0.85,7.5
2020-07-15,2020,7,Garu,10.85,-0.18,2.32
2020-08-15,2020,8,Bolga,10.79,-0.85,7.5
2020-08-15,2020,8,Garu,10.85,-0.18,2.32
2020-08-15,2020,8,Garu,10.85,-0.18,5.25
2020-09-15,2020,9,Bolga,10.79,-0.85,10.5
2020-10-15,2020,10,Garu,10.85,-0.18,5.75
2020-11-15,2020,11,Garu,10.85,-0.18,5.75
2021-02-15,2021,2,Bolga,10.79,-0.85,2.38
2021-03-15,2021,3,Bolga,10.79,-0.85,2.38
2021-04-15,2021,4,Bolga,10.79,-0.85,7.84
2021-04-15,2021,4,Bolga,10.79,-0.85,2.38
2021-06-15,2021,6,Bolga,10.79,-0.85,8.29
2021-07-15,2021,7,Bolga,10.79,-0.85,2.38
2021-09-15,2021,9,Bolga,10.79,-0.85,2.38
2021-10-15,2021,10,Bolga,10.79,-0.85,2.38
2021-11-15,2021,11,Bolga,10.79,-0.85,2.38
2021-12-15,2021,12,Bolga,10.79,-0.85,2.38
2022-01-15,2022,1,Bolga,10.79,-0.85,2.38
2022-04-15,2022,4,Bolga,10.79,-0.85,2.38
2022-08-15,2022,8,Bolga,10.79,-0.85,2.34
2022-08-15,2022,8,Garu,10.85,-0.18,10.63
2022-10-15,2022,10,Bolga,10.79,-0.85,4.35
2022-10-15,2022,10,Garu,10.85,-0.18,7.07
