date,year,month,city,latitude,longitude,cedi_price/(KG)
2007-07-15,2007,7,Bolga,10.79,-0.85,0.66
2007-08-15,2007,8,Bolga,10.79,-0.85,0.5
2007-09-15,2007,9,Bolga,10.79,-0.85,0.55
2007-10-15,2007,10,Bolga,10.79,-0.85,0.72
2007-11-15,2007,11,Bolga,10.79,-0.85,0.6
2007-12-15,2007,12,Bolga,10.79,-0.85,0.74
2008-01-15,2008,1,Bolga,10.79,-0.85,0.71
2008-02-15,2008,2,Bolga,10.79,-0.85,0.7
2008-03-15,2008,3,Bolga,10.79,-0.85,0.83
2008-04-15,2008,4,Bolga,10.79,-0.85,0.9
2008-05-15,2008,5,Bolga,10.79,-0.85,0.94
2008-06-15,2008,6,Bolga,10.79,-0.85,1.01
2008-07-15,2008,7,Bolga,10.79,-0.85,1.07
2008-08-15,2008,8,Bolga,10.79,-0.85,1.15
2008-09-15,2008,9,Bolga,10.79,-0.85,1.29
2008-10-15,2008,10,Bolga,10.79,-0.85,1.38
2008-11-15,2008,11,Bolga,10.79,-0.85,1.17
2008-12-15,2008,12,Bolga,10.79,-0.85,1.0
2009-01-15,2009,1,Bolga,10.79,-0.85,1.0
2009-02-15,2009,2,Bolga,10.79,-0.85,1.0
2009-03-15,2009,3,Bolga,10.79,-0.85,1.0
2009-04-15,2009,4,Bolga,10.79,-0.85,1.0
2009-05-15,2009,5,Bolga,10.79,-0.85,1.0
2009-06-15,2009,6,Bolga,10.79,-0.85,1.1
2009-07-15,2009,7,Bolga,10.79,-0.85,1.05
2009-08-15,2009,8,Bolga,10.79,-0.85,1.1
2009-09-15,2009,9,Bolga,10.79,-0.85,1.07
2009-10-15,2009,10,Bolga,10.79,-0.85,0.98
2009-11-15,2009,11,Bolga,10.79,-0.85,1.0
2009-12-15,2009,12,Bolga,10.79,-0.85,1.0
2010-01-15,2010,1,Bolga,10.79,-0.85,1.18
2010-02-15,2010,2,Bolga,10.79,-0.85,1.1
2010-03-15,2010,3,Bolga,10.79,-0.85,1.0
2010-04-15,2010,4,Bolga,10.79,-0.85,1.0
2010-05-15,2010,5,Bolga,10.79,-0.85,1.0
2010-06-15,2010,6,Bolga,10.79,-0.85,1.0
2010-07-15,2010,7,Bolga,10.79,-0.85,1.0
