Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3469,2020,1,2020-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,2.96
3495,2020,1,2020-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,109 ,aggregate,Wholesale,200.0
3585,2021,1,2021-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,4.35
4481,2022,1,2022-01-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,13.0
4514,2022,1,2022-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,109 ,aggregate,Wholesale,79.75
4521,2022,1,2022-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,16.25
4901,2023,1,2023-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,9.88
4925,2023,1,2023-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,109 ,aggregate,Wholesale,168.55
4981,2023,1,2023-01-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,3.97
6782,2020,2,2020-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,12.5
6783,2020,2,2020-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,109 ,aggregate,Wholesale,18.0
6806,2020,2,2020-02-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,11.26
7266,2021,2,2021-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,109 ,aggregate,Wholesale,431.58
7267,2021,2,2021-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,2.75
7286,2021,2,2021-02-15,Garu,Garu Tempane,1720,10.85,-0.18,109 ,aggregate,Wholesale,202.27
7295,2021,2,2021-02-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,2.95
7670,2022,2,2022-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,109 ,aggregate,Wholesale,79.75
7679,2022,2,2022-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,2.95
8409,2023,2,2023-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,7.8
8410,2023,2,2023-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,109 ,aggregate,Wholesale,357.62
8422,2023,2,2023-02-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,2.66
10520,2021,3,2021-03-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,7.5
10692,2021,3,2021-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,2.75
10693,2021,3,2021-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,109 ,aggregate,Wholesale,35.52
11118,2022,3,2022-03-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,13.0
11926,2023,3,2023-03-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,4.81
11962,2023,3,2023-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,109 ,aggregate,Wholesale,195.03
11963,2023,3,2023-03-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,7.8
13538,2020,4,2020-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,109 ,aggregate,Wholesale,161.36
13555,2020,4,2020-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,2.02
13633,2020,4,2020-04-15,Garu,Garu Tempane,1720,10.85,-0.18,109 ,aggregate,Wholesale,184.16
13634,2020,4,2020-04-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,2.14
14102,2021,4,2021-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,109 ,aggregate,Wholesale,35.52
14103,2021,4,2021-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,7.5
14829,2022,4,2022-04-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,13.4
14858,2022,4,2022-04-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,109 ,aggregate,Wholesale,67.5
16866,2020,5,2020-05-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,4.24
16867,2020,5,2020-05-15,Garu,Garu Tempane,1720,10.85,-0.18,109 ,aggregate,Wholesale,66.45
17041,2020,5,2020-05-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,109 ,aggregate,Wholesale,48.6
17060,2020,5,2020-05-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,1.53
17927,2022,5,2022-05-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,10.54
17928,2022,5,2022-05-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,109 ,aggregate,Wholesale,79.75
20032,2020,6,2020-06-15,Garu,Garu Tempane,1720,10.85,-0.18,109 ,aggregate,Wholesale,105.55
20045,2020,6,2020-06-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,109 ,aggregate,Wholesale,67.62
20443,2021,6,2021-06-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,5.47
20444,2021,6,2021-06-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,109 ,aggregate,Wholesale,67.42
20989,2022,6,2022-06-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,13.4
23119,2020,7,2020-07-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,109 ,aggregate,Wholesale,18.0
23123,2020,7,2020-07-15,Garu,Garu Tempane,1720,10.85,-0.18,109 ,aggregate,Wholesale,16.0
23124,2020,7,2020-07-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,11.26
23152,2020,7,2020-07-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,12.5
23822,2021,7,2021-07-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,109 ,aggregate,Wholesale,67.42
23823,2021,7,2021-07-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,17.5
