Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
1934,2008,1,2008-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,125.0
2045,2009,1,2009-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,116.0
2147,2010,1,2010-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,168.0
2190,2011,1,2011-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,88.33
2311,2012,1,2012-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,95.0
2436,2013,1,2013-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,170.0
2494,2014,1,2014-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,180.0
2598,2015,1,2015-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,250.0
2713,2016,1,2016-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,582.0
2783,2017,1,2017-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,662.5
3502,2020,1,2020-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,6.04
3503,2020,1,2020-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,250 ,aggregate,Wholesale,275.0
3593,2021,1,2021-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,8.77
3594,2021,1,2021-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,250 ,aggregate,Wholesale,295.0
4449,2022,1,2022-01-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,3.49
4450,2022,1,2022-01-15,Garu,Garu Tempane,1720,10.85,-0.18,250 ,aggregate,Wholesale,838.89
4504,2022,1,2022-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,2.46
4878,2023,1,2023-01-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,2.46
5420,2008,2,2008-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,125.0
5501,2009,2,2009-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,107.5
5594,2010,2,2010-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,157.5
5693,2011,2,2011-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,80.0
5785,2012,2,2012-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,100.0
5903,2013,2,2013-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,197.5
5983,2014,2,2014-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,187.5
6109,2015,2,2015-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,350.0
6164,2016,2,2016-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,700.0
6264,2017,2,2017-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,660.0
6651,2020,2,2020-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,100 ,actual,Wholesale,615.04
6787,2020,2,2020-02-15,Bolga,Bolgatanga Municipal,221,10.79,-0.85,,aggregate,Retail,2.46
6809,2020,2,2020-02-15,Garu,Garu Tempane,1720,10.85,-0.18,,aggregate,Retail,1.58
