date,year,month,day,city,latitude,longitude,cedi_price/(KG)
2009-04-15,2009,4,15,Wa,10.05,-2.48,0.25
2009-05-15,2009,5,15,Wa,10.05,-2.48,0.25
2009-06-15,2009,6,15,Wa,10.05,-2.48,0.26
2009-07-15,2009,7,15,Wa,10.05,-2.48,0.26
2009-08-15,2009,8,15,Wa,10.05,-2.48,0.34
2009-09-15,2009,9,15,Wa,10.05,-2.48,0.26
2009-10-15,2009,10,15,Wa,10.05,-2.48,0.27
2009-11-15,2009,11,15,Wa,10.05,-2.48,0.27
2009-12-15,2009,12,15,Wa,10.05,-2.48,0.27
2010-01-15,2010,1,15,Wa,10.05,-2.48,0.27
2010-02-15,2010,2,15,Wa,10.05,-2.48,0.32
2010-03-15,2010,3,15,Wa,10.05,-2.48,0.33
2010-04-15,2010,4,15,Wa,10.05,-2.48,0.33
2010-05-15,2010,5,15,Wa,10.05,-2.48,0.34
2010-06-15,2010,6,15,Wa,10.05,-2.48,0.38
2010-07-15,2010,7,15,Wa,10.05,-2.48,0.38
2010-08-15,2010,8,15,Wa,10.05,-2.48,0.38
2010-09-15,2010,9,15,Wa,10.05,-2.48,0.48
2010-10-15,2010,10,15,Wa,10.05,-2.48,0.38
2010-11-15,2010,11,15,Wa,10.05,-2.48,0.38
2010-12-15,2010,12,15,Wa,10.05,-2.48,0.38
2011-01-15,2011,1,15,Wa,10.05,-2.48,0.32
2011-02-15,2011,2,15,Wa,10.05,-2.48,0.32
2011-03-15,2011,3,15,Wa,10.05,-2.48,0.4
2011-04-15,2011,4,15,Wa,10.05,-2.48,0.4
2011-05-15,2011,5,15,Wa,10.05,-2.48,0.4
2011-06-15,2011,6,15,Wa,10.05,-2.48,0.39
2011-07-15,2011,7,15,Wa,10.05,-2.48,0.38
2011-08-15,2011,8,15,Wa,10.05,-2.48,0.38
2011-09-15,2011,9,15,Wa,10.05,-2.48,0.38
2011-10-15,2011,10,15,Wa,10.05,-2.48,0.38
2011-11-15,2011,11,15,Wa,10.05,-2.48,0.38
2011-12-15,2011,12,15,Wa,10.05,-2.48,0.38
2012-01-15,2012,1,15,Wa,10.05,-2.48,0.41
2012-02-15,2012,2,15,Wa,10.05,-2.48,0.49
2012-03-15,2012,3,15,Wa,10.05,-2.48,0.49
2012-04-15,2012,4,15,Wa,10.05,-2.48,0.49
2012-05-15,2012,5,15,Wa,10.05,-2.48,0.49
2012-06-15,2012,6,15,Wa,10.05,-2.48,0.49
2012-07-15,2012,7,15,Wa,10.05,-2.48,0.49
2012-08-15,2012,8,15,Wa,10.05,-2.48,1.05
2012-09-15,2012,9,15,Wa,10.05,-2.48,0.52
2012-10-15,2012,10,15,Wa,10.05,-2.48,0.54
2012-11-15,2012,11,15,Wa,10.05,-2.48,0.55
2012-12-15,2012,12,15,Wa,10.05,-2.48,0.55
2013-01-15,2013,1,15,Wa,10.05,-2.48,0.55
2013-02-15,2013,2,15,Wa,10.05,-2.48,0.55
2013-03-15,2013,3,15,Wa,10.05,-2.48,0.55
2013-04-15,2013,4,15,Wa,10.05,-2.48,0.66
2013-05-15,2013,5,15,Wa,10.05,-2.48,0.66
2013-06-15,2013,6,15,Wa,10.05,-2.48,0.66
2013-07-15,2013,7,15,Wa,10.05,-2.48,0.65
2013-08-15,2013,8,15,Wa,10.05,-2.48,0.65
2013-09-15,2013,9,15,Wa,10.05,-2.48,0.67
2013-10-15,2013,10,15,Wa,10.05,-2.48,0.71
2013-11-15,2013,11,15,Wa,10.05,-2.48,0.71
2013-12-15,2013,12,15,Wa,10.05,-2.48,0.74
2014-02-15,2014,2,15,Wa,10.05,-2.48,0.66
2014-03-15,2014,3,15,Wa,10.05,-2.48,0.69
2014-04-15,2014,4,15,Wa,10.05,-2.48,0.69
2014-05-15,2014,5,15,Wa,10.05,-2.48,0.69
2014-09-15,2014,9,15,Wa,10.05,-2.48,0.69
2014-10-15,2014,10,15,Jirapa,10.52,-2.7,1.17
