Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3438,2020,1,2020-01-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,1.26
3818,2021,1,2021-01-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,3.33
4574,2022,1,2022-01-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,2.17
5063,2023,1,2023-01-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,5.35
6865,2020,2,2020-02-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,2.2
8453,2023,2,2023-02-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,5.85
10246,2020,3,2020-03-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,1.89
10420,2021,3,2021-03-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,2.0
11108,2022,3,2022-03-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,3.19
11567,2023,3,2023-03-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,5.54
13616,2020,4,2020-04-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,3.85
14881,2022,4,2022-04-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,3.19
15469,2023,4,2023-04-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,5.08
16881,2020,5,2020-05-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,3.17
17967,2022,5,2022-05-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,3.19
18900,2023,5,2023-05-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,5.08
21190,2022,6,2022-06-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,3.19
21414,2023,6,2023-06-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,5.08
23045,2020,7,2020-07-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,2.2
24462,2022,7,2022-07-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,3.19
24782,2023,7,2023-07-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,5.08
26606,2019,8,2019-08-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,1.31
27062,2020,8,2020-08-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,2.8
27572,2021,8,2021-08-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,5.76
29683,2019,9,2019-09-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,1.75
30166,2020,9,2020-09-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,3.2
30843,2021,9,2021-09-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,4.18
32907,2019,10,2019-10-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,1.34
33924,2021,10,2021-10-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,1.74
35713,2019,11,2019-11-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,1.36
36863,2021,11,2021-11-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,1.99
39279,2019,12,2019-12-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,1.32
40059,2021,12,2021-12-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,1.99
