Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3440,2020,1,2020-01-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,3.61
4580,2022,1,2022-01-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,1.14
5065,2023,1,2023-01-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,2.5
6932,2020,2,2020-02-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,6.39
10244,2020,3,2020-03-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,3.86
11110,2022,3,2022-03-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,1.14
11569,2023,3,2023-03-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,2.5
13639,2020,4,2020-04-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,4.86
14061,2021,4,2021-04-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,1.71
14883,2022,4,2022-04-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,1.14
16879,2020,5,2020-05-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,5.23
17515,2021,5,2021-05-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,2.53
17965,2022,5,2022-05-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,2.5
20473,2021,6,2021-06-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,9.17
23043,2020,7,2020-07-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,6.39
23722,2021,7,2021-07-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,2.53
24461,2022,7,2022-07-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,2.5
26608,2019,8,2019-08-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,5.83
27059,2020,8,2020-08-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,9.81
27573,2021,8,2021-08-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,1.0
29681,2019,9,2019-09-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,3.71
30151,2020,9,2020-09-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,8.54
31075,2022,9,2022-09-15,Wa,Wa Municipal,222,10.05,-2.48,27 ,aggregate,Wholesale,608.73
32906,2019,10,2019-10-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,3.69
34441,2022,10,2022-10-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,3.83
35712,2019,11,2019-11-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,3.33
39285,2019,12,2019-12-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,3.13
