Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
1917,2008,1,2008-01-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,82.0
2004,2009,1,2009-01-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,99.0
2138,2010,1,2010-01-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,109.0
2189,2011,1,2011-01-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,78.0
2312,2012,1,2012-01-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,150.0
2403,2013,1,2013-01-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,182.5
2516,2014,1,2014-01-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,160.0
2590,2015,1,2015-01-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,220.0
2712,2016,1,2016-01-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,286.0
2756,2017,1,2017-01-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,355.0
3435,2020,1,2020-01-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,7.96
3603,2021,1,2021-01-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,5.04
4578,2022,1,2022-01-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,2.96
5045,2023,1,2023-01-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,4.21
5046,2023,1,2023-01-15,Wa,Wa Municipal,222,10.05,-2.48,250 ,aggregate,Wholesale,885.42
5414,2008,2,2008-02-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,66.75
5494,2009,2,2009-02-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,99.0
5587,2010,2,2010-02-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,107.25
5684,2011,2,2011-02-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,81.4
5778,2012,2,2012-02-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,152.5
5892,2013,2,2013-02-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,190.0
5996,2014,2,2014-02-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,182.5
6091,2015,2,2015-02-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,220.0
6192,2016,2,2016-02-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,390.0
6276,2017,2,2017-02-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,460.0
6346,2018,2,2018-02-15,Wa,Wa Municipal,222,10.05,-2.48,250 ,actual,Wholesale,578.25
6864,2020,2,2020-02-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,1.8
7316,2021,2,2021-02-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,2.33
8464,2023,2,2023-02-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,13.61
8465,2023,2,2023-02-15,Wa,Wa Municipal,222,10.05,-2.48,250 ,aggregate,Wholesale,811.36
8898,2008,3,2008-03-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,66.67
9011,2009,3,2009-03-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,99.0
9079,2010,3,2010-03-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,109.5
9163,2011,3,2011-03-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,140.0
9288,2012,3,2012-03-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,170.0
9386,2013,3,2013-03-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,190.0
9464,2014,3,2014-03-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,232.0
9529,2015,3,2015-03-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,220.0
9657,2016,3,2016-03-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,390.0
9784,2017,3,2017-03-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,447.0
10228,2020,3,2020-03-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,9.29
10409,2021,3,2021-03-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,2.13
11116,2022,3,2022-03-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,4.14
11117,2022,3,2022-03-15,Wa,Wa Municipal,222,10.05,-2.48,250 ,aggregate,Wholesale,1562.5
11586,2023,3,2023-03-15,Wa,Wa Municipal,222,10.05,-2.48,,aggregate,Retail,4.59
11607,2023,3,2023-03-15,Wa,Wa Municipal,222,10.05,-2.48,250 ,aggregate,Wholesale,1033.85
12198,2008,4,2008-04-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,90.9
12291,2009,4,2009-04-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,109.5
12401,2010,4,2010-04-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,104.25
12504,2011,4,2011-04-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,129.75
12576,2012,4,2012-04-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,160.0
12673,2013,4,2013-04-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,190.0
12780,2014,4,2014-04-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,220.0
12862,2015,4,2015-04-15,Wa,Wa Municipal,222,10.05,-2.48,100 ,actual,Wholesale,240.0
