Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
1918,2008,1,2008-01-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,17.12
2003,2009,1,2009-01-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,18.8
2090,2010,1,2010-01-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,20.4
2179,2011,1,2011-01-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,17.83
2300,2012,1,2012-01-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,26.0
2400,2013,1,2013-01-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,62.75
2517,2014,1,2014-01-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,33.0
2588,2015,1,2015-01-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,90.0
2714,2016,1,2016-01-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,71.0
2871,2018,1,2018-01-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,77.48
3416,2020,1,2020-01-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,3.53
3430,2020,1,2020-01-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,91 ,aggregate,Wholesale,115.27
4027,2021,1,2021-01-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,1.47
4045,2021,1,2021-01-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,1.88
4568,2022,1,2022-01-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,1.48
5005,2023,1,2023-01-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,3.48
5006,2023,1,2023-01-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,91 ,aggregate,Wholesale,148.0
5015,2023,1,2023-01-15,Nkwanta,Nkwanta South,1733,8.26,0.52,,aggregate,Retail,2.75
5016,2023,1,2023-01-15,Nkwanta,Nkwanta South,1733,8.26,0.52,91 ,aggregate,Wholesale,246.68
5082,2023,1,2023-01-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,1.72
5413,2008,2,2008-02-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,17.75
5493,2009,2,2009-02-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,19.5
5585,2010,2,2010-02-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,20.25
5682,2011,2,2011-02-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,18.4
5776,2012,2,2012-02-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,27.0
5894,2013,2,2013-02-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,43.5
6030,2014,2,2014-02-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,30.0
6093,2015,2,2015-02-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,90.0
6190,2016,2,2016-02-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,70.0
6347,2018,2,2018-02-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,77.48
6926,2020,2,2020-02-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,0.97
6953,2020,2,2020-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,1.84
6954,2020,2,2020-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,91 ,aggregate,Wholesale,137.78
7319,2021,2,2021-02-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,1.47
7376,2021,2,2021-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,1.81
7622,2022,2,2022-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,91 ,aggregate,Wholesale,142.13
7623,2022,2,2022-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,1.56
8162,2023,2,2023-02-15,Ho,Ho Municipal,219,6.6,0.47,91 ,aggregate,Wholesale,50.0
8163,2023,2,2023-02-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,4.68
8639,2023,2,2023-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,91 ,aggregate,Wholesale,734.53
8659,2023,2,2023-02-15,Nkwanta,Nkwanta South,1733,8.26,0.52,,aggregate,Retail,8.12
8660,2023,2,2023-02-15,Nkwanta,Nkwanta South,1733,8.26,0.52,91 ,aggregate,Wholesale,1018.71
8773,2023,2,2023-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,4.46
8897,2008,3,2008-03-15,Ho,Ho Municipal,219,6.6,0.47,91 ,actual,Wholesale,17.67
