Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3401,2020,1,2020-01-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,2.7
3474,2020,1,2020-01-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,109 ,aggregate,Wholesale,343.92
4015,2021,1,2021-01-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,109 ,aggregate,Wholesale,460.7
4020,2021,1,2021-01-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,3.69
4042,2021,1,2021-01-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,5.13
4591,2022,1,2022-01-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,4.75
4991,2023,1,2023-01-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,12.34
4992,2023,1,2023-01-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,109 ,aggregate,Wholesale,723.01
5075,2023,1,2023-01-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,12.4
5274,2023,1,2023-01-15,Nkwanta,Nkwanta South,1733,8.26,0.52,109 ,aggregate,Wholesale,868.58
5275,2023,1,2023-01-15,Nkwanta,Nkwanta South,1733,8.26,0.52,,aggregate,Retail,7.97
6919,2020,2,2020-02-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,3.13
6941,2020,2,2020-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,3.48
6942,2020,2,2020-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,109 ,aggregate,Wholesale,326.29
7096,2021,2,2021-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,5.14
7097,2021,2,2021-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,109 ,aggregate,Wholesale,397.79
7390,2021,2,2021-02-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,3.62
7661,2022,2,2022-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,3.96
7662,2022,2,2022-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,109 ,aggregate,Wholesale,431.6
8156,2023,2,2023-02-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,11.71
8157,2023,2,2023-02-15,Ho,Ho Municipal,219,6.6,0.47,109 ,aggregate,Wholesale,784.8
8647,2023,2,2023-02-15,Nkwanta,Nkwanta South,1733,8.26,0.52,,aggregate,Retail,8.24
8648,2023,2,2023-02-15,Nkwanta,Nkwanta South,1733,8.26,0.52,109 ,aggregate,Wholesale,654.84
8671,2023,2,2023-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,109 ,aggregate,Wholesale,730.05
8751,2023,2,2023-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,12.34
10229,2020,3,2020-03-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,2.84
10387,2021,3,2021-03-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,3.69
11367,2022,3,2022-03-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,109 ,aggregate,Wholesale,533.46
11368,2022,3,2022-03-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,7.29
11385,2022,3,2022-03-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,5.3
11504,2023,3,2023-03-15,Nkwanta,Nkwanta South,1733,8.26,0.52,109 ,aggregate,Wholesale,632.88
11505,2023,3,2023-03-15,Nkwanta,Nkwanta South,1733,8.26,0.52,,aggregate,Retail,7.72
11610,2023,3,2023-03-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,12.5
11633,2023,3,2023-03-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,12.34
11635,2023,3,2023-03-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,109 ,aggregate,Wholesale,937.66
13675,2020,4,2020-04-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,2.88
13811,2020,4,2020-04-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,109 ,aggregate,Wholesale,343.92
