Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3407,2020,1,2020-01-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,2.16
4032,2021,1,2021-01-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,8.19
4595,2022,1,2022-01-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,7.86
5032,2023,1,2023-01-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,15.11
5033,2023,1,2023-01-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,109 ,aggregate,Wholesale,67.39
5069,2023,1,2023-01-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,9.67
5241,2023,1,2023-01-15,Nkwanta,Nkwanta South,1733,8.26,0.52,109 ,aggregate,Wholesale,219.96
5243,2023,1,2023-01-15,Nkwanta,Nkwanta South,1733,8.26,0.52,,aggregate,Retail,12.13
6885,2020,2,2020-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,12.0
6887,2020,2,2020-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,109 ,aggregate,Wholesale,20.0
6915,2020,2,2020-02-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,12.67
7385,2021,2,2021-02-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,4.64
7648,2022,2,2022-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,2.26
7649,2022,2,2022-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,109 ,aggregate,Wholesale,61.15
8219,2023,2,2023-02-15,Ho,Ho Municipal,219,6.6,0.47,109 ,aggregate,Wholesale,154.25
8220,2023,2,2023-02-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,5.66
8692,2023,2,2023-02-15,Nkwanta,Nkwanta South,1733,8.26,0.52,,aggregate,Retail,11.62
8693,2023,2,2023-02-15,Nkwanta,Nkwanta South,1733,8.26,0.52,109 ,aggregate,Wholesale,317.99
8737,2023,2,2023-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,9.22
8738,2023,2,2023-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,109 ,aggregate,Wholesale,113.83
10177,2020,3,2020-03-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,2.49
10392,2021,3,2021-03-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,4.39
11397,2022,3,2022-03-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,6.61
11407,2022,3,2022-03-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,109 ,aggregate,Wholesale,77.02
11434,2022,3,2022-03-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,7.67
