Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3415,2020,1,2020-01-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,1.41
3485,2020,1,2020-01-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,52 ,aggregate,Wholesale,209.99
3872,2021,1,2021-01-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,1.35
4046,2021,1,2021-01-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,3.43
4587,2022,1,2022-01-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,1.89
5017,2023,1,2023-01-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,52 ,aggregate,Wholesale,66.22
5022,2023,1,2023-01-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,2.33
5253,2023,1,2023-01-15,Nkwanta,Nkwanta South,1733,8.26,0.52,,aggregate,Retail,3.55
6877,2020,2,2020-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,2.07
6878,2020,2,2020-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,52 ,aggregate,Wholesale,45.19
6955,2020,2,2020-02-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,2.5
7146,2021,2,2021-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,1.2
7377,2021,2,2021-02-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,1.4
7716,2022,2,2022-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,1.09
7780,2022,2,2022-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,52 ,aggregate,Wholesale,21.89
8637,2023,2,2023-02-15,Ho,Ho Municipal,219,6.6,0.47,52 ,aggregate,Wholesale,20.0
8661,2023,2,2023-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,12.33
8662,2023,2,2023-02-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,52 ,aggregate,Wholesale,48.51
8672,2023,2,2023-02-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,2.39
8678,2023,2,2023-02-15,Nkwanta,Nkwanta South,1733,8.26,0.52,,aggregate,Retail,5.38
8679,2023,2,2023-02-15,Nkwanta,Nkwanta South,1733,8.26,0.52,52 ,aggregate,Wholesale,19.5
10396,2021,3,2021-03-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,1.39
11379,2022,3,2022-03-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,1.93
11446,2022,3,2022-03-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,52 ,aggregate,Wholesale,69.65
11447,2022,3,2022-03-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,9.33
11476,2023,3,2023-03-15,Nkwanta,Nkwanta South,1733,8.26,0.52,,aggregate,Retail,9.83
11490,2023,3,2023-03-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,52 ,aggregate,Wholesale,54.22
11491,2023,3,2023-03-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,10.13
11645,2023,3,2023-03-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,2.79
13647,2020,4,2020-04-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,7.7
13713,2020,4,2020-04-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,52 ,aggregate,Wholesale,258.32
13714,2020,4,2020-04-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,6.33
14716,2022,4,2022-04-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,9.33
14717,2022,4,2022-04-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,52 ,aggregate,Wholesale,69.65
14783,2022,4,2022-04-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,2.28
15200,2023,4,2023-04-15,Nkwanta,Nkwanta South,1733,8.26,0.52,52 ,aggregate,Wholesale,20.48
15201,2023,4,2023-04-15,Nkwanta,Nkwanta South,1733,8.26,0.52,,aggregate,Retail,6.17
15264,2023,4,2023-04-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,12.33
15265,2023,4,2023-04-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,52 ,aggregate,Wholesale,38.0
16776,2020,5,2020-05-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,52 ,aggregate,Wholesale,152.44
16777,2020,5,2020-05-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,3.95
16903,2020,5,2020-05-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,10.98
17536,2021,5,2021-05-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,2.71
18352,2023,5,2023-05-15,Nkwanta,Nkwanta South,1733,8.26,0.52,,aggregate,Retail,5.22
18354,2023,5,2023-05-15,Nkwanta,Nkwanta South,1733,8.26,0.52,52 ,aggregate,Wholesale,19.84
18392,2023,5,2023-05-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,52 ,aggregate,Wholesale,30.8
18401,2023,5,2023-05-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,12.33
20102,2020,6,2020-06-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,52 ,aggregate,Wholesale,58.88
20103,2020,6,2020-06-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,2.71
20395,2021,6,2021-06-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,1.96
21122,2022,6,2022-06-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,3.25
21527,2023,6,2023-06-15,Nkwanta,Nkwanta South,1733,8.26,0.52,52 ,aggregate,Wholesale,19.47
21534,2023,6,2023-06-15,Nkwanta,Nkwanta South,1733,8.26,0.52,,aggregate,Retail,4.95
21632,2023,6,2023-06-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,52 ,aggregate,Wholesale,30.8
21633,2023,6,2023-06-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,12.33
23256,2020,7,2020-07-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,3.1
23257,2020,7,2020-07-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,52 ,aggregate,Wholesale,45.19
23544,2020,7,2020-07-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,2.5
23703,2021,7,2021-07-15,Ho,Ho Municipal,219,6.6,0.47,,aggregate,Retail,2.44
23738,2021,7,2021-07-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,52 ,aggregate,Wholesale,19.72
23740,2021,7,2021-07-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,,aggregate,Retail,1.49
24191,2022,7,2022-07-15,Hohoe,Hohoe Municipal,2802,7.15,0.47,52 ,aggregate,Wholesale,66.22
