date,year,month,day,city,latitude,longitude,cedi_price/(KG)
2008-01-15,2008,1,15,Sekondi/Takoradi,4.93,-1.7,0.19
2008-02-15,2008,2,15,Sekondi/Takoradi,4.93,-1.7,0.18
2008-03-15,2008,3,15,Sekondi/Takoradi,4.93,-1.7,0.19
2008-04-15,2008,4,15,Sekondi/Takoradi,4.93,-1.7,0.23
2008-05-15,2008,5,15,Sekondi/Takoradi,4.93,-1.7,0.31
2008-06-15,2008,6,15,Sekondi/Takoradi,4.93,-1.7,0.32
2008-07-15,2008,7,15,Sekondi/Takoradi,4.93,-1.7,0.32
2008-08-15,2008,8,15,Sekondi/Takoradi,4.93,-1.7,0.3
2008-09-15,2008,9,15,Sekondi/Takoradi,4.93,-1.7,0.25
2008-10-15,2008,10,15,Sekondi/Takoradi,4.93,-1.7,0.3
2008-11-15,2008,11,15,Sekondi/Takoradi,4.93,-1.7,0.31
2008-12-15,2008,12,15,Sekondi/Takoradi,4.93,-1.7,0.27
2009-01-15,2009,1,15,Sekondi/Takoradi,4.93,-1.7,0.25
2009-02-15,2009,2,15,Sekondi/Takoradi,4.93,-1.7,0.26
2009-03-15,2009,3,15,Sekondi/Takoradi,4.93,-1.7,0.26
2009-04-15,2009,4,15,Sekondi/Takoradi,4.93,-1.7,0.3
2009-05-15,2009,5,15,Sekondi/Takoradi,4.93,-1.7,0.32
2009-06-15,2009,6,15,Sekondi/Takoradi,4.93,-1.7,0.3
2009-07-15,2009,7,15,Sekondi/Takoradi,4.93,-1.7,0.36
2009-08-15,2009,8,15,Sekondi/Takoradi,4.93,-1.7,0.24
2009-09-15,2009,9,15,Sekondi/Takoradi,4.93,-1.7,0.26
2009-10-15,2009,10,15,Sekondi/Takoradi,4.93,-1.7,0.36
2009-11-15,2009,11,15,Sekondi/Takoradi,4.93,-1.7,0.26
2009-12-15,2009,12,15,Sekondi/Takoradi,4.93,-1.7,0.26
2010-01-15,2010,1,15,Sekondi/Takoradi,4.93,-1.7,0.21
2010-02-15,2010,2,15,Sekondi/Takoradi,4.93,-1.7,0.26
2010-03-15,2010,3,15,Sekondi/Takoradi,4.93,-1.7,0.36
2010-04-15,2010,4,15,Sekondi/Takoradi,4.93,-1.7,0.4
2010-05-15,2010,5,15,Sekondi/Takoradi,4.93,-1.7,0.34
2010-06-15,2010,6,15,Sekondi/Takoradi,4.93,-1.7,0.37
2010-07-15,2010,7,15,Sekondi/Takoradi,4.93,-1.7,0.4
2010-08-15,2010,8,15,Sekondi/Takoradi,4.93,-1.7,0.3
2010-09-15,2010,9,15,Sekondi/Takoradi,4.93,-1.7,0.28
2010-10-15,2010,10,15,Sekondi/Takoradi,4.93,-1.7,0.3
2010-11-15,2010,11,15,Sekondi/Takoradi,4.93,-1.7,0.25
2011-01-15,2011,1,15,Sekondi/Takoradi,4.93,-1.7,0.27
2011-02-15,2011,2,15,Sekondi/Takoradi,4.93,-1.7,0.27
2011-03-15,2011,3,15,Sekondi/Takoradi,4.93,-1.7,0.33
2011-04-15,2011,4,15,Sekondi/Takoradi,4.93,-1.7,0.32
2011-05-15,2011,5,15,Sekondi/Takoradi,4.93,-1.7,0.31
2011-06-15,2011,6,15,Sekondi/Takoradi,4.93,-1.7,0.34
2011-07-15,2011,7,15,Sekondi/Takoradi,4.93,-1.7,0.29
2011-08-15,2011,8,15,Sekondi/Takoradi,4.93,-1.7,0.3
2011-09-15,2011,9,15,Sekondi/Takoradi,4.93,-1.7,0.3
2011-10-15,2011,10,15,Sekondi/Takoradi,4.93,-1.7,0.31
2011-11-15,2011,11,15,Sekondi/Takoradi,4.93,-1.7,0.33
2011-12-15,2011,12,15,Sekondi/Takoradi,4.93,-1.7,0.3
2012-01-15,2012,1,15,Sekondi/Takoradi,4.93,-1.7,0.35
2012-02-15,2012,2,15,Sekondi/Takoradi,4.93,-1.7,0.4
2012-03-15,2012,3,15,Sekondi/Takoradi,4.93,-1.7,0.48
2012-04-15,2012,4,15,Sekondi/Takoradi,4.93,-1.7,0.54
2012-05-15,2012,5,15,Sekondi/Takoradi,4.93,-1.7,0.62
2012-06-15,2012,6,15,Sekondi/Takoradi,4.93,-1.7,0.54
2012-07-15,2012,7,15,Sekondi/Takoradi,4.93,-1.7,0.65
2012-08-15,2012,8,15,Sekondi/Takoradi,4.93,-1.7,0.66
2012-09-15,2012,9,15,Sekondi/Takoradi,4.93,-1.7,0.69
2012-10-15,2012,10,15,Sekondi/Takoradi,4.93,-1.7,0.76
2012-11-15,2012,11,15,Sekondi/Takoradi,4.93,-1.7,0.69
