date,year,month,city,latitude,longitude,cedi_price/(KG)
2008-01-15,2008,1,Sekondi/Takoradi,4.93,-1.7,0.76
2008-02-15,2008,2,Sekondi/Takoradi,4.93,-1.7,0.8
2008-03-15,2008,3,Sekondi/Takoradi,4.93,-1.7,0.8
2008-04-15,2008,4,Sekondi/Takoradi,4.93,-1.7,0.75
2008-05-15,2008,5,Sekondi/Takoradi,4.93,-1.7,0.91
2008-06-15,2008,6,Sekondi/Takoradi,4.93,-1.7,0.9
2008-07-15,2008,7,Sekondi/Takoradi,4.93,-1.7,1.22
2008-08-15,2008,8,Sekondi/Takoradi,4.93,-1.7,1.05
2008-09-15,2008,9,Sekondi/Takoradi,4.93,-1.7,1.1
2008-10-15,2008,10,Sekondi/Takoradi,4.93,-1.7,1.2
2008-11-15,2008,11,Sekondi/Takoradi,4.93,-1.7,1.21
2008-12-15,2008,12,Sekondi/Takoradi,4.93,-1.7,1.22
2009-01-15,2009,1,Sekondi/Takoradi,4.93,-1.7,1.23
2009-02-15,2009,2,Sekondi/Takoradi,4.93,-1.7,1.3
2009-03-15,2009,3,Sekondi/Takoradi,4.93,-1.7,1.18
2009-04-15,2009,4,Sekondi/Takoradi,4.93,-1.7,1.0
2009-05-15,2009,5,Sekondi/Takoradi,4.93,-1.7,1.07
2009-06-15,2009,6,Sekondi/Takoradi,4.93,-1.7,1.0
2009-07-15,2009,7,Sekondi/Takoradi,4.93,-1.7,0.83
2009-08-15,2009,8,Sekondi/Takoradi,4.93,-1.7,1.4
2009-09-15,2009,9,Sekondi/Takoradi,4.93,-1.7,1.25
2009-10-15,2009,10,Sekondi/Takoradi,4.93,-1.7,1.4
2009-11-15,2009,11,Sekondi/Takoradi,4.93,-1.7,1.4
2009-12-15,2009,12,Sekondi/Takoradi,4.93,-1.7,1.4
2010-01-15,2010,1,Sekondi/Takoradi,4.93,-1.7,1.4
2010-02-15,2010,2,Sekondi/Takoradi,4.93,-1.7,1.35
2010-03-15,2010,3,Sekondi/Takoradi,4.93,-1.7,1.35
2010-04-15,2010,4,Sekondi/Takoradi,4.93,-1.7,1.38
2010-05-15,2010,5,Sekondi/Takoradi,4.93,-1.7,1.32
2010-06-15,2010,6,Sekondi/Takoradi,4.93,-1.7,1.35
2010-07-15,2010,7,Sekondi/Takoradi,4.93,-1.7,1.34
2010-08-15,2010,8,Sekondi/Takoradi,4.93,-1.7,1.38
2010-09-15,2010,9,Sekondi/Takoradi,4.93,-1.7,1.2
2010-10-15,2010,10,Sekondi/Takoradi,4.93,-1.7,0.98
2010-11-15,2010,11,Sekondi/Takoradi,4.93,-1.7,0.8
2011-01-15,2011,1,Sekondi/Takoradi,4.93,-1.7,1.03
2011-02-15,2011,2,Sekondi/Takoradi,4.93,-1.7,1.02
2011-03-15,2011,3,Sekondi/Takoradi,4.93,-1.7,1.01
2011-04-15,2011,4,Sekondi/Takoradi,4.93,-1.7,0.86
2011-05-15,2011,5,Sekondi/Takoradi,4.93,-1.7,0.9
2011-06-15,2011,6,Sekondi/Takoradi,4.93,-1.7,1.1
2011-07-15,2011,7,Sekondi/Takoradi,4.93,-1.7,1.1
2011-08-15,2011,8,Sekondi/Takoradi,4.93,-1.7,1.2
2011-09-15,2011,9,Sekondi/Takoradi,4.93,-1.7,1.3
2011-10-15,2011,10,Sekondi/Takoradi,4.93,-1.7,1.23
2011-11-15,2011,11,Sekondi/Takoradi,4.93,-1.7,1.16
2011-12-15,2011,12,Sekondi/Takoradi,4.93,-1.7,1.18
2012-01-15,2012,1,Sekondi/Takoradi,4.93,-1.7,1.38
2012-02-15,2012,2,Sekondi/Takoradi,4.93,-1.7,1.35
2012-03-15,2012,3,Sekondi/Takoradi,4.93,-1.7,1.44
2012-04-15,2012,4,Sekondi/Takoradi,4.93,-1.7,1.65
2012-05-15,2012,5,Sekondi/Takoradi,4.93,-1.7,1.6
2012-06-15,2012,6,Sekondi/Takoradi,4.93,-1.7,1.44
2012-07-15,2012,7,Sekondi/Takoradi,4.93,-1.7,1.72
2012-08-15,2012,8,Sekondi/Takoradi,4.93,-1.7,1.5
2012-09-15,2012,9,Sekondi/Takoradi,4.93,-1.7,1.65
2012-10-15,2012,10,Sekondi/Takoradi,4.93,-1.7,2.15
2012-11-15,2012,11,Sekondi/Takoradi,4.93,-1.7,2.4
2012-12-15,2012,12,Sekondi/Takoradi,4.93,-1.7,2.24
2013-01-15,2013,1,Sekondi/Takoradi,4.93,-1.7,2.1
2013-02-15,2013,2,Sekondi/Takoradi,4.93,-1.7,2.0
2013-03-15,2013,3,Sekondi/Takoradi,4.93,-1.7,2.1
2013-04-15,2013,4,Sekondi/Takoradi,4.93,-1.7,2.1
2013-05-15,2013,5,Sekondi/Takoradi,4.93,-1.7,2.1
2013-06-15,2013,6,Sekondi/Takoradi,4.93,-1.7,2.34
2013-07-15,2013,7,Sekondi/Takoradi,4.93,-1.7,2.4
2013-08-15,2013,8,Sekondi/Takoradi,4.93,-1.7,2.32
2013-09-15,2013,9,Sekondi/Takoradi,4.93,-1.7,2.0
2013-10-15,2013,10,Sekondi/Takoradi,4.93,-1.7,2.1
2013-11-15,2013,11,Sekondi/Takoradi,4.93,-1.7,2.4
2013-12-15,2013,12,Sekondi/Takoradi,4.93,-1.7,2.4
2014-01-15,2014,1,Sekondi/Takoradi,4.93,-1.7,2.4
2014-02-15,2014,2,Sekondi/Takoradi,4.93,-1.7,2.4
2014-03-15,2014,3,Sekondi/Takoradi,4.93,-1.7,2.4
2014-04-15,2014,4,Sekondi/Takoradi,4.93,-1.7,1.92
2014-05-15,2014,5,Sekondi/Takoradi,4.93,-1.7,2.56
2015-01-15,2015,1,Sekondi/Takoradi,4.93,-1.7,2.0
2015-02-15,2015,2,Sekondi/Takoradi,4.93,-1.7,2.0
2015-03-15,2015,3,Sekondi/Takoradi,4.93,-1.7,2.0
2015-04-15,2015,4,Sekondi/Takoradi,4.93,-1.7,2.0
2015-05-15,2015,5,Sekondi/Takoradi,4.93,-1.7,3.36
2015-06-15,2015,6,Sekondi/Takoradi,4.93,-1.7,4.0
2015-07-15,2015,7,Sekondi/Takoradi,4.93,-1.7,4.0
2015-10-15,2015,10,Sekondi/Takoradi,4.93,-1.7,3.92
2015-11-15,2015,11,Sekondi/Takoradi,4.93,-1.7,3.9
2015-12-15,2015,12,Sekondi/Takoradi,4.93,-1.7,3.6
2016-01-15,2016,1,Sekondi/Takoradi,4.93,-1.7,3.84
2016-02-15,2016,2,Sekondi/Takoradi,4.93,-1.7,4.0
2016-03-15,2016,3,Sekondi/Takoradi,4.93,-1.7,4.0
2016-04-15,2016,4,Sekondi/Takoradi,4.93,-1.7,4.0
2016-05-15,2016,5,Sekondi/Takoradi,4.93,-1.7,4.0
2016-06-15,2016,6,Sekondi/Takoradi,4.93,-1.7,4.0
2016-07-15,2016,7,Sekondi/Takoradi,4.93,-1.7,4.0
2016-08-15,2016,8,Sekondi/Takoradi,4.93,-1.7,4.2
2016-11-15,2016,11,Sekondi/Takoradi,4.93,-1.7,4.4
2016-12-15,2016,12,Sekondi/Takoradi,4.93,-1.7,3.6
2017-01-15,2017,1,Sekondi/Takoradi,4.93,-1.7,3.6
