date,year,month,day,city,latitude,longitude,cedi_price/(KG)
2008-01-15,2008,1,15,Sekondi/Takoradi,4.93,-1.7,1.34
2008-02-15,2008,2,15,Sekondi/Takoradi,4.93,-1.7,1.34
2008-03-15,2008,3,15,Sekondi/Takoradi,4.93,-1.7,1.37
2008-04-15,2008,4,15,Sekondi/Takoradi,4.93,-1.7,1.38
2008-05-15,2008,5,15,Sekondi/Takoradi,4.93,-1.7,1.4
2008-06-15,2008,6,15,Sekondi/Takoradi,4.93,-1.7,1.55
2008-07-15,2008,7,15,Sekondi/Takoradi,4.93,-1.7,1.7
2008-08-15,2008,8,15,Sekondi/Takoradi,4.93,-1.7,1.53
2008-09-15,2008,9,15,Sekondi/Takoradi,4.93,-1.7,1.2
2008-10-15,2008,10,15,Sekondi/Takoradi,4.93,-1.7,1.15
2008-11-15,2008,11,15,Sekondi/Takoradi,4.93,-1.7,1.14
2008-12-15,2008,12,15,Sekondi/Takoradi,4.93,-1.7,1.55
2009-01-15,2009,1,15,Sekondi/Takoradi,4.93,-1.7,1.68
2009-02-15,2009,2,15,Sekondi/Takoradi,4.93,-1.7,1.48
2009-03-15,2009,3,15,Sekondi/Takoradi,4.93,-1.7,1.52
2009-04-15,2009,4,15,Sekondi/Takoradi,4.93,-1.7,1.68
2009-05-15,2009,5,15,Sekondi/Takoradi,4.93,-1.7,1.6
2009-06-15,2009,6,15,Sekondi/Takoradi,4.93,-1.7,1.68
2009-07-15,2009,7,15,Sekondi/Takoradi,4.93,-1.7,1.6
2009-08-15,2009,8,15,Sekondi/Takoradi,4.93,-1.7,1.42
2009-09-15,2009,9,15,Sekondi/Takoradi,4.93,-1.7,1.5
2009-10-15,2009,10,15,Sekondi/Takoradi,4.93,-1.7,1.81
2009-11-15,2009,11,15,Sekondi/Takoradi,4.93,-1.7,1.58
2009-12-15,2009,12,15,Sekondi/Takoradi,4.93,-1.7,1.58
2010-01-15,2010,1,15,Sekondi/Takoradi,4.93,-1.7,1.65
2010-02-15,2010,2,15,Sekondi/Takoradi,4.93,-1.7,1.92
2010-03-15,2010,3,15,Sekondi/Takoradi,4.93,-1.7,2.05
2010-04-15,2010,4,15,Sekondi/Takoradi,4.93,-1.7,1.88
2010-05-15,2010,5,15,Sekondi/Takoradi,4.93,-1.7,1.58
2010-06-15,2010,6,15,Sekondi/Takoradi,4.93,-1.7,1.65
2010-07-15,2010,7,15,Sekondi/Takoradi,4.93,-1.7,1.78
2010-08-15,2010,8,15,Sekondi/Takoradi,4.93,-1.7,1.6
2010-09-15,2010,9,15,Sekondi/Takoradi,4.93,-1.7,1.58
2010-10-15,2010,10,15,Sekondi/Takoradi,4.93,-1.7,1.88
2010-11-15,2010,11,15,Sekondi/Takoradi,4.93,-1.7,2.02
2011-01-15,2011,1,15,Sekondi/Takoradi,4.93,-1.7,1.92
2011-02-15,2011,2,15,Sekondi/Takoradi,4.93,-1.7,2.14
2011-03-15,2011,3,15,Sekondi/Takoradi,4.93,-1.7,2.45
2011-04-15,2011,4,15,Sekondi/Takoradi,4.93,-1.7,2.48
2011-05-15,2011,5,15,Sekondi/Takoradi,4.93,-1.7,2.5
2011-06-15,2011,6,15,Sekondi/Takoradi,4.93,-1.7,2.62
