Unnamed: 0,date,city,market_sold_at,market_id,latitude,longitude,crop,crop_category,crop_id,unit(KG),price_flag,price_type,currency,cedi_price,dollar_price
1922,15/01/2008,Mankessim,Mfantsiman,214,5.27,-1.02,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,2.87,3.02
1963,15/01/2008,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,16.0,16.84
1964,15/01/2008,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,37.5,39.47
1965,15/01/2008,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,107.5,113.16
1966,15/01/2008,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,3.65,3.84
1967,15/01/2008,Mankessim,Mfantsiman,214,5.27,-1.02,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,45.7,48.11
1968,15/01/2008,Mankessim,Mfantsiman,214,5.27,-1.02,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,39.6,41.68
1969,15/01/2008,Mankessim,Mfantsiman,214,5.27,-1.02,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,36.5,38.42
1970,15/01/2008,Mankessim,Mfantsiman,214,5.27,-1.02,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,76.25,80.26
1971,15/01/2008,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,42.56,44.8
2056,15/01/2009,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,17.6,13.75
2058,15/01/2009,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,65.75,51.37
2059,15/01/2009,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,126.0,98.44
2071,15/01/2009,Mankessim,Mfantsiman,214,5.27,-1.02,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,2.8,2.19
2072,15/01/2009,Mankessim,Mfantsiman,214,5.27,-1.02,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,148.0,115.62
2073,15/01/2009,Mankessim,Mfantsiman,214,5.27,-1.02,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,52.6,41.09
2074,15/01/2009,Mankessim,Mfantsiman,214,5.27,-1.02,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,70.5,55.08
2075,15/01/2009,Mankessim,Mfantsiman,214,5.27,-1.02,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,17.7,13.83
2076,15/01/2009,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,4.4,3.44
2077,15/01/2009,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,54.5,42.58
2091,15/01/2010,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,5.0,3.55
2092,15/01/2010,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,180.0,127.66
2093,15/01/2010,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,51.0,36.17
2094,15/01/2010,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,65.8,46.67
2095,15/01/2010,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,21.4,15.18
2098,15/01/2010,Mankessim,Mfantsiman,214,5.27,-1.02,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,19.4,13.76
2108,15/01/2010,Mankessim,Mfantsiman,214,5.27,-1.02,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,85.0,60.28
2109,15/01/2010,Mankessim,Mfantsiman,214,5.27,-1.02,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,60.0,42.55
2110,15/01/2010,Mankessim,Mfantsiman,214,5.27,-1.02,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,175.0,124.11
2127,15/01/2010,Mankessim,Mfantsiman,214,5.27,-1.02,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,4.5,3.19
2206,15/01/2011,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,14.83,1.0
2207,15/01/2011,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,78.2,52.72
2209,15/01/2011,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,50.5,34.04
2229,15/01/2011,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,156.67,105.62
2230,15/01/2011,Mankessim,Mfantsiman,214,5.27,-1.02,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,13.5,9.1
2247,15/01/2011,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,4.08,2.75
2250,15/01/2011,Mankessim,Mfantsiman,214,5.27,-1.02,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,79.0,53.26
2251,15/01/2011,Mankessim,Mfantsiman,214,5.27,-1.02,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,53.33,35.96
2252,15/01/2011,Mankessim,Mfantsiman,214,5.27,-1.02,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,143.33,96.63
2253,15/01/2011,Mankessim,Mfantsiman,214,5.27,-1.02,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,3.97,2.67
