Unnamed: 0,date,city,market_sold_at,market_id,latitude,longitude,crop,crop_category,crop_id,unit(KG),price_flag,price_type,currency,cedi_price,dollar_price
1923,15/01/2008,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,17.25,18.16
1924,15/01/2008,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,39.0,41.05
1925,15/01/2008,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,38.13,40.14
1926,15/01/2008,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,133.75,140.79
1927,15/01/2008,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,4.45,4.68
1997,15/01/2009,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,66.5,51.95
1998,15/01/2009,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,23.2,18.12
2014,15/01/2009,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,61.25,47.85
2015,15/01/2009,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,168.0,131.25
2016,15/01/2009,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,3.0,2.34
2079,15/01/2010,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,62.5,44.33
2081,15/01/2010,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,18.8,13.33
2082,15/01/2010,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,70.0,49.65
2084,15/01/2010,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,7.0,4.96
2087,15/01/2010,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,165.0,117.02
