date,city,market_sold_at,market_id,latitude,longitude,crop,crop_category,crop_id,unit(KG),price_flag,price_type,currency,cedi_price,dollar_price
2008-01-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,17.5,18.42
2008-01-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,29.5,31.05
2008-01-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,84.0,88.42
2008-01-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,2.8,2.95
2008-02-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,18.25,19.01
2008-02-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,35.0,36.46
2008-02-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,97.5,101.56
2008-02-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,3.3,3.44
2008-03-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,18.67,19.45
2008-03-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,33.67,35.07
2008-03-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,128.33,133.68
2008-03-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,4.23,4.41
2008-04-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,22.25,22.47
2008-04-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,38.5,38.89
2008-04-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,45.5,45.96
2008-04-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,137.5,138.89
2008-04-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,5.25,5.3
2008-05-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,22.75,23.45
2008-05-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,52.5,54.12
2008-05-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,44.0,45.36
2008-05-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,146.0,150.52
2008-05-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,5.75,5.93
2008-06-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,16.59,15.46
2008-06-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,55.5,51.71
2008-06-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,49.0,45.65
2008-06-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,148.25,138.12
2008-06-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,11.0,10.25
2008-07-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,15.33,13.94
2008-07-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,70.0,63.64
2008-07-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,52.5,47.73
2008-07-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,158.67,144.25
2008-07-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,6.0,5.45
2008-08-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,18.5,16.09
2008-08-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,55.0,47.83
2008-08-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,115.0,1.0
2008-08-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,4.75,4.13
2008-09-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,17.5,15.22
2008-09-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,38.0,33.04
2008-09-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,86.25,75.0
2008-09-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,3.38,2.94
2008-10-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,16.25,14.01
2008-10-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,41.0,35.34
2008-10-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,45.13,38.91
2008-10-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,91.25,78.66
2008-10-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,3.0,2.59
2008-11-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,20.8,17.48
2008-11-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,49.8,41.85
2008-11-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,45.0,37.82
2008-11-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,94.0,78.99
2008-11-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,3.0,2.52
2008-12-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,17.25,14.14
2008-12-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,52.5,43.03
2008-12-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,91.25,74.8
2008-12-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,2.95,2.42
2009-01-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,19.6,15.31
2009-01-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,50.0,39.06
2009-01-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,116.0,90.62
2009-01-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,2.82,2.2
2009-02-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,19.75,14.38
2009-02-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,51.25,37.32
2009-02-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,70.0,50.97
2009-02-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,106.25,77.37
2009-02-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,3.25,2.37
2009-03-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,14.0,1.0
2009-03-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,55.0,39.29
2009-03-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,70.0,5.0
2009-03-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,97.5,69.64
2009-03-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,3.43,2.45
2009-04-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,15.75,11.09
2009-04-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,56.25,39.61
2009-04-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,70.0,49.3
2009-04-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,115.0,80.99
2009-04-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,5.0,3.52
2009-05-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,18.6,12.83
2009-05-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,66.0,45.52
2009-05-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,70.0,48.28
2009-05-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,144.0,99.31
2009-05-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,6.3,4.34
2009-06-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,24.8,16.76
2009-06-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,68.8,46.49
2009-06-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,70.0,47.3
2009-06-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,156.0,105.41
2009-06-15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,7.6,5.14
